Year,Units,Location,Sex,Age,Type,Value
2015,%,,,,,29.8
2016,%,,,,,29.4
2017,%,,,,,25.7
2018,%,,,,,23.5
2015,%,urban,,,,29.4
2016,%,urban,,,,28.8
2017,%,urban,,,,25.0
2018,%,urban,,,,24.9
2015,%,rural,,,,30.4
2016,%,rural,,,,30.4
2017,%,rural,,,,26.8
2018,%,rural,,,,21.3
2015,%,,female,,,30.1
2016,%,,female,,,30.2
2017,%,,female,,,26.3
2018,%,,female,,,23.6
2015,%,,female,aged 0-5 years,,36.2
2016,%,,female,aged 0-5 years,,35.1
2017,%,,female,aged 0-5 years,,32.7
2015,%,,female,aged 6-17 years,,35.2
2016,%,,female,aged 6-17 years,,36.4
2017,%,,female,aged 6-17 years,,32.2
2015,%,,female,aged 18-64 years,,28.6
2016,%,,female,aged 18-64 years,,28.3
2017,%,,female,aged 18-64 years,,25.3
2015,%,,female,aged 65 and older,,28.9
2016,%,,female,aged 65 and older,,29.8
2017,%,,female,aged 65 and older,,23.2
2015,%,,male,,,29.5
2016,%,,male,,,28.5
2017,%,,male,,,25.0
2018,%,,male,,,23.4
2015,%,,male,aged 0-5 years,,32.9
2016,%,,male,aged 0-5 years,,32.0
2017,%,,male,aged 0-5 years,,30.9
2015,%,,male,aged 6-17 years,,31.8
2016,%,,male,aged 6-17 years,,32.5
2017,%,,male,aged 6-17 years,,28.7
2015,%,,male,aged 18-64 years,,28.4
2016,%,,male,aged 18-64 years,,26.7
2017,%,,male,aged 18-64 years,,23.7
2015,%,,male,aged 65 and older,,28.7
2016,%,,male,aged 65 and older,,27.8
2017,%,,male,aged 65 and older,,22.2
