Year,Units,Sex,Location,Age,Value
2015,%,,,,6.68
2016,%,,,,6.87
2017,%,,,,6.51
2018,%,,,,6.36
2015,%,male,,,7.25
2016,%,male,,,7.42
2017,%,male,,,7.14
2018,%,male,,,7.01
2015,%,female,,,6.16
2016,%,female,,,6.37
2017,%,female,,,5.94
2018,%,female,,,5.77
2015,%,,urban,,7.15
2016,%,,urban,,7.29
2017,%,,urban,,6.92
2018,%,,urban,,6.74
2015,%,male,urban,,7.68
2016,%,male,urban,,7.80
2017,%,male,urban,,7.50
2018,%,male,urban,,7.33
2015,%,female,urban,,6.69
2016,%,female,urban,,6.84
2017,%,female,urban,,6.42
2018,%,female,urban,,6.23
2015,%,,rural,,5.85
2016,%,,rural,,6.13
2017,%,,rural,,5.77
2018,%,,rural,,5.67
2015,%,male,rural,,6.54
2016,%,male,rural,,6.78
2017,%,male,rural,,6.55
2018,%,male,rural,,6.47
2015,%,female,rural,,5.17
2016,%,female,rural,,5.50
2017,%,female,rural,,5.03
2018,%,female,rural,,4.90
2015,%,,,aged 0-17 years,1.13
2016,%,,,aged 0-17 years,1.18
2017,%,,,aged 0-17 years,1.18
2018,%,,,aged 0-17 years,1.17
2015,%,male,,aged 0-17 years,1.46
2016,%,male,,aged 0-17 years,1.50
2017,%,male,,aged 0-17 years,1.52
2018,%,male,,aged 0-17 years,1.51
2015,%,female,,aged 0-17 years,0.75
2016,%,female,,aged 0-17 years,0.80
2017,%,female,,aged 0-17 years,0.79
2018,%,female,,aged 0-17 years,0.78
2015,%,,,aged 18-39 years,2.48
2016,%,,,aged 18-39 years,2.52
2017,%,,,aged 18-39 years,2.40
2018,%,,,aged 18-39 years,2.31
2015,%,male,,aged 18-39 years,3.47
2016,%,male,,aged 18-39 years,3.52
2017,%,male,,aged 18-39 years,3.39
2018,%,male,,aged 18-39 years,3.26
2015,%,female,,aged 18-39 years,1.55
2016,%,female,,aged 18-39 years,1.57
2017,%,female,,aged 18-39 years,1.48
2018,%,female,,aged 18-39 years,1.41
2015,%,,,aged 40-62 years,11.61
2016,%,,,aged 40-62 years,11.76
2017,%,,,aged 40-62 years,10.39
2018,%,,,aged 40-62 years,9.66
2015,%,male,,aged 40-62 years,12.58
2016,%,male,,aged 40-62 years,12.85
2017,%,male,,aged 40-62 years,11.85
2018,%,male,,aged 40-62 years,11.29
2015,%,female,,aged 40-62 years,10.81
2016,%,female,,aged 40-62 years,10.85
2017,%,female,,aged 40-62 years,9.19
2018,%,female,,aged 40-62 years,8.34
2015,%,,,aged 63 and older,16.87
2016,%,,,aged 63 and older,17.59
2017,%,,,aged 63 and older,17.74
2018,%,,,aged 63 and older,17.92
2015,%,male,,aged 63 and older,19.81
2016,%,male,,aged 63 and older,20.19
2017,%,male,,aged 63 and older,20.18
2018,%,male,,aged 63 and older,20.25
2015,%,female,,aged 63 and older,14.90
2016,%,female,,aged 63 and older,15.85
2017,%,female,,aged 63 and older,16.12
2018,%,female,,aged 63 and older,16.37
