Year,Units,Sex,Category,Age,Value
2015,%,,,,15.53
2016,%,,,,15.69
2017,%,,,,15.41
2018,%,,,,15.62
2019,%,,,,15.76
2015,%,male,,,12.73
2016,%,male,,,12.93
2017,%,male,,,12.74
2018,%,male,,,12.97
2019,%,male,,,13.14
2015,%,female,,,18.09
2016,%,female,,,18.19
2017,%,female,,,17.82
2018,%,female,,,17.99
2019,%,female,,,18.11
2015,%,,age-related,,10.19
2016,%,,age-related,,10.33
2017,%,,age-related,,10.52
2018,%,,age-related,,10.88
2019,%,,age-related,,11.15
2015,%,male,age-related,,7.93
2016,%,male,age-related,,8.09
2017,%,male,age-related,,8.30
2018,%,male,age-related,,8.65
2019,%,male,age-related,,8.93
2015,%,female,age-related,,12.25
2016,%,female,age-related,,12.36
2017,%,female,age-related,,12.53
2018,%,female,age-related,,12.88
2019,%,female,age-related,,13.14
2015,%,,on privileged terms,,0.09
2016,%,,on privileged terms,,0.08
2017,%,,on privileged terms,,0.08
2018,%,,on privileged terms,,0.07
2019,%,,on privileged terms,,0.06
2015,%,male,on privileged terms,,0.14
2016,%,male,on privileged terms,,0.13
2017,%,male,on privileged terms,,0.12
2018,%,male,on privileged terms,,0.11
2019,%,male,on privileged terms,,0.09
2015,%,female,on privileged terms,,0.05
2016,%,female,on privileged terms,,0.05
2017,%,female,on privileged terms,,0.04
2018,%,female,on privileged terms,,0.03
2019,%,female,on privileged terms,,0.03
2015,%,,long-term service,,0.04
2016,%,,long-term service,,0.02
2017,%,,long-term service,,0.02
2018,%,,long-term service,,0.02
2019,%,,long-term service,,0.02
2015,%,male,long-term service,,0.04
2016,%,male,long-term service,,0.03
2017,%,male,long-term service,,0.03
2018,%,male,long-term service,,0.02
2019,%,male,long-term service,,0.02
2015,%,female,long-term service,,0.04
2016,%,female,long-term service,,0.02
2017,%,female,long-term service,,0.01
2018,%,female,long-term service,,0.01
2019,%,female,long-term service,,0.01
2015,%,,partially,,0.50
2016,%,,partially,,0.49
2017,%,,partially,,0.47
2018,%,,partially,,0.44
2019,%,,partially,,0.41
2015,%,male,partially,,0.11
2016,%,male,partially,,0.11
2017,%,male,partially,,0.10
2018,%,male,partially,,0.09
2019,%,male,partially,,0.09
2015,%,female,partially,,0.85
2016,%,female,partially,,0.83
2017,%,female,partially,,0.80
2018,%,female,partially,,0.76
2019,%,female,partially,,0.70
2015,%,,disability,,4.28
2016,%,,disability,,4.35
2017,%,,disability,,3.93
2018,%,,disability,,3.84
2019,%,,disability,,3.78
2015,%,male,disability,,4.13
2016,%,male,disability,,4.19
2017,%,male,disability,,3.82
2018,%,male,disability,,3.74
2019,%,male,disability,,3.68
2015,%,female,disability,,4.41
2016,%,female,disability,,4.48
2017,%,female,disability,,4.02
2018,%,female,disability,,3.92
2019,%,female,disability,,3.88
2015,%,,in case of losing a breadwinner,,0.36
2016,%,,in case of losing a breadwinner,,0.34
2017,%,,in case of losing a breadwinner,,0.31
2018,%,,in case of losing a breadwinner,,0.29
2019,%,,in case of losing a breadwinner,,0.26
2015,%,male,in case of losing a breadwinner,,0.21
2016,%,male,in case of losing a breadwinner,,0.21
2017,%,male,in case of losing a breadwinner,,0.19
2018,%,male,in case of losing a breadwinner,,0.18
2019,%,male,in case of losing a breadwinner,,0.16
2015,%,female,in case of losing a breadwinner,,0.49
2016,%,female,in case of losing a breadwinner,,0.45
2017,%,female,in case of losing a breadwinner,,0.42
2018,%,female,in case of losing a breadwinner,,0.39
2019,%,female,in case of losing a breadwinner,,0.35
2016,%,,by other laws,,0.01
2017,%,,by other laws,,0.02
2018,%,,by other laws,,0.02
2019,%,,by other laws,,0.02
2016,%,male,by other laws,,0.01
2017,%,male,by other laws,,0.04
2018,%,male,by other laws,,0.04
2019,%,male,by other laws,,0.04
2016,%,female,by other laws,,0.002
2017,%,female,by other laws,,0.004
2018,%,female,by other laws,,0.004
2019,%,female,by other laws,,0.004
2015,%,,related to military service,,0.08
2016,%,,related to military service,,0.07
