Year,Units,Sex,Age,Category,Value
2015,person,,,,864
2016,person,,,,810
2017,person,,,,824
2018,person,,,,784
2019,person,,,,764
2015,person,male,,,456
2016,person,male,,,445
2017,person,male,,,445
2018,person,male,,,424
2019,person,male,,,414
2015,person,female,,,408
2016,person,female,,,365
2017,person,female,,,379
2018,person,female,,,360
2019,person,female,,,350
2015,person,,up to 1 year old,,68
2016,person,,up to 1 year old,,47
2017,person,,up to 1 year old,,59
2018,person,,up to 1 year old,,49
2019,person,,up to 1 year old,,55
2015,person,male,up to 1 year old,,34
2016,person,male,up to 1 year old,,25
2017,person,male,up to 1 year old,,27
2018,person,male,up to 1 year old,,27
2019,person,male,up to 1 year old,,25
2015,person,female,up to 1 year old,,34
2016,person,female,up to 1 year old,,22
2017,person,female,up to 1 year old,,32
2018,person,female,up to 1 year old,,22
2019,person,female,up to 1 year old,,30
2015,person,,aged 1-6 years,,199
2016,person,,aged 1-6 years,,208
2017,person,,aged 1-6 years,,170
2018,person,,aged 1-6 years,,166
2019,person,,aged 1-6 years,,161
2015,person,male,aged 1-6 years,,107
2016,person,male,aged 1-6 years,,117
2017,person,male,aged 1-6 years,,95
2018,person,male,aged 1-6 years,,86
2019,person,male,aged 1-6 years,,90
2015,person,female,aged 1-6 years,,92
2016,person,female,aged 1-6 years,,91
2017,person,female,aged 1-6 years,,75
2018,person,female,aged 1-6 years,,80
2019,person,female,aged 1-6 years,,71
2015,person,,aged 7-9 years,,147
2016,person,,aged 7-9 years,,145
2017,person,,aged 7-9 years,,176
2018,person,,aged 7-9 years,,141
2019,person,,aged 7-9 years,,139
2015,person,male,aged 7-9 years,,79
2016,person,male,aged 7-9 years,,76
2017,person,male,aged 7-9 years,,99
2018,person,male,aged 7-9 years,,82
2019,person,male,aged 7-9 years,,77
2015,person,female,aged 7-9 years,,68
2016,person,female,aged 7-9 years,,69
2017,person,female,aged 7-9 years,,77
2018,person,female,aged 7-9 years,,59
2019,person,male,aged 7-9 years,,62
2015,person,,aged 10-15 years,,246
2016,person,,aged 10-15 years,,231
2017,person,,aged 10-15 years,,221
2018,person,,aged 10-15 years,,197
2019,person,,aged 10-15 years,,209
2015,person,male,aged 10-15 years,,136
2016,person,male,aged 10-15 years,,137
2017,person,male,aged 10-15 years,,132
2018,person,male,aged 10-15 years,,115
