Year,Units,Sex,Age,Value
2015,person,,,78
2016,person,,,64
2017,person,,,45
2018,person,,,52
2019,person,,,81
2015,person,male,,38
2016,person,male,,39
2017,person,male,,21
2018,person,male,,25
2019,person,male,,41
2015,person,female,,40
2016,person,female,,25
2017,person,female,,24
2018,person,female,,27
2019,person,female,,40
2015,person,,up to 1 year old,11
2016,person,,up to 1 year old,6
2017,person,,up to 1 year old,2
2018,person,,up to 1 year old,4
2019,person,,up to 1 year old,7
2015,person,male,up to 1 year old,6
2016,person,male,up to 1 year old,5
2017,person,male,up to 1 year old,0
2018,person,male,up to 1 year old,1
2019,person,male,up to 1 year old,4
2015,person,female,up to 1 year old,5
2016,person,female,up to 1 year old,1
2017,person,female,up to 1 year old,2
2018,person,female,up to 1 year old,3
2019,person,female,up to 1 year old,3
2015,person,,aged 1-6 years,32
2016,person,,aged 1-6 years,19
2017,person,,aged 1-6 years,15
2018,person,,aged 1-6 years,21
2019,person,,aged 1-6 years,21
2015,person,male,aged 1-6 years,15
2016,person,male,aged 1-6 years,11
2017,person,male,aged 1-6 years,8
2018,person,male,aged 1-6 years,11
2019,person,male,aged 1-6 years,13
2015,person,female,aged 1-6 years,17
2016,person,female,aged 1-6 years,8
2017,person,female,aged 1-6 years,7
2018,person,female,aged 1-6 years,10
2019,person,female,aged 1-6 years,8
2015,person,,aged 7-9 years,14
2016,person,,aged 7-9 years,13
2017,person,,aged 7-9 years,7
2018,person,,aged 7-9 years,8
2019,person,,aged 7-9 years,20
2015,person,male,aged 7-9 years,6
2016,person,male,aged 7-9 years,6
2017,person,male,aged 7-9 years,4
2018,person,male,aged 7-9 years,5
2019,person,male,aged 7-9 years,7
2015,person,female,aged 7-9 years,8
2016,person,female,aged 7-9 years,7
2017,person,female,aged 7-9 years,3
2018,person,female,aged 7-9 years,3
2019,person,female,aged 7-9 years,13
2015,person,,aged 10-15 years,18
2016,person,,aged 10-15 years,20
2017,person,,aged 10-15 years,15
2018,person,,aged 10-15 years,11
2019,person,,aged 10-15 years,19
2015,person,male,aged 10-15 years,8
2016,person,male,aged 10-15 years,15
2017,person,male,aged 10-15 years,6
2018,person,male,aged 10-15 years,5
2019,person,male,aged 10-15 years,10
2015,person,female,aged 10-15 years,10
2016,person,female,aged 10-15 years,5
2017,person,female,aged 10-15 years,9
2018,person,female,aged 10-15 years,6
2019,person,female,aged 10-15 years,9
2015,person,,aged 16-17 years,3
2016,person,,aged 16-17 years,6
2017,person,,aged 16-17 years,6
2018,person,,aged 16-17 years,2
2019,person,,aged 16-17 years,14
2015,person,male,aged 16-17 years,3
2016,person,male,aged 16-17 years,2
2017,person,male,aged 16-17 years,3
2018,person,male,aged 16-17 years,0
2019,person,male,aged 16-17 years,7
2015,person,female,aged 16-17 years,0
2016,person,female,aged 16-17 years,4
2017,person,female,aged 16-17 years,3
2018,person,female,aged 16-17 years,2
2019,person,female,aged 16-17 years,7
