Year,Access to servises,Units,Location,Sex,Value
2015,household access to centralized water supply,%,,,97.3
2016,household access to centralized water supply,%,,,97.9
2017,household access to centralized water supply,%,,,97.3
2015,household access to centralized water supply,%,urban,,99.9
2016,household access to centralized water supply,%,urban,,100.0
2017,household access to centralized water supply,%,urban,,99.9
2015,household access to centralized water supply,%,rural,,92.5
2016,household access to centralized water supply,%,rural,,94.0
2017,household access to centralized water supply,%,rural,,93.3
2015,household access to centralized sewerage system,%,,,69.9
2016,household access to centralized sewerage system,%,,,69.7
2017,household access to centralized sewerage system,%,,,69.8
2015,household access to centralized sewerage system,%,urban,,96.4
2016,household access to centralized sewerage system,%,urban,,96.1
2017,household access to centralized sewerage system,%,urban,,97.8
2015,household access to centralized sewerage system,%,rural,,20.3
2016,household access to centralized sewerage system,%,rural,,20.3
2017,household access to centralized sewerage system,%,rural,,25.3
2015,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,,,87.6
2016,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,,,86.6
2017,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,,,91.7
2015,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,urban,,98.7
2016,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,urban,,98.7
2017,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,urban,,99.8
2015,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,rural,,66.7
2016,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,rural,,63.6
2017,household access to garbage disposal (garbage collector system and/or disposal by truck-garbage piled up for disposal),%,rural,,78.7
2015,internet accessibility for household,%,,,61.2
2016,internet accessibility for household,%,,,74.7
2017,internet accessibility for household,%,,,64.7
2015,internet accessibility for household,%,urban,,64.4
2016,internet accessibility for household,%,urban,,77.9
2017,internet accessibility for household,%,urban,,68.1
2015,internet accessibility for household,%,rural,,55.3
2016,internet accessibility for household,%,rural,,68.7
2017,internet accessibility for household,%,rural,,59.4
2015,internet accessibility for household members,%,,,59.1
2016,internet accessibility for household members,%,,,64.3
2017,internet accessibility for household members,%,,,64.7
2015,internet accessibility for household members,%,,male,60.8
2016,internet accessibility for household members,%,,male,65.5
2017,internet accessibility for household members,%,,male,66.3
2015,internet accessibility for household members,%,,female,57.8
2016,internet accessibility for household members,%,,female,63.4
2017,internet accessibility for household members,%,,female,63.4
2015,share of households with electricity supply,%,,,99.6
2016,share of households with electricity supply,%,,,99.8
2017,share of households with electricity supply,%,,,99.7
