Year,Units,Регионы,Пол,GeoCode,Value
2012,человек,,,,6.081519545019794
2013,человек,,,,6.281780310601058
2014,человек,,,,6.3828146198341535
2015,человек,,,,6.167102538579843
2016,человек,,,,5.947566036466102
2017,человек,,,,6.100887064527784
2012,человек,Акмолинская,,KZ03,7.327164715131722
2013,человек,Акмолинская,,KZ03,7.35667371702104
2014,человек,Акмолинская,,KZ03,7.242976810327589
2015,человек,Акмолинская,,KZ03,7.217801206345987
2016,человек,Акмолинская,,KZ03,7.302879719992831
2017,человек,Акмолинская,,KZ03,7.598447290809102
2012,человек,Актюбинская,,KZ04,3.204661325564458
2013,человек,Актюбинская,,KZ04,7.174042791456476
2014,человек,Актюбинская,,KZ04,7.088322039406796
2015,человек,Актюбинская,,KZ04,7.027082001010124
2016,человек,Актюбинская,,KZ04,7.007086993574892
2017,человек,Актюбинская,,KZ04,6.3333737207568035
2012,человек,Алматинская,,KZ01,10.942698150662675
2013,человек,Алматинская,,KZ01,11.234398055098882
2014,человек,Алматинская,,KZ01,10.605469746011082
2015,человек,Алматинская,,KZ01,10.82555393524632
2016,человек,Алматинская,,KZ01,10.962680875925985
2017,человек,Алматинская,,KZ01,10.926600430832377
2012,человек,Атырауская,,KZ06,3.114539730861037
2013,человек,Атырауская,,KZ06,3.0912977032811053
2014,человек,Атырауская,,KZ06,3.0942609514812283
2015,человек,Атырауская,,KZ06,3.076781075699837
2016,человек,Атырауская,,KZ06,3.0749809668204504
2017,человек,Атырауская,,KZ06,3.059478293043908
2012,человек,Западно-Казахстанская,,KZ07,9.255254311694364
2013,человек,Западно-Казахстанская,,KZ07,10.194493514303462
2014,человек,Западно-Казахстанская,,KZ07,10.128006875684848
2015,человек,Западно-Казахстанская,,KZ07,10.111470977184052
2016,человек,Западно-Казахстанская,,KZ07,10.17172057538988
2017,человек,Западно-Казахстанская,,KZ07,10.238460046336355
2012,человек,Жамбылская,,KZ17,3.90382474615336
2013,человек,Жамбылская,,KZ17,3.407917185742276
2014,человек,Жамбылская,,KZ17,4.466331833415578
2015,человек,Жамбылская,,KZ17,3.4557803963753218
2016,человек,Жамбылская,,KZ17,3.52950142124467
2017,человек,Жамбылская,,KZ17,4.0103445685649595
2012,человек,Карагандинская,,KZ12,6.722690734706329
2013,человек,Карагандинская,,KZ12,6.714364065858646
2014,человек,Карагандинская,,KZ12,6.753879395010803
2015,человек,Карагандинская,,KZ12,6.754110257378359
2016,человек,Карагандинская,,KZ12,6.772554495956336
2017,человек,Карагандинская,,KZ12,6.811219875275412
2012,человек,Костанайская,,KZ13,12.113027202634974
2013,человек,Костанайская,,KZ13,12.084264556173176
2014,человек,Костанайская,,KZ13,12.086294468601775
2015,человек,Костанайская,,KZ13,12.047120141030252
2016,человек,Костанайская,,KZ13,12.083380175020265
2017,человек,Костанайская,,KZ13,12.113928650142665
2012,человек,Кызылординская,,KZ14,2.9677263038645267
2013,человек,Кызылординская,,KZ14,2.9723991507431
2014,человек,Кызылординская,,KZ14,2.9790839480406563
2015,человек,Кызылординская,,KZ14,2.9863247453664883
2016,человек,Кызылординская,,KZ14,3.0322993680558423
2017,человек,Кызылординская,,KZ14,3.186342605644993
2012,человек,Мангистауская,,KZ09,1.1824523069165476
2013,человек,Мангистауская,,KZ09,1.2445986617306275
2014,человек,Мангистауская,,KZ09,1.2251748547950718
2015,человек,Мангистауская,,KZ09,1.2353822157728511
2016,человек,Мангистауская,,KZ09,1.2452800992368251
2017,человек,Мангистауская,,KZ09,0.8263174500636636
2012,человек,Южно-Казахстанская,,KZ10,6.260891138637669
2013,человек,Южно-Казахстанская,,KZ10,6.171673725371393
2014,человек,Южно-Казахстанская,,KZ10,6.528701081334312
2015,человек,Южно-Казахстанская,,KZ10,6.472015951147539
2016,человек,Южно-Казахстанская,,KZ10,6.223277700815798
2017,человек,Южно-Казахстанская,,KZ10,6.187991035180959
2012,человек,Павлодарская,,KZ11,10.56474309996316
2013,человек,Павлодарская,,KZ11,10.489654766743897
2014,человек,Павлодарская,,KZ11,10.309589430416501
2015,человек,Павлодарская,,KZ11,10.344891166252099
2016,человек,Павлодарская,,KZ11,10.26867703473942
2017,человек,Павлодарская,,KZ11,10.335196274945671
2012,человек,Северо-Казахстанская,,KZ16,7.999298169053527
2013,человек,Северо-Казахстанская,,KZ16,8.123911632180679
2014,человек,Северо-Казахстанская,,KZ16,8.191157470501484
2015,человек,Северо-Казахстанская,,KZ16,8.323080446699759
2016,человек,Северо-Казахстанская,,KZ16,3.4140001209071755
2017,человек,Северо-Казахстанская,,KZ16,8.346185996679893
2012,человек,Восточно-Казахстанская,,KZ15,6.746526195576749
2013,человек,Восточно-Казахстанская,,KZ15,6.767289759461239
2014,человек,Восточно-Казахстанская,,KZ15,8.251644578293227
2015,человек,Восточно-Казахстанская,,KZ15,6.915875194192487
2016,человек,Восточно-Казахстанская,,KZ15,6.919737424838196
2017,человек,Восточно-Казахстанская,,KZ15,7.198534161828069
2012,человек,,мужчины,,8.99024185119923
2013,человек,,мужчины,,9.213221605638546
2014,человек,,мужчины,,9.711534440861447
2015,человек,,мужчины,,9.28740826052624
2016,человек,,мужчины,,9.224788976309444
2017,человек,,мужчины,,10.442192621413476
2012,человек,Акмолинская,мужчины,,9.99069532716176
2013,человек,Акмолинская,мужчины,,10.067245980372508
2014,человек,Акмолинская,мужчины,,9.836348482619993
2015,человек,Акмолинская,мужчины,,9.801442846050902
2016,человек,Акмолинская,мужчины,,9.957651546685897
2017,человек,Акмолинская,мужчины,,12.387950556708812
2012,человек,Актюбинская,мужчины,,4.7232228603530935
2013,человек,Актюбинская,мужчины,,8.571053716684784
2014,человек,Актюбинская,мужчины,,8.460787745117102
2015,человек,Актюбинская,мужчины,,8.383607430465641
2016,человек,Актюбинская,мужчины,,8.374738780341671
2017,человек,Актюбинская,мужчины,,6.969950902781693
2012,человек,Алматинская,мужчины,,16.06645821742343
2013,человек,Алматинская,мужчины,,16.679219382314262
2014,человек,Алматинская,мужчины,,15.156032636576724
2015,человек,Алматинская,мужчины,,15.449993254664204
2016,человек,Алматинская,мужчины,,16.836879309432767
2017,человек,Алматинская,мужчины,,20.5952052561627
2012,человек,Атырауская,мужчины,,4.83195769216304
2013,человек,Атырауская,мужчины,,4.679834441695238
2014,человек,Атырауская,мужчины,,4.7115035346056064
2015,человек,Атырауская,мужчины,,4.444163148944133
2016,человек,Атырауская,мужчины,,4.479508285732902
2017,человек,Атырауская,мужчины,,4.4485391597322845
2012,человек,Западно-Казахстанская,мужчины,,12.48477826513602
2013,человек,Западно-Казахстанская,мужчины,,14.699450987752805
2014,человек,Западно-Казахстанская,мужчины,,14.580281585011988
2015,человек,Западно-Казахстанская,мужчины,,14.5639634786324
2016,человек,Западно-Казахстанская,мужчины,,14.67317407629606
2017,человек,Западно-Казахстанская,мужчины,,15.773675208927832
2012,человек,Жамбылская,мужчины,,6.077602367881192
2013,человек,Жамбылская,мужчины,,5.3610834993808085
2014,человек,Жамбылская,мужчины,,7.720232840019753
2015,человек,Жамбылская,мужчины,,5.475713809047144
2016,человек,Жамбылская,мужчины,,5.633962275393799
2017,человек,Жамбылская,мужчины,,6.712319965573249
2012,человек,Карагандинская,мужчины,,9.560153764410037
2013,человек,Карагандинская,мужчины,,9.552260579387104
2014,человек,Карагандинская,мужчины,,9.829187380384631
2015,человек,Карагандинская,мужчины,,9.824299145253514
2016,человек,Карагандинская,мужчины,,9.839694574853757
2017,человек,Карагандинская,мужчины,,10.019283139875276
2012,человек,Костанайская,мужчины,,12.134239711940749
2013,человек,Костанайская,мужчины,,12.078797304302748
2014,человек,Костанайская,мужчины,,12.075435481549018
2015,человек,Костанайская,мужчины,,11.983023037878327
2016,человек,Костанайская,мужчины,,11.997467400799852
2017,человек,Костанайская,мужчины,,11.954689740738953
2012,человек,Кызылординская,мужчины,,5.820339261128195
2013,человек,Кызылординская,мужчины,,5.835896184908652
2014,человек,Кызылординская,мужчины,,5.854154467830463
2015,человек,Кызылординская,мужчины,,5.870744525423801
2016,человек,Кызылординская,мужчины,,5.961078723315017
2017,человек,Кызылординская,мужчины,,6.268431976906215
2012,человек,Мангистауская,мужчины,,2.397186287472239
2013,человек,Мангистауская,мужчины,,2.532154677615317
2014,человек,Мангистауская,мужчины,,2.505083942907389
2015,человек,Мангистауская,мужчины,,2.5162415336686195
2016,человек,Мангистауская,мужчины,,2.5470670689448536
2017,человек,Мангистауская,мужчины,,1.6799190770688484
2012,человек,Южно-Казахстанская,мужчины,,12.005116273090715
2013,человек,Южно-Казахстанская,мужчины,,11.792235691268989
2014,человек,Южно-Казахстанская,мужчины,,12.201398587582133
2015,человек,Южно-Казахстанская,мужчины,,12.378097855081911
2016,человек,Южно-Казахстанская,мужчины,,11.765067250637815
2017,человек,Южно-Казахстанская,мужчины,,11.618792337005697
2012,человек,Павлодарская,мужчины,,16.39191745221363
2013,человек,Павлодарская,мужчины,,15.880739049519384
2014,человек,Павлодарская,мужчины,,22.252369291377807
2015,человек,Павлодарская,мужчины,,22.297114660194737
2016,человек,Павлодарская,мужчины,,22.352619772287397
2017,человек,Павлодарская,мужчины,,22.340600631652737
2012,человек,Северо-Казахстанская,мужчины,,10.84001520827834
2013,человек,Северо-Казахстанская,мужчины,,11.028656350738313
2014,человек,Северо-Казахстанская,мужчины,,11.121720256522574
2015,человек,Северо-Казахстанская,мужчины,,11.084817412980936
2016,человек,Северо-Казахстанская,мужчины,,7.108223744257983
2017,человек,Северо-Казахстанская,мужчины,,14.879002163160493
2012,человек,Восточно-Казахстанская,мужчины,,9.204001402856283
2013,человек,Восточно-Казахстанская,мужчины,,9.094844219935846
2014,человек,Восточно-Казахстанская,мужчины,,11.926598933140689
2015,человек,Восточно-Казахстанская,мужчины,,8.92255183091906
2016,человек,Восточно-Казахстанская,мужчины,,9.277950350741175
2017,человек,Восточно-Казахстанская,мужчины,,15.041073072554244
2012,человек,,женщины,,3.5065578554111165
2013,человек,,женщины,,3.685402162446737
2014,человек,,женщины,,3.433270472821785
2015,человек,,женщины,,3.401218387391052
2016,человек,,женщины,,3.041477748548792
2017,человек,,женщины,,2.6269248163889456
2012,человек,Акмолинская,женщины,,4.946407458376137
2013,человек,Акмолинская,женщины,,4.932856776352089
2014,человек,Акмолинская,женщины,,4.9237913684583425
2015,человек,Акмолинская,женщины,,4.904479848802701
2016,человек,Акмолинская,женщины,,4.921908821472576
2017,человек,Акмолинская,женщины,,3.2923003508275817
2012,человек,Актюбинская,женщины,,1.8657933972667384
2013,человек,Актюбинская,женщины,,5.940240052837447
2014,человек,Актюбинская,женщины,,5.874888869605368
2015,человек,Актюбинская,женщины,,5.827469106228452
2016,человек,Актюбинская,женщины,,5.79742458759472
2017,человек,Актюбинская,женщины,,5.770211096262917
2012,человек,Алматинская,женщины,,6.187236471032997
2013,человек,Алматинская,женщины,,6.181900564672289
2014,человек,Алматинская,женщины,,6.3766849427446815
2015,человек,Алматинская,женщины,,6.517071583834858
2016,человек,Алматинская,женщины,,5.4811254306419634
2017,человек,Алматинская,женщины,,1.8686058505893537
2012,человек,Атырауская,женщины,,1.539979523524076
2013,человек,Атырауская,женщины,,1.6330128330503857
2014,человек,Атырауская,женщины,,1.6079952956764905
2015,человек,Атырауская,женщины,,1.8187710130838093
2016,человек,Атырауская,женщины,,1.7817728239649444
2017,человек,Атырауская,женщины,,1.7788225301059046
2012,человек,Западно-Казахстанская,женщины,,6.377347835797937
2013,человек,Западно-Казахстанская,женщины,,6.180782882442213
2014,человек,Западно-Казахстанская,женщины,,6.1609827977146745
2015,человек,Западно-Казахстанская,женщины,,6.146280737090473
2016,человек,Западно-Казахстанская,женщины,,6.167319184009893
