Year,Units,Жертвы чрезвычайных ситуаций,Регионы,Value
2010,,пострадало,,145.0
2011,,пострадало,,12.0
2012,,пострадало,,20.0
2013,,пострадало,,12.0
2014,,пострадало,,19.0
2015,,пострадало,,8.0
2016,,пострадало,,8.0
2017,,пострадало,,35.0
2018,,пострадало,,8.0
2010,,пострадало на 100 000 человек,,0.00145
2011,,пострадало на 100 000 человек,,0.00012
2012,,пострадало на 100 000 человек,,0.0002
2013,,пострадало на 100 000 человек,,0.00012
2014,,пострадало на 100 000 человек,,0.00019
2015,,пострадало на 100 000 человек,,8e-05
2016,,пострадало на 100 000 человек,,8e-05
2017,,пострадало на 100 000 человек,,0.00035
2018,,пострадало на 100 000 человек,,8e-05
2010,,,,53.0
2011,,,,5.0
2012,,,,15.0
2013,,,,3.0
2014,,,,9.0
2015,,,,0.0
2016,,,,1.0
2017,,,,11.0
2018,,,,1.0
2010,,погибло на 100 000 человек,,0.00053
2011,,погибло на 100 000 человек,,5e-05
2012,,погибло на 100 000 человек,,0.00015
2013,,погибло на 100 000 человек,,3e-05
2014,,погибло на 100 000 человек,,9e-05
2015,,погибло на 100 000 человек,,0.0
2016,,погибло на 100 000 человек,,1e-05
2017,,погибло на 100 000 человек,,0.00011
2018,,погибло на 100 000 человек,,1e-05
2017,,пострадало,Акмолинская,2.0
2010,,пострадало,Актюбинская,3.0
2011,,пострадало,Актюбинская,1.0
2012,,пострадало,Актюбинская,1.0
2014,,пострадало,Актюбинская,3.0
2010,,,Актюбинская,3.0
2011,,,Актюбинская,1.0
2012,,,Актюбинская,1.0
2014,,,Актюбинская,2.0
2010,,пострадало,Алматинская,138.0
2011,,пострадало,Алматинская,1.0
2012,,пострадало,Алматинская,1.0
2013,,пострадало,Алматинская,1.0
2014,,пострадало,Алматинская,2.0
2015,,пострадало,Алматинская,1.0
2010,,,Алматинская,46.0
2011,,,Алматинская,1.0
2012,,,Алматинская,1.0
2014,,,Алматинская,1.0
2012,,пострадало,Атырауская,3.0
2013,,пострадало,Атырауская,1.0
2012,,,Атырауская,3.0
2013,,,Атырауская,1.0
2010,,пострадало,Жамбылская,1.0
2012,,пострадало,Жамбылская,10.0
2013,,пострадало,Жамбылская,8.0
2016,,пострадало,Жамбылская,5.0
2017,,пострадало,Жамбылская,27.0
2012,,,Жамбылская,7.0
2017,,,Жамбылская,9.0
2014,,пострадало,Карагандинская,12.0
2014,,,Карагандинская,5.0
2013,,пострадало,Костанайская,1.0
2013,,,Костанайская,1.0
2011,,пострадало,Кызылординская,3.0
2012,,пострадало,Кызылординская,1.0
2011,,,Кызылординская,1.0
2010,,пострадало,Мангистауская,1.0
2012,,пострадало,Мангистауская,1.0
2014,,пострадало,Южно-Казахстанская,1.0
2014,,,Южно-Казахстанская,1.0
2018,,пострадало,Павлодарская,1.0
2018,,,Павлодарская,1.0
2010,,пострадало,Северо-Казахстанская,5.0
2011,,пострадало,Северо-Казахстанская,1.0
2012,,пострадало,Северо-Казахстанская,2.0
2013,,пострадало,Северо-Казахстанская,1.0
2016,,пострадало,Северо-Казахстанская,1.0
2010,,,Северо-Казахстанская,5.0
2011,,,Северо-Казахстанская,1.0
2012,,,Северо-Казахстанская,2.0
2013,,,Северо-Казахстанская,1.0
2016,,,Северо-Казахстанская,1.0
2012,,пострадало,Восточно-Казахстанская,1.0
2015,,пострадало,Восточно-Казахстанская,2.0
2016,,пострадало,Восточно-Казахстанская,2.0
2017,,пострадало,Восточно-Казахстанская,5.0
2018,,пострадало,Восточно-Казахстанская,1.0
2012,,,Восточно-Казахстанская,1.0
2017,,,Восточно-Казахстанская,1.0
2018,,,Восточно-Казахстанская,1.0
2014,,пострадало,г.Нур-Султан,1.0
2018,,пострадало,г.Нур-Султан,6.0
2011,,пострадало,г.Алматы,6.0
2015,,пострадало,г.Алматы,6.0
2017,,пострадало,г.Алматы,1.0
2011,,,г.Алматы,1.0
2017,,,г.Алматы,1.0
