Year,Units,Регионы,сумма ущерба от ЧС,GeoCode,Value
2010,тыс.тенге,Республика Казахстан,,,1249382.0
2011,тыс.тенге,Республика Казахстан,,,325575.2
2012,тыс.тенге,Республика Казахстан,,,1238491.2
2013,тыс.тенге,Республика Казахстан,,,385119.9
2014,тыс.тенге,Республика Казахстан,,,753692.2999999998
2015,тыс.тенге,Республика Казахстан,,,4354485.716
2016,тыс.тенге,Республика Казахстан,,,348682.0
2017,тыс.тенге,Республика Казахстан,,,1404379.2400000002
2010,тыс.тенге,Акмолинская,,KZ03,20000.0
2011,тыс.тенге,Акмолинская,,KZ03,578.3
2012,тыс.тенге,Акмолинская,,KZ03,7579.2
2013,тыс.тенге,Акмолинская,,KZ03,56392.5
2014,тыс.тенге,Акмолинская,,KZ03,34045.1
2015,тыс.тенге,Акмолинская,,KZ03,14285.0
2016,тыс.тенге,Акмолинская,,KZ03,41496.0
2017,тыс.тенге,Акмолинская,,KZ03,126663.1
2010,тыс.тенге,Актюбинская,,KZ04,5055.0
2011,тыс.тенге,Актюбинская,,KZ04,0.0
2012,тыс.тенге,Актюбинская,,KZ04,2000.0
2013,тыс.тенге,Актюбинская,,KZ04,2000.0
2014,тыс.тенге,Актюбинская,,KZ04,5000.0
2015,тыс.тенге,Актюбинская,,KZ04,0.0
2016,тыс.тенге,Актюбинская,,KZ04,13704.8
2017,тыс.тенге,Актюбинская,,KZ04,315259.9
2010,тыс.тенге,Алматинская,,KZ01,900.0
2011,тыс.тенге,Алматинская,,KZ01,280.0
2012,тыс.тенге,Алматинская,,KZ01,867.0
2013,тыс.тенге,Алматинская,,KZ01,1363.0
2014,тыс.тенге,Алматинская,,KZ01,6.0
2015,тыс.тенге,Алматинская,,KZ01,124.0
2016,тыс.тенге,Алматинская,,KZ01,1373.0
2017,тыс.тенге,Алматинская,,KZ01,9453.0
2010,тыс.тенге,Атырауская,,KZ06,0.0
2011,тыс.тенге,Атырауская,,KZ06,0.0
2012,тыс.тенге,Атырауская,,KZ06,0.0
2013,тыс.тенге,Атырауская,,KZ06,0.0
2014,тыс.тенге,Атырауская,,KZ06,50686.2
2015,тыс.тенге,Атырауская,,KZ06,103683.7
2016,тыс.тенге,Атырауская,,KZ06,99505.4
2017,тыс.тенге,Атырауская,,KZ06,4589.4
2010,тыс.тенге,Западно-Казахстанская,,KZ07,0.0
2011,тыс.тенге,Западно-Казахстанская,,KZ07,0.0
2012,тыс.тенге,Западно-Казахстанская,,KZ07,0.0
2013,тыс.тенге,Западно-Казахстанская,,KZ07,0.0
2014,тыс.тенге,Западно-Казахстанская,,KZ07,0.0
2015,тыс.тенге,Западно-Казахстанская,,KZ07,103906.81599999999
2016,тыс.тенге,Западно-Казахстанская,,KZ07,4000.0
2017,тыс.тенге,Западно-Казахстанская,,KZ07,51123.94
2010,тыс.тенге,Жамбылская,,KZ17,60.8
2011,тыс.тенге,Жамбылская,,KZ17,64.9
2012,тыс.тенге,Жамбылская,,KZ17,55.5
2013,тыс.тенге,Жамбылская,,KZ17,59.3
2014,тыс.тенге,Жамбылская,,KZ17,1688.0
2015,тыс.тенге,Жамбылская,,KZ17,880.1
2016,тыс.тенге,Жамбылская,,KZ17,924.3
2017,тыс.тенге,Жамбылская,,KZ17,9550.5
2010,тыс.тенге,Карагандинская,,KZ12,11256.0
2011,тыс.тенге,Карагандинская,,KZ12,0.0
2012,тыс.тенге,Карагандинская,,KZ12,74.0
2013,тыс.тенге,Карагандинская,,KZ12,3500.0
2014,тыс.тенге,Карагандинская,,KZ12,473.9
2015,тыс.тенге,Карагандинская,,KZ12,3765009.8
2016,тыс.тенге,Карагандинская,,KZ12,12260.0
2017,тыс.тенге,Карагандинская,,KZ12,162781.3
2010,тыс.тенге,Костанайская,,KZ13,20900.0
2011,тыс.тенге,Костанайская,,KZ13,0.0
2012,тыс.тенге,Костанайская,,KZ13,20400.0
2013,тыс.тенге,Костанайская,,KZ13,36800.0
2014,тыс.тенге,Костанайская,,KZ13,1200.0
2015,тыс.тенге,Костанайская,,KZ13,0.0
2016,тыс.тенге,Костанайская,,KZ13,26500.0
2017,тыс.тенге,Костанайская,,KZ13,27200.0
2010,тыс.тенге,Кызылординская,,KZ14,4400.0
2011,тыс.тенге,Кызылординская,,KZ14,4500.0
2012,тыс.тенге,Кызылординская,,KZ14,9700.0
2013,тыс.тенге,Кызылординская,,KZ14,93800.0
2014,тыс.тенге,Кызылординская,,KZ14,60900.0
2015,тыс.тенге,Кызылординская,,KZ14,33800.0
2016,тыс.тенге,Кызылординская,,KZ14,20100.0
2017,тыс.тенге,Кызылординская,,KZ14,84200.0
2010,тыс.тенге,Мангистауская,,KZ09,44918.2
2011,тыс.тенге,Мангистауская,,KZ09,120853.4
2012,тыс.тенге,Мангистауская,,KZ09,34652.9
2013,тыс.тенге,Мангистауская,,KZ09,0.0
