Year,Units,Расходы бюджета,Value
2010,процент,,14.4
2011,процент,,11.6
2012,процент,,12.3
2013,процент,,12.3
2014,процент,,14.3
2015,процент,,22.1
2016,процент,,24.3
2017,процент,,25.4
2018,процент,,26.2
2010,процент,Дефицит государственного бюджета,-527264178.8
2011,процент,Дефицит государственного бюджета,-568618498.5
2012,процент,Дефицит государственного бюджета,-890308744.0
2013,процент,Дефицит государственного бюджета,-700927751.3
2014,процент,Дефицит государственного бюджета,-1086670436.5
2015,процент,Дефицит государственного бюджета,-915704.8
2016,процент,Дефицит государственного бюджета,-737717.6
2017,процент,Дефицит государственного бюджета,-1455319.8
