Year,Units,Регионы,Value
2012,человек,,114150.0
2013,человек,,111466.0
2014,человек,,120609.0
2015,человек,,108673.0
2016,человек,,77947.0
2017,человек,,68392.0
2018,человек,,68339.0
2012,человек,Акмолинская,786.0
2013,человек,Акмолинская,581.0
2014,человек,Акмолинская,595.0
2015,человек,Акмолинская,1586.0
2016,человек,Акмолинская,371.0
2017,человек,Акмолинская,389.0
2018,человек,Акмолинская,384.0
2012,человек,Актюбинская,2229.0
2013,человек,Актюбинская,2172.0
2014,человек,Актюбинская,1047.0
2015,человек,Актюбинская,1182.0
2016,человек,Актюбинская,451.0
2017,человек,Актюбинская,384.0
2018,человек,Актюбинская,384.0
2012,человек,Алматинская,2680.0
2013,человек,Алматинская,2287.0
2014,человек,Алматинская,1908.0
2015,человек,Алматинская,1607.0
2016,человек,Алматинская,1686.0
2017,человек,Алматинская,1763.0
2018,человек,Алматинская,1680.0
2012,человек,Атырауская,2802.0
2013,человек,Атырауская,2818.0
2014,человек,Атырауская,2760.0
2015,человек,Атырауская,3124.0
2016,человек,Атырауская,1309.0
2017,человек,Атырауская,1462.0
2018,человек,Атырауская,1455.0
2012,человек,Западно-Казахстанская,2698.0
2013,человек,Западно-Казахстанская,2643.0
2014,человек,Западно-Казахстанская,2580.0
2015,человек,Западно-Казахстанская,2414.0
2016,человек,Западно-Казахстанская,2633.0
2017,человек,Западно-Казахстанская,1679.0
2018,человек,Западно-Казахстанская,1674.0
2012,человек,Жамбылская,534.0
2013,человек,Жамбылская,679.0
2014,человек,Жамбылская,3561.0
2015,человек,Жамбылская,3376.0
2016,человек,Жамбылская,3.0
2017,человек,Жамбылская,2.0
2012,человек,Карагандинская,7768.0
2013,человек,Карагандинская,7451.0
2014,человек,Карагандинская,7919.0
2015,человек,Карагандинская,7120.0
2016,человек,Карагандинская,1678.0
2017,человек,Карагандинская,1713.0
2018,человек,Карагандинская,1722.0
2012,человек,Костанайская,5938.0
2013,человек,Костанайская,5947.0
2014,человек,Костанайская,5847.0
2015,человек,Костанайская,6202.0
2016,человек,Костанайская,3731.0
2017,человек,Костанайская,2431.0
2018,человек,Костанайская,2433.0
2012,человек,Кызылординская,1262.0
2013,человек,Кызылординская,1117.0
2014,человек,Кызылординская,1195.0
2015,человек,Кызылординская,1338.0
2016,человек,Кызылординская,1332.0
2017,человек,Кызылординская,102.0
2018,человек,Кызылординская,65.0
2012,человек,Мангистауская,16012.0
2013,человек,Мангистауская,15653.0
2014,человек,Мангистауская,15743.0
2015,человек,Мангистауская,13938.0
2016,человек,Мангистауская,426.0
2017,человек,Мангистауская,231.0
2018,человек,Мангистауская,231.0
2012,человек,Южно-Казахстанская,874.0
2013,человек,Южно-Казахстанская,898.0
2014,человек,Южно-Казахстанская,521.0
2015,человек,Южно-Казахстанская,585.0
2016,человек,Южно-Казахстанская,340.0
2017,человек,Южно-Казахстанская,346.0
2012,человек,Павлодарская,826.0
2013,человек,Павлодарская,810.0
2014,человек,Павлодарская,802.0
2015,человек,Павлодарская,784.0
2016,человек,Павлодарская,775.0
2017,человек,Павлодарская,844.0
2018,человек,Павлодарская,839.0
2012,человек,Северо-Казахстанская,3586.0
2013,человек,Северо-Казахстанская,3915.0
2014,человек,Северо-Казахстанская,3946.0
2015,человек,Северо-Казахстанская,1239.0
2016,человек,Северо-Казахстанская,1347.0
2017,человек,Северо-Казахстанская,1379.0
2018,человек,Северо-Казахстанская,1333.0
2018,человек,Туркестанская,257.0
2012,человек,Восточно-Казахстанская,16438.0
2013,человек,Восточно-Казахстанская,13382.0
2014,человек,Восточно-Казахстанская,13508.0
2015,человек,Восточно-Казахстанская,6051.0
2016,человек,Восточно-Казахстанская,2265.0
2017,человек,Восточно-Казахстанская,2320.0
2018,человек,Восточно-Казахстанская,2293.0
2012,человек,г.Нур-Султан,6791.0
2013,человек,г.Нур-Султан,6918.0
2014,человек,г.Нур-Султан,9393.0
2015,человек,г.Нур-Султан,7881.0
2016,человек,г.Нур-Султан,9686.0
2017,человек,г.Нур-Султан,4513.0
2018,человек,г.Нур-Султан,4703.0
2012,человек,г.Алматы,42926.0
2013,человек,г.Алматы,44195.0
2014,человек,г.Алматы,49284.0
2015,человек,г.Алматы,50246.0
2016,человек,г.Алматы,49914.0
2017,человек,г.Алматы,48834.0
2018,человек,г.Алматы,48792.0
2018,человек,г.Шымкент,94.0
