Year,Units,Жертвы чрезвычайных ситуаций,Value
2010,на 100000 человек,пострадало,0.00145
2011,на 100000 человек,пострадало,0.00012
2012,на 100000 человек,пострадало,0.0002
2013,на 100000 человек,пострадало,0.00012
2014,на 100000 человек,пострадало,0.00019
2015,на 100000 человек,пострадало,8e-05
2016,на 100000 человек,пострадало,8e-05
2017,на 100000 человек,пострадало,0.00035
2018,на 100000 человек,пострадало,8e-05
2010,на 100000 человек,,0.00053
2011,на 100000 человек,,5e-05
2012,на 100000 человек,,0.00015
2013,на 100000 человек,,3e-05
2014,на 100000 человек,,9e-05
2015,на 100000 человек,,0.0
2016,на 100000 человек,,1e-05
2017,на 100000 человек,,0.00011
2018,на 100000 человек,,1e-05
