Year,Units,сумма ущерба от ЧС,Регионы,GeoCode,Value
2010,тыс_тенге,природного характера,,,1249382.0
2011,тыс_тенге,природного характера,,,325575.2
2012,тыс_тенге,природного характера,,,1238491.2
2013,тыс_тенге,природного характера,,,385119.9
2014,тыс_тенге,природного характера,,,753692.2999999998
2015,тыс_тенге,природного характера,,,4354485.716
2016,тыс_тенге,природного характера,,,348682.0
2017,тыс_тенге,природного характера,,,1404379.2400000002
2010,тыс_тенге,природного характера,Акмолинская,,20000.0
2011,тыс_тенге,природного характера,Акмолинская,,578.3
2012,тыс_тенге,природного характера,Акмолинская,,7579.2
2013,тыс_тенге,природного характера,Акмолинская,,56392.5
2014,тыс_тенге,природного характера,Акмолинская,,34045.1
2015,тыс_тенге,природного характера,Акмолинская,,14285.0
2016,тыс_тенге,природного характера,Акмолинская,,41496.0
2017,тыс_тенге,природного характера,Акмолинская,,126663.1
2010,тыс_тенге,природного характера,Актюбинская,,5055.0
2011,тыс_тенге,природного характера,Актюбинская,,0.0
2012,тыс_тенге,природного характера,Актюбинская,,2000.0
2013,тыс_тенге,природного характера,Актюбинская,,2000.0
2014,тыс_тенге,природного характера,Актюбинская,,5000.0
2015,тыс_тенге,природного характера,Актюбинская,,0.0
2016,тыс_тенге,природного характера,Актюбинская,,13704.8
2017,тыс_тенге,природного характера,Актюбинская,,315259.9
2010,тыс_тенге,природного характера,Алматинская,,900.0
2011,тыс_тенге,природного характера,Алматинская,,280.0
2012,тыс_тенге,природного характера,Алматинская,,867.0
2013,тыс_тенге,природного характера,Алматинская,,1363.0
2014,тыс_тенге,природного характера,Алматинская,,6.0
2015,тыс_тенге,природного характера,Алматинская,,124.0
2016,тыс_тенге,природного характера,Алматинская,,1373.0
2017,тыс_тенге,природного характера,Алматинская,,9453.0
2010,тыс_тенге,природного характера,Атырауская,,0.0
2011,тыс_тенге,природного характера,Атырауская,,0.0
2012,тыс_тенге,природного характера,Атырауская,,0.0
2013,тыс_тенге,природного характера,Атырауская,,0.0
2014,тыс_тенге,природного характера,Атырауская,,50686.2
2015,тыс_тенге,природного характера,Атырауская,,103683.7
2016,тыс_тенге,природного характера,Атырауская,,99505.4
2017,тыс_тенге,природного характера,Атырауская,,4589.4
2010,тыс_тенге,природного характера,Западно-Казахстанская,,0.0
2011,тыс_тенге,природного характера,Западно-Казахстанская,,0.0
2012,тыс_тенге,природного характера,Западно-Казахстанская,,0.0
2013,тыс_тенге,природного характера,Западно-Казахстанская,,0.0
2014,тыс_тенге,природного характера,Западно-Казахстанская,,0.0
2015,тыс_тенге,природного характера,Западно-Казахстанская,,103906.816
2016,тыс_тенге,природного характера,Западно-Казахстанская,,4000.0
2017,тыс_тенге,природного характера,Западно-Казахстанская,,51123.94
2010,тыс_тенге,природного характера,Жамбылская,,60.8
2011,тыс_тенге,природного характера,Жамбылская,,64.9
2012,тыс_тенге,природного характера,Жамбылская,,55.5
2013,тыс_тенге,природного характера,Жамбылская,,59.3
2014,тыс_тенге,природного характера,Жамбылская,,1688.0
2015,тыс_тенге,природного характера,Жамбылская,,880.1
2016,тыс_тенге,природного характера,Жамбылская,,924.3
2017,тыс_тенге,природного характера,Жамбылская,,9550.5
2010,тыс_тенге,природного характера,Карагандинская,,11256.0
2011,тыс_тенге,природного характера,Карагандинская,,0.0
2012,тыс_тенге,природного характера,Карагандинская,,74.0
2013,тыс_тенге,природного характера,Карагандинская,,3500.0
2014,тыс_тенге,природного характера,Карагандинская,,473.9
2015,тыс_тенге,природного характера,Карагандинская,,3765009.8
2016,тыс_тенге,природного характера,Карагандинская,,12260.0
2017,тыс_тенге,природного характера,Карагандинская,,162781.3
2010,тыс_тенге,природного характера,Костанайская,,20900.0
2011,тыс_тенге,природного характера,Костанайская,,0.0
2012,тыс_тенге,природного характера,Костанайская,,20400.0
2013,тыс_тенге,природного характера,Костанайская,,36800.0
2014,тыс_тенге,природного характера,Костанайская,,1200.0
2015,тыс_тенге,природного характера,Костанайская,,0.0
2016,тыс_тенге,природного характера,Костанайская,,26500.0
2017,тыс_тенге,природного характера,Костанайская,,27200.0
2010,тыс_тенге,природного характера,Кызылординская,,4400.0
2011,тыс_тенге,природного характера,Кызылординская,,4500.0
2012,тыс_тенге,природного характера,Кызылординская,,9700.0
2013,тыс_тенге,природного характера,Кызылординская,,93800.0
2014,тыс_тенге,природного характера,Кызылординская,,60900.0
2015,тыс_тенге,природного характера,Кызылординская,,33800.0
2016,тыс_тенге,природного характера,Кызылординская,,20100.0
2017,тыс_тенге,природного характера,Кызылординская,,84200.0
2010,тыс_тенге,природного характера,Мангистауская,,44918.2
2011,тыс_тенге,природного характера,Мангистауская,,120853.4
2012,тыс_тенге,природного характера,Мангистауская,,34652.9
2013,тыс_тенге,природного характера,Мангистауская,,0.0
2014,тыс_тенге,природного характера,Мангистауская,,0.0
2015,тыс_тенге,природного характера,Мангистауская,,10332.2
2016,тыс_тенге,природного характера,Мангистауская,,0.0
2017,тыс_тенге,природного характера,Мангистауская,,0.0
2010,тыс_тенге,природного характера,Павлодарская,,75492.0
2011,тыс_тенге,природного характера,Павлодарская,,91298.6
2012,тыс_тенге,природного характера,Павлодарская,,76462.6
2013,тыс_тенге,природного характера,Павлодарская,,138605.1
2014,тыс_тенге,природного характера,Павлодарская,,41893.1
2015,тыс_тенге,природного характера,Павлодарская,,71709.1
2016,тыс_тенге,природного характера,Павлодарская,,38518.5
2017,тыс_тенге,природного характера,Павлодарская,,503358.1
2010,тыс_тенге,природного характера,Северо-Казахстанская,,0.0
2011,тыс_тенге,природного характера,Северо-Казахстанская,,0.0
2012,тыс_тенге,природного характера,Северо-Казахстанская,,0.0
2013,тыс_тенге,природного характера,Северо-Казахстанская,,0.0
2014,тыс_тенге,природного характера,Северо-Казахстанская,,0.0
2015,тыс_тенге,природного характера,Северо-Казахстанская,,0.0
2016,тыс_тенге,природного характера,Северо-Казахстанская,,0.0
2017,тыс_тенге,природного характера,Северо-Казахстанская,,2600.0
2010,тыс_тенге,природного характера,Туркестанская,,61300.0
2011,тыс_тенге,природного характера,Туркестанская,,0.0
2012,тыс_тенге,природного характера,Туркестанская,,977400.0
2013,тыс_тенге,природного характера,Туркестанская,,0.0
2014,тыс_тенге,природного характера,Туркестанская,,0.0
2015,тыс_тенге,природного характера,Туркестанская,,0.0
2016,тыс_тенге,природного характера,Туркестанская,,0.0
2017,тыс_тенге,природного характера,Туркестанская,,0.0
2010,тыс_тенге,природного характера,Восточно-Казахстанская,,1005100.0
2011,тыс_тенге,природного характера,Восточно-Казахстанская,,108000.0
2012,тыс_тенге,природного характера,Восточно-Казахстанская,,109300.0
2013,тыс_тенге,природного характера,Восточно-Казахстанская,,52600.0
2014,тыс_тенге,природного характера,Восточно-Казахстанская,,56600.0
2015,тыс_тенге,природного характера,Восточно-Казахстанская,,220900.0
2016,тыс_тенге,природного характера,Восточно-Казахстанская,,90300.0
2017,тыс_тенге,природного характера,Восточно-Казахстанская,,107600.0
2010,тыс_тенге,природного характера,г_Нур-Султан,,0.0
2011,тыс_тенге,природного характера,г_Нур-Султан,,0.0
2012,тыс_тенге,природного характера,г_Нур-Султан,,0.0
2013,тыс_тенге,природного характера,г_Нур-Султан,,0.0
2014,тыс_тенге,природного характера,г_Нур-Султан,,0.0
2015,тыс_тенге,природного характера,г_Нур-Султан,,4855.0
2016,тыс_тенге,природного характера,г_Нур-Султан,,0.0
2017,тыс_тенге,природного характера,г_Нур-Султан,,0.0
2010,тыс_тенге,природного характера,г_Алматы,,0.0
2011,тыс_тенге,природного характера,г_Алматы,,0.0
2012,тыс_тенге,природного характера,г_Алматы,,0.0
2013,тыс_тенге,природного характера,г_Алматы,,0.0
2014,тыс_тенге,природного характера,г_Алматы,,0.0
2015,тыс_тенге,природного характера,г_Алматы,,0.0
2016,тыс_тенге,природного характера,г_Алматы,,0.0
2017,тыс_тенге,природного характера,г_Алматы,,0.0
2010,тыс_тенге,природного характера,г_Шымкент,,0.0
2011,тыс_тенге,природного характера,г_Шымкент,,0.0
2012,тыс_тенге,природного характера,г_Шымкент,,0.0
2013,тыс_тенге,природного характера,г_Шымкент,,0.0
2014,тыс_тенге,природного характера,г_Шымкент,,501200.0
2015,тыс_тенге,природного характера,г_Шымкент,,25000.0
2016,тыс_тенге,природного характера,г_Шымкент,,0.0
2017,тыс_тенге,природного характера,г_Шымкент,,0.0
2010,тыс_тенге,техногенного характера,,,8334944.729999999
2011,тыс_тенге,техногенного характера,,,949121.35
2012,тыс_тенге,техногенного характера,,,1484323.57
2013,тыс_тенге,техногенного характера,,,1238029.8
2014,тыс_тенге,техногенного характера,,,1197290.1
2015,тыс_тенге,техногенного характера,,,504569.8
