Year,Units,экология,Value
2016,процент,,66.4
2017,процент,,68.6
2018,процент,,80.0
2012,процент,Доля переработки твердых бытовых отходов,1.0
2013,процент,Доля переработки твердых бытовых отходов,1.58
2014,процент,Доля переработки твердых бытовых отходов,2.21
2015,процент,Доля переработки твердых бытовых отходов,1.8
2016,процент,Доля переработки твердых бытовых отходов,2.6
2017,процент,Доля переработки твердых бытовых отходов,9.0
2018,процент,Доля переработки твердых бытовых отходов,11.51
2016,процент,"Доля полигонов, соответствующих экологическим требованиям и санитарным нормам",15.0
2017,процент,"Доля полигонов, соответствующих экологическим требованиям и санитарным нормам",16.0
2018,процент,"Доля полигонов, соответствующих экологическим требованиям и санитарным нормам",17.5
