Year,Units,Регионы,Value
2016,процент,,100.0
2017,процент,,100.0
2018,процент,,100.0
2016,процент,Акмолинская,100.0
2017,процент,Акмолинская,100.0
2018,процент,Акмолинская,100.0
2016,процент,Актюбинская,100.0
2017,процент,Актюбинская,100.0
2018,процент,Актюбинская,100.0
2016,процент,Алматинская,100.0
2017,процент,Алматинская,100.0
2018,процент,Алматинская,100.0
2016,процент,Атырауская,100.0
2017,процент,Атырауская,100.0
2018,процент,Атырауская,100.0
2016,процент,Западно-Казахстанская,100.0
2017,процент,Западно-Казахстанская,100.0
2018,процент,Западно-Казахстанская,100.0
2016,процент,Жамбылская,100.0
2017,процент,Жамбылская,100.0
2018,процент,Жамбылская,100.0
2016,процент,Карагандинская,100.0
2017,процент,Карагандинская,100.0
2018,процент,Карагандинская,100.0
2016,процент,Костанайская,100.0
2017,процент,Костанайская,100.0
2018,процент,Костанайская,100.0
2016,процент,Кызылординская,100.0
2017,процент,Кызылординская,100.0
2018,процент,Кызылординская,100.0
2016,процент,Мангистауская,100.0
2017,процент,Мангистауская,100.0
2018,процент,Мангистауская,100.0
2016,процент,Павлодарская,100.0
2017,процент,Павлодарская,100.0
2018,процент,Павлодарская,100.0
2016,процент,Северо-Казахстанская,100.0
2017,процент,Северо-Казахстанская,100.0
2018,процент,Северо-Казахстанская,100.0
2016,процент,Туркестанская,100.0
2017,процент,Туркестанская,100.0
2018,процент,Туркестанская,100.0
2016,процент,Восточно-Казахстанская,100.0
2017,процент,Восточно-Казахстанская,100.0
2018,процент,Восточно-Казахстанская,100.0
2016,процент,г.Нур-Султан,100.0
2017,процент,г.Нур-Султан,100.0
2018,процент,г.Нур-Султан,100.0
2016,процент,г.Алматы,100.0
2017,процент,г.Алматы,100.0
2018,процент,г.Алматы,100.0
2016,процент,г.Шымкент,100.0
2017,процент,г.Шымкент,100.0
2018,процент,г.Шымкент,100.0
