Year,Units,Жертвы чрезвычайных ситуаций,Регион,Город,Value
2010,,число пострадавших,,,148.0
2011,,число пострадавших,,,12.0
2012,,число пострадавших,,,20.0
2013,,число пострадавших,,,12.0
2014,,число пострадавших,,,19.0
2015,,число пострадавших,,,8.0
2016,,число пострадавших,,,8.0
2017,,число пострадавших,,,35.0
2018,,число пострадавших,,,8.0
2010,,число пострадавших на 100 000 человек,,,0.00148
2011,,число пострадавших на 100 000 человек,,,0.00012
2012,,число пострадавших на 100 000 человек,,,0.0002
2013,,число пострадавших на 100 000 человек,,,0.00012
2014,,число пострадавших на 100 000 человек,,,0.00019
2015,,число пострадавших на 100 000 человек,,,8e-05
2016,,число пострадавших на 100 000 человек,,,8e-05
2017,,число пострадавших на 100 000 человек,,,0.00035
2018,,число пострадавших на 100 000 человек,,,8e-05
2010,,в том числе число погибших,,,54.0
2011,,в том числе число погибших,,,5.0
2012,,в том числе число погибших,,,15.0
2013,,в том числе число погибших,,,3.0
2014,,в том числе число погибших,,,9.0
2015,,в том числе число погибших,,,0.0
2016,,в том числе число погибших,,,1.0
2017,,в том числе число погибших,,,11.0
2018,,в том числе число погибших,,,1.0
2010,,число погибших на 100 000 человек,,,0.00054
2011,,число погибших на 100 000 человек,,,5e-05
2012,,число погибших на 100 000 человек,,,0.00015
2013,,число погибших на 100 000 человек,,,3e-05
2014,,число погибших на 100 000 человек,,,9e-05
2015,,число погибших на 100 000 человек,,,0.0
2016,,число погибших на 100 000 человек,,,1e-05
2017,,число погибших на 100 000 человек,,,0.00011
2018,,число погибших на 100 000 человек,,,1e-05
2017,,число пострадавших,Акмолинская,,2.0
2010,,число пострадавших,Актюбинская,,6.0
2011,,число пострадавших,Актюбинская,,1.0
2012,,число пострадавших,Актюбинская,,2.0
2014,,число пострадавших,Актюбинская,,3.0
2017,,число пострадавших,Актюбинская,,10.0
2010,,в том числе число погибших,Актюбинская,,4.0
2011,,в том числе число погибших,Актюбинская,,1.0
2012,,в том числе число погибших,Актюбинская,,1.0
2014,,в том числе число погибших,Актюбинская,,2.0
2017,,в том числе число погибших,Актюбинская,,5.0
2010,,число пострадавших,Алматинская,,138.0
2011,,число пострадавших,Алматинская,,1.0
2012,,число пострадавших,Алматинская,,1.0
2013,,число пострадавших,Алматинская,,2.0
2014,,число пострадавших,Алматинская,,2.0
2015,,число пострадавших,Алматинская,,1.0
2010,,в том числе число погибших,Алматинская,,46.0
2011,,в том числе число погибших,Алматинская,,1.0
2012,,в том числе число погибших,Алматинская,,1.0
2013,,в том числе число погибших,Алматинская,,1.0
2014,,в том числе число погибших,Алматинская,,1.0
2012,,число пострадавших,Атырауская,,3.0
2013,,число пострадавших,Атырауская,,1.0
