Year,Units,Регионы,GeoCode,Value
2016,на 100 000 человек,,,100.0
2017,на 100 000 человек,,,100.0
2018,на 100 000 человек,,,100.0
2016,на 100 000 человек,Акмолинская,KZ03,100.0
2017,на 100 000 человек,Акмолинская,KZ03,100.0
2018,на 100 000 человек,Акмолинская,KZ03,100.0
2016,на 100 000 человек,Актюбинская,KZ04,100.0
2017,на 100 000 человек,Актюбинская,KZ04,100.0
2018,на 100 000 человек,Актюбинская,KZ04,100.0
2016,на 100 000 человек,Алматинская,KZ01,100.0
2017,на 100 000 человек,Алматинская,KZ01,100.0
2018,на 100 000 человек,Алматинская,KZ01,100.0
2016,на 100 000 человек,Атырауская,KZ06,100.0
2017,на 100 000 человек,Атырауская,KZ06,100.0
2018,на 100 000 человек,Атырауская,KZ06,100.0
2016,на 100 000 человек,Западно-Казахстанская,KZ07,100.0
2017,на 100 000 человек,Западно-Казахстанская,KZ07,100.0
2018,на 100 000 человек,Западно-Казахстанская,KZ07,100.0
2016,на 100 000 человек,Жамбылская,KZ17,100.0
2017,на 100 000 человек,Жамбылская,KZ17,100.0
2018,на 100 000 человек,Жамбылская,KZ17,100.0
2016,на 100 000 человек,Карагандинская,KZ12,100.0
2017,на 100 000 человек,Карагандинская,KZ12,100.0
2018,на 100 000 человек,Карагандинская,KZ12,100.0
2016,на 100 000 человек,Костанайская,KZ13,100.0
2017,на 100 000 человек,Костанайская,KZ13,100.0
2018,на 100 000 человек,Костанайская,KZ13,100.0
2016,на 100 000 человек,Кызылординская,KZ14,100.0
2017,на 100 000 человек,Кызылординская,KZ14,100.0
2018,на 100 000 человек,Кызылординская,KZ14,100.0
2016,на 100 000 человек,Мангистауская,KZ09,100.0
2017,на 100 000 человек,Мангистауская,KZ09,100.0
2018,на 100 000 человек,Мангистауская,KZ09,100.0
2016,на 100 000 человек,Павлодарская,KZ11,100.0
2017,на 100 000 человек,Павлодарская,KZ11,100.0
2018,на 100 000 человек,Павлодарская,KZ11,100.0
2016,на 100 000 человек,Северо-Казахстанская,KZ16,100.0
2017,на 100 000 человек,Северо-Казахстанская,KZ16,100.0
2018,на 100 000 человек,Северо-Казахстанская,KZ16,100.0
2016,на 100 000 человек,Туркестанская,KZ10,100.0
2017,на 100 000 человек,Туркестанская,KZ10,100.0
2018,на 100 000 человек,Туркестанская,KZ10,100.0
2016,на 100 000 человек,Восточно-Казахстанская,KZ15,100.0
2017,на 100 000 человек,Восточно-Казахстанская,KZ15,100.0
2018,на 100 000 человек,Восточно-Казахстанская,KZ15,100.0
2016,на 100 000 человек,г_Нур-Султан,KZ05,100.0
2017,на 100 000 человек,г_Нур-Султан,KZ05,100.0
2018,на 100 000 человек,г_Нур-Султан,KZ05,100.0
2016,на 100 000 человек,г_Алматы,KZ02,100.0
2017,на 100 000 человек,г_Алматы,KZ02,100.0
2018,на 100 000 человек,г_Алматы,KZ02,100.0
2016,на 100 000 человек,г_Шымкент,KZ18,100.0
2017,на 100 000 человек,г_Шымкент,KZ18,100.0
2018,на 100 000 человек,г_Шымкент,KZ18,100.0
