Year,Units,Браконьерство,Регионы,GeoCode,Value
2012,количество,выявлено нарушений,,,7480.0
2013,количество,выявлено нарушений,,,6455.0
2014,количество,выявлено нарушений,,,5895.0
2015,количество,выявлено нарушений,,,6555.0
2016,количество,выявлено нарушений,,,5782.0
2017,количество,выявлено нарушений,,,4514.0
2018,количество,выявлено нарушений,,,4735.0
2012,млн_тенге,наложено штрафов на сумму,,,32.6
2013,млн_тенге,наложено штрафов на сумму,,,32.6
2014,млн_тенге,наложено штрафов на сумму,,,56.0
2015,млн_тенге,наложено штрафов на сумму,,,87.2
2016,млн_тенге,наложено штрафов на сумму,,,91.5
2017,млн_тенге,наложено штрафов на сумму,,,78.4
2018,млн_тенге,наложено штрафов на сумму,,,63.8
2012,млн_тенге,взыскано,,,29.2
2013,млн_тенге,взыскано,,,29.1
2014,млн_тенге,взыскано,,,38.5
2015,млн_тенге,взыскано,,,53.0
2016,млн_тенге,взыскано,,,66.4
2017,млн_тенге,взыскано,,,60.5
2018,млн_тенге,взыскано,,,70.4
2012,количество,выявлено нарушений,Акмолинская,KZ03,53.0
2013,количество,выявлено нарушений,Акмолинская,KZ03,78.0
2014,количество,выявлено нарушений,Акмолинская,KZ03,71.0
2015,количество,выявлено нарушений,Акмолинская,KZ03,195.0
2016,количество,выявлено нарушений,Акмолинская,KZ03,371.0
2017,количество,выявлено нарушений,Акмолинская,KZ03,305.0
2018,количество,выявлено нарушений,Акмолинская,KZ03,310.0
2015,млн_тенге,наложено штрафов на сумму,Акмолинская,KZ03,1.7
2016,млн_тенге,наложено штрафов на сумму,Акмолинская,KZ03,4.7
2017,млн_тенге,наложено штрафов на сумму,Акмолинская,KZ03,3.6
2018,млн_тенге,наложено штрафов на сумму,Акмолинская,KZ03,4.1
2015,млн_тенге,взыскано,Акмолинская,KZ03,1.6
2016,млн_тенге,взыскано,Акмолинская,KZ03,3.6
2017,млн_тенге,взыскано,Акмолинская,KZ03,3.1
2018,млн_тенге,взыскано,Акмолинская,KZ03,3.8
2012,количество,выявлено нарушений,Актюбинская,KZ04,212.0
2013,количество,выявлено нарушений,Актюбинская,KZ04,178.0
2014,количество,выявлено нарушений,Актюбинская,KZ04,114.0
2015,количество,выявлено нарушений,Актюбинская,KZ04,98.0
2016,количество,выявлено нарушений,Актюбинская,KZ04,113.0
2017,количество,выявлено нарушений,Актюбинская,KZ04,111.0
2018,количество,выявлено нарушений,Актюбинская,KZ04,103.0
2012,млн_тенге,наложено штрафов на сумму,Актюбинская,KZ04,1.1
2013,млн_тенге,наложено штрафов на сумму,Актюбинская,KZ04,1.0
2015,млн_тенге,наложено штрафов на сумму,Актюбинская,KZ04,1.2
2016,млн_тенге,наложено штрафов на сумму,Актюбинская,KZ04,1.5
2017,млн_тенге,наложено штрафов на сумму,Актюбинская,KZ04,1.5
2018,млн_тенге,наложено штрафов на сумму,Актюбинская,KZ04,1.4
2012,млн_тенге,взыскано,Актюбинская,KZ04,1.0
2016,млн_тенге,взыскано,Актюбинская,KZ04,1.3
2017,млн_тенге,взыскано,Актюбинская,KZ04,1.4
2018,млн_тенге,взыскано,Актюбинская,KZ04,1.4
2012,количество,выявлено нарушений,Алматинская,KZ01,889.0
2013,количество,выявлено нарушений,Алматинская,KZ01,987.0
2014,количество,выявлено нарушений,Алматинская,KZ01,470.0
2015,количество,выявлено нарушений,Алматинская,KZ01,555.0
2016,количество,выявлено нарушений,Алматинская,KZ01,550.0
2017,количество,выявлено нарушений,Алматинская,KZ01,548.0
2018,количество,выявлено нарушений,Алматинская,KZ01,385.0
2012,млн_тенге,наложено штрафов на сумму,Алматинская,KZ01,5.9
2013,млн_тенге,наложено штрафов на сумму,Алматинская,KZ01,8.1
2014,млн_тенге,наложено штрафов на сумму,Алматинская,KZ01,5.2
2015,млн_тенге,наложено штрафов на сумму,Алматинская,KZ01,8.4
2016,млн_тенге,наложено штрафов на сумму,Алматинская,KZ01,8.4
2017,млн_тенге,наложено штрафов на сумму,Алматинская,KZ01,9.0
2018,млн_тенге,наложено штрафов на сумму,Алматинская,KZ01,6.0
2012,млн_тенге,взыскано,Алматинская,KZ01,5.5
2013,млн_тенге,взыскано,Алматинская,KZ01,7.7
2014,млн_тенге,взыскано,Алматинская,KZ01,3.6
2015,млн_тенге,взыскано,Алматинская,KZ01,6.8
2016,млн_тенге,взыскано,Алматинская,KZ01,7.4
2017,млн_тенге,взыскано,Алматинская,KZ01,7.4
2018,млн_тенге,взыскано,Алматинская,KZ01,5.8
2012,количество,выявлено нарушений,Атырауская,KZ06,2747.0
2013,количество,выявлено нарушений,Атырауская,KZ06,1938.0
2014,количество,выявлено нарушений,Атырауская,KZ06,2062.0
2015,количество,выявлено нарушений,Атырауская,KZ06,1788.0
2016,количество,выявлено нарушений,Атырауская,KZ06,1644.0
2017,количество,выявлено нарушений,Атырауская,KZ06,406.0
2018,количество,выявлено нарушений,Атырауская,KZ06,244.0
2012,млн_тенге,наложено штрафов на сумму,Атырауская,KZ06,7.3
2013,млн_тенге,наложено штрафов на сумму,Атырауская,KZ06,6.5
2014,млн_тенге,наложено штрафов на сумму,Атырауская,KZ06,5.9
2015,млн_тенге,наложено штрафов на сумму,Атырауская,KZ06,29.3
2016,млн_тенге,наложено штрафов на сумму,Атырауская,KZ06,33.2
2017,млн_тенге,наложено штрафов на сумму,Атырауская,KZ06,15.4
2018,млн_тенге,наложено штрафов на сумму,Атырауская,KZ06,8.3
2012,млн_тенге,взыскано,Атырауская,KZ06,5.9
2013,млн_тенге,взыскано,Атырауская,KZ06,5.1
2014,млн_тенге,взыскано,Атырауская,KZ06,5.5
2015,млн_тенге,взыскано,Атырауская,KZ06,18.9
2016,млн_тенге,взыскано,Атырауская,KZ06,18.6
2017,млн_тенге,взыскано,Атырауская,KZ06,8.9
2018,млн_тенге,взыскано,Атырауская,KZ06,7.4
2012,количество,выявлено нарушений,Восточно-Казахстанская,KZ15,934.0
2013,количество,выявлено нарушений,Восточно-Казахстанская,KZ15,839.0
2014,количество,выявлено нарушений,Восточно-Казахстанская,KZ15,763.0
2015,количество,выявлено нарушений,Восточно-Казахстанская,KZ15,1159.0
2016,количество,выявлено нарушений,Восточно-Казахстанская,KZ15,904.0
2017,количество,выявлено нарушений,Восточно-Казахстанская,KZ15,975.0
2018,количество,выявлено нарушений,Восточно-Казахстанская,KZ15,968.0
2012,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,4.4
2013,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,3.5
2014,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,8.4
2015,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,16.3
2016,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,16.0
2017,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,17.6
2018,млн_тенге,наложено штрафов на сумму,Восточно-Казахстанская,KZ15,16.3
2012,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,4.3
2013,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,3.1
2014,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,6.7
2015,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,11.2
2016,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,11.1
2017,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,12.7
2018,млн_тенге,взыскано,Восточно-Казахстанская,KZ15,14.8
2012,количество,выявлено нарушений,Жамбылская,KZ17,170.0
2013,количество,выявлено нарушений,Жамбылская,KZ17,8.0
2014,количество,выявлено нарушений,Жамбылская,KZ17,21.0
2015,количество,выявлено нарушений,Жамбылская,KZ17,266.0
2016,количество,выявлено нарушений,Жамбылская,KZ17,146.0
2017,количество,выявлено нарушений,Жамбылская,KZ17,210.0
2018,количество,выявлено нарушений,Жамбылская,KZ17,247.0
2012,млн_тенге,наложено штрафов на сумму,Жамбылская,KZ17,8.4
