Year,Name,Units,Value
2015,Share of total areas under protection in the total area of the country,%,13
2015,"State reserves(Category Ib), quantity",unit,3
2015,Share of State reserves(Category Ib) in the total area of the country,%,1
2015,"National parks (Category II )*, quantity",unit,4
2015,Share of National parks (Category II ) in the total area of the country,%,8
2015,"State preserves (Category IV), quantity",unit,27
2015,Share of State preserves (Category IV) in the total area of the country,%,4
2015,"Monuments of Nature(Category III), quantity",unit,232
2016,Share of total areas under protection in the total area of the country,%,13
2016,"State reserves(Category Ib), quantity",unit,3
2016,Share of State reserves(Category Ib) in the total area of the country,%,1
2016,"National parks (Category II )*, quantity",unit,4
2016,Share of National parks (Category II ) in the total area of the country,%,8
2016,"State preserves (Category IV), quantity",unit,27
2016,Share of State preserves (Category IV) in the total area of the country,%,4
2016,"Monuments of Nature(Category III), quantity",unit,232
2017,Share of total areas under protection in the total area of the country,%,13
2017,"State reserves(Category Ib), quantity",unit,3
2017,Share of State reserves(Category Ib) in the total area of the country,%,1
2017,"National parks (Category II )*, quantity",unit,4
2017,Share of National parks (Category II ) in the total area of the country,%,8
2017,"State preserves (Category IV), quantity",unit,27
2017,Share of State preserves (Category IV) in the total area of the country,%,4
2017,"Monuments of Nature(Category III), quantity",unit,232
2018,Share of total areas under protection in the total area of the country,%,13
2018,"State reserves(Category Ib), quantity",unit,3
2018,Share of State reserves(Category Ib) in the total area of the country,%,1
2018,"National parks (Category II )*, quantity",unit,4
2018,Share of National parks (Category II ) in the total area of the country,%,8
2018,"State preserves (Category IV), quantity",unit,27
2018,Share of State preserves (Category IV) in the total area of the country,%,4
2018,"Monuments of Nature(Category III), quantity",unit,232
2019,Share of total areas under protection in the total area of the country,%,13
2019,"State reserves(Category Ib), quantity",unit,3
2019,Share of State reserves(Category Ib) in the total area of the country,%,1
2019,"National parks (Category II )*, quantity",unit,4
2019,Share of National parks (Category II ) in the total area of the country,%,8
2019,"State preserves (Category IV), quantity",unit,27
2019,Share of State preserves (Category IV) in the total area of the country,%,4
2019,"Monuments of Nature(Category III), quantity",unit,232
