Year,Units,Регионы,GeoCode,Value
2010,млн.м3,,,380.7
2011,млн.м3,,,380.7
2012,млн.м3,,,412.2
2013,млн.м3,,,412.2
2014,млн.м3,,,412.2
2015,млн.м3,,,412.2
2016,млн.м3,,,412.2
2017,млн.м3,,,421.8
2018,млн.м3,,,421.8
2010,млн.м3,Акмолинская,KZ03,42.7
2011,млн.м3,Акмолинская,KZ03,42.7
2012,млн.м3,Акмолинская,KZ03,45.4
2013,млн.м3,Акмолинская,KZ03,45.4
2014,млн.м3,Акмолинская,KZ03,45.4
2015,млн.м3,Акмолинская,KZ03,45.4
2016,млн.м3,Акмолинская,KZ03,45.4
2017,млн.м3,Акмолинская,KZ03,44.7
2018,млн.м3,Акмолинская,KZ03,44.7
2010,млн.м3,Актюбинская,KZ04,1.0
2011,млн.м3,Актюбинская,KZ04,1.0
2012,млн.м3,Актюбинская,KZ04,1.1
2013,млн.м3,Актюбинская,KZ04,1.1
2014,млн.м3,Актюбинская,KZ04,1.1
2015,млн.м3,Актюбинская,KZ04,1.1
2016,млн.м3,Актюбинская,KZ04,1.1
2017,млн.м3,Актюбинская,KZ04,1.1
2018,млн.м3,Актюбинская,KZ04,1.1
2010,млн.м3,Алматинская,KZ01,38.7
2011,млн.м3,Алматинская,KZ01,38.7
2012,млн.м3,Алматинская,KZ01,40.7
2013,млн.м3,Алматинская,KZ01,40.7
2014,млн.м3,Алматинская,KZ01,40.7
2015,млн.м3,Алматинская,KZ01,40.7
2016,млн.м3,Алматинская,KZ01,40.7
2017,млн.м3,Алматинская,KZ01,49.4
2018,млн.м3,Алматинская,KZ01,49.4
2010,млн.м3,Атырауская,KZ06,0.5
2011,млн.м3,Атырауская,KZ06,0.5
2012,млн.м3,Атырауская,KZ06,0.5
2013,млн.м3,Атырауская,KZ06,0.5
2014,млн.м3,Атырауская,KZ06,0.5
2015,млн.м3,Атырауская,KZ06,0.5
2016,млн.м3,Атырауская,KZ06,0.5
2017,млн.м3,Атырауская,KZ06,0.5
2018,млн.м3,Атырауская,KZ06,0.5
2010,млн.м3,Западно-Казахстанская,KZ07,8.0
2011,млн.м3,Западно-Казахстанская,KZ07,8.0
2012,млн.м3,Западно-Казахстанская,KZ07,8.3
2013,млн.м3,Западно-Казахстанская,KZ07,8.3
2014,млн.м3,Западно-Казахстанская,KZ07,8.3
2015,млн.м3,Западно-Казахстанская,KZ07,8.3
2016,млн.м3,Западно-Казахстанская,KZ07,8.3
2017,млн.м3,Западно-Казахстанская,KZ07,7.7
2018,млн.м3,Западно-Казахстанская,KZ07,7.7
2010,млн.м3,Жамбылская,KZ17,3.4
2011,млн.м3,Жамбылская,KZ17,3.4
2012,млн.м3,Жамбылская,KZ17,3.4
2013,млн.м3,Жамбылская,KZ17,3.4
2014,млн.м3,Жамбылская,KZ17,3.4
2015,млн.м3,Жамбылская,KZ17,3.4
2016,млн.м3,Жамбылская,KZ17,3.4
2017,млн.м3,Жамбылская,KZ17,3.4
2018,млн.м3,Жамбылская,KZ17,3.4
2010,млн.м3,Карагандинская,KZ12,4.6
2011,млн.м3,Карагандинская,KZ12,4.6
2012,млн.м3,Карагандинская,KZ12,4.6
2013,млн.м3,Карагандинская,KZ12,4.6
2014,млн.м3,Карагандинская,KZ12,4.6
2015,млн.м3,Карагандинская,KZ12,4.6
2016,млн.м3,Карагандинская,KZ12,4.6
2017,млн.м3,Карагандинская,KZ12,5.5
2018,млн.м3,Карагандинская,KZ12,5.5
2010,млн.м3,Костанайская,KZ13,16.5
2011,млн.м3,Костанайская,KZ13,16.5
2012,млн.м3,Костанайская,KZ13,15.5
2013,млн.м3,Костанайская,KZ13,15.5
2014,млн.м3,Костанайская,KZ13,15.5
