Year,Units,Регион,Value
2010,процентах,,19.7
2011,процентах,,19.6
2012,процентах,,19.7
2013,процентах,,19.4
2014,процентах,,19.4
2015,процентах,,19.4
2016,процентах,,19.0
2017,процентах,,19.1
2018,процентах,,19.8
2010,процентах,Акмолинская,8.8
2011,процентах,Акмолинская,8.4
2012,процентах,Акмолинская,7.2
2013,процентах,Акмолинская,7.2
2014,процентах,Акмолинская,7.1
2015,процентах,Акмолинская,7.0
2016,процентах,Акмолинская,7.0
2017,процентах,Акмолинская,9.4
2018,процентах,Акмолинская,9.4
2010,процентах,Алматинская,32.8
2011,процентах,Алматинская,32.6
2012,процентах,Алматинская,32.6
2013,процентах,Алматинская,32.6
2014,процентах,Алматинская,32.6
2015,процентах,Алматинская,32.6
2016,процентах,Алматинская,32.0
2017,процентах,Алматинская,32.0
2018,процентах,Алматинская,31.5
2010,процентах,Жамбылская,4.1
2011,процентах,Жамбылская,4.1
2012,процентах,Жамбылская,4.1
2013,процентах,Жамбылская,4.1
2014,процентах,Жамбылская,4.1
2015,процентах,Жамбылская,4.1
2016,процентах,Жамбылская,4.1
2017,процентах,Жамбылская,4.9
2018,процентах,Жамбылская,4.9
2010,процентах,Карагандинская,29.7
2011,процентах,Карагандинская,28.7
2012,процентах,Карагандинская,25.2
2013,процентах,Карагандинская,25.2
2014,процентах,Карагандинская,25.2
2015,процентах,Карагандинская,25.0
2016,процентах,Карагандинская,25.0
2017,процентах,Карагандинская,29.1
2018,процентах,Карагандинская,29.1
2010,процентах,Павлодарская,14.3
2011,процентах,Павлодарская,14.3
2012,процентах,Павлодарская,14.3
2013,процентах,Павлодарская,14.3
2014,процентах,Павлодарская,14.3
2015,процентах,Павлодарская,14.3
2016,процентах,Павлодарская,14.3
2017,процентах,Павлодарская,14.3
2018,процентах,Павлодарская,14.3
2010,процентах,Северо-Казахстанская,1.6
2011,процентах,Северо-Казахстанская,1.6
2012,процентах,Северо-Казахстанская,1.6
2013,процентах,Северо-Казахстанская,1.6
2014,процентах,Северо-Казахстанская,1.6
2015,процентах,Северо-Казахстанская,1.6
2016,процентах,Северо-Казахстанская,1.6
2017,процентах,Северо-Казахстанская,1.6
2018,процентах,Северо-Казахстанская,1.6
2010,процентах,Туркестанская,11.0
2011,процентах,Туркестанская,11.0
2012,процентах,Туркестанская,12.6
2013,процентах,Туркестанская,9.7
2014,процентах,Туркестанская,12.6
2015,процентах,Туркестанская,12.6
2016,процентах,Туркестанская,12.6
2017,процентах,Туркестанская,12.6
2018,процентах,Туркестанская,12.6
2010,процентах,Восточно-Казахстанская,82.2
2011,процентах,Восточно-Казахстанская,82.2
2012,процентах,Восточно-Казахстанская,82.1
2013,процентах,Восточно-Казахстанская,82.1
2014,процентах,Восточно-Казахстанская,82.2
2015,процентах,Восточно-Казахстанская,82.2
2016,процентах,Восточно-Казахстанская,82.0
2017,процентах,Восточно-Казахстанская,80.6
2018,процентах,Восточно-Казахстанская,81.4
