Year,Units,Value
2010,тыс.гектаров,5640.9
2011,тыс.гектаров,5646.8
2012,тыс.гектаров,5663.6
2013,тыс.гектаров,5669.2
2014,тыс.гектаров,5674.5
2015,тыс.гектаров,5675.0
2016,тыс.гектаров,5675.2
2017,тыс.гектаров,5699.2
2018,тыс.гектаров,5940.0
2010,тыс.гектаров,86.6
2011,тыс.гектаров,86.6
2012,тыс.гектаров,74.5
2013,тыс.гектаров,74.5
2014,тыс.гектаров,74.5
2015,тыс.гектаров,74.5
2016,тыс.гектаров,74.5
2017,тыс.гектаров,99.8
2018,тыс.гектаров,99.8
2010,тыс.гектаров,1701.6
2011,тыс.гектаров,1707.4
2012,тыс.гектаров,1707.5
2013,тыс.гектаров,1707.5
2014,тыс.гектаров,1706.5
2015,тыс.гектаров,1707.1
2016,тыс.гектаров,1707.3
2017,тыс.гектаров,1707.3
2018,тыс.гектаров,1706.1
2010,тыс.гектаров,182.6
2011,тыс.гектаров,182.6
2012,тыс.гектаров,182.6
2013,тыс.гектаров,182.6
2014,тыс.гектаров,182.6
2015,тыс.гектаров,182.6
2016,тыс.гектаров,182.6
2017,тыс.гектаров,215.8
2018,тыс.гектаров,215.8
2010,тыс.гектаров,175.7
2011,тыс.гектаров,175.7
2012,тыс.гектаров,153.8
2013,тыс.гектаров,153.8
2014,тыс.гектаров,153.8
2015,тыс.гектаров,153.8
2016,тыс.гектаров,153.8
2017,тыс.гектаров,179.2
2018,тыс.гектаров,179.2
2010,тыс.гектаров,68.5
2011,тыс.гектаров,68.5
2012,тыс.гектаров,68.5
2013,тыс.гектаров,68.5
2014,тыс.гектаров,68.5
2015,тыс.гектаров,68.5
2016,тыс.гектаров,68.5
2017,тыс.гектаров,68.5
2018,тыс.гектаров,68.5
2010,тыс.гектаров,11.1
2011,тыс.гектаров,11.1
2012,тыс.гектаров,11.1
2013,тыс.гектаров,11.1
2014,тыс.гектаров,11.1
2015,тыс.гектаров,11.1
2016,тыс.гектаров,11.1
2017,тыс.гектаров,11.1
2018,тыс.гектаров,11.1
2010,тыс.гектаров,379.6
2011,тыс.гектаров,379.6
2012,тыс.гектаров,431.8
2013,тыс.гектаров,431.8
2014,тыс.гектаров,431.8
2015,тыс.гектаров,431.8
2016,тыс.гектаров,431.8
2017,тыс.гектаров,431.8
2018,тыс.гектаров,431.8
2010,тыс.гектаров,3035.2
2011,тыс.гектаров,3034.9
2012,тыс.гектаров,3033.7
2013,тыс.гектаров,3039.4
2014,тыс.гектаров,3045.6
2015,тыс.гектаров,3045.6
2016,тыс.гектаров,3045.6
2017,тыс.гектаров,2985.8
2018,тыс.гектаров,3129.3
