Year,Units,Охраняемые виды,Виды сайгаков,Value
2010,,тугайный благородный олень,,418.0
2011,,тугайный благородный олень,,421.0
2012,,тугайный благородный олень,,451.0
2013,,тугайный благородный олень,,465.0
2014,,тугайный благородный олень,,481.0
2015,,тугайный благородный олень,,503.0
2016,,тугайный благородный олень,,716.0
2017,,тугайный благородный олень,,825.0
2018,,тугайный благородный олень,,856.0
2010,,,джейран,16154.0
2011,,,джейран,1210.0
2012,,,джейран,1263.0
2013,,,джейран,12888.0
2014,,,джейран,12994.0
2015,,,джейран,13197.0
2016,,,джейран,13218.0
2017,,,джейран,13727.0
2018,,,джейран,14055.0
2010,,,кулан,2477.0
2011,,,кулан,2500.0
2012,,,кулан,2920.0
2013,,,кулан,3222.0
2014,,,кулан,3420.0
2015,,,кулан,3595.0
2016,,,кулан,3807.0
2017,,,кулан,3984.0
2018,,,кулан,4103.0
2010,,,архар,13246.0
2011,,,архар,13597.0
2012,,,архар,13872.0
2013,,,архар,14525.0
2014,,,архар,14737.0
2015,,,архар,15710.0
2016,,,архар,15979.0
2017,,,архар,16802.0
2018,,,архар,16980.0
2014,,,,256700.0
2015,,,,295440.0
2016,,,,108300.0
2017,,,,152600.0
2018,,,,215100.0
