Year,Units,Охраняемые виды,Value
2011,единиц,,102000.0
2012,единиц,,137500.0
2013,единиц,,187000.0
2014,единиц,,256700.0
2015,единиц,,295470.0
2016,единиц,,108300.0
2017,единиц,,152600.0
2018,единиц,,215100.0
2011,единиц,Уральская популяция,17900.0
2012,единиц,Уральская популяция,20900.0
2013,единиц,Уральская популяция,26400.0
2014,единиц,Уральская популяция,39000.0
2015,единиц,Уральская популяция,51700.0
2016,единиц,Уральская популяция,70200.0
2017,единиц,Уральская популяция,98200.0
2018,единиц,Уральская популяция,135000.0
2011,единиц,Устюртская популяция,6100.0
2012,единиц,Устюртская популяция,6500.0
2013,единиц,Устюртская популяция,5400.0
2014,единиц,Устюртская популяция,1700.0
2015,единиц,Устюртская популяция,1270.0
2016,единиц,Устюртская популяция,1900.0
2017,единиц,Устюртская популяция,2700.0
2018,единиц,Устюртская популяция,3700.0
2011,единиц,Бетпакдалинская популяция,78000.0
2012,единиц,Бетпакдалинская популяция,110100.0
2013,единиц,Бетпакдалинская популяция,155200.0
2014,единиц,Бетпакдалинская популяция,216000.0
2015,единиц,Бетпакдалинская популяция,242000.0
2016,единиц,Бетпакдалинская популяция,26200.0
2017,единиц,Бетпакдалинская популяция,51700.0
2018,единиц,Бетпакдалинская популяция,76400.0
