Year,Units,Регионы,Степень безопасности,Местность,Пол,национальность,Возраст,Value
2016,процент,Республика Казахстан,,,,,,100.0
2016,процент,Республика Казахстан,в полной безопасности,,,,,42.4
2016,процент,Республика Казахстан,достаточно безопасно,,,,,48.7
2016,процент,Республика Казахстан,не безопасно,,,,,8.9
2016,процент,,,городская местность,,,,100.0
2016,процент,,в полной безопасности,городская местность,,,,38.0
2016,процент,,достаточно безопасно,городская местность,,,,52.8
2016,процент,,не безопасно,городская местность,,,,9.2
2016,процент,,,сельская местность,,,,100.0
2016,процент,,в полной безопасности,сельская местность,,,,48.5
2016,процент,,достаточно безопасно,сельская местность,,,,42.9
2016,процент,,не безопасно,сельская местность,,,,8.6
2016,процент,,,,мужчины,,,100.0
2016,процент,,в полной безопасности,,мужчины,,,48.2
2016,процент,,достаточно безопасно,,мужчины,,,45.4
2016,процент,,не безопасно,,мужчины,,,6.4
2016,процент,,,,женщины,,,100.0
2016,процент,,в полной безопасности,,женщины,,,37.1
2016,процент,,достаточно безопасно,,женщины,,,51.7
2016,процент,,не безопасно,,женщины,,,11.2
2016,процент,,,,,казахи,,100.0
2016,процент,,в полной безопасности,,,казахи,,46.9
2016,процент,,достаточно безопасно,,,казахи,,45.5
2016,процент,,не безопасно,,,казахи,,7.6
2016,процент,,,,,русские,,100.0
2016,процент,,в полной безопасности,,,русские,,34.5
2016,процент,,достаточно безопасно,,,русские,,54.1
2016,процент,,не безопасно,,,русские,,11.4
2016,процент,,,,,узбеки,,100.0
2016,процент,,в полной безопасности,,,узбеки,,48.5
2016,процент,,достаточно безопасно,,,узбеки,,44.6
2016,процент,,не безопасно,,,узбеки,,6.9
2016,процент,,,,,украинцы,,100.0
2016,процент,,в полной безопасности,,,украинцы,,33.7
2016,процент,,достаточно безопасно,,,украинцы,,52.2
2016,процент,,не безопасно,,,украинцы,,14.1
2016,процент,,,,,уйгуры,,100.0
2016,процент,,в полной безопасности,,,уйгуры,,26.1
2016,процент,,достаточно безопасно,,,уйгуры,,60.5
2016,процент,,не безопасно,,,уйгуры,,13.4
2016,процент,,,,,другие национальности,,100.0
2016,процент,,в полной безопасности,,,другие национальности,,34.1
2016,процент,,достаточно безопасно,,,другие национальности,,56.0
2016,процент,,не безопасно,,,другие национальности,,9.8
2016,процент,,,,,,15-19,100.0
2016,процент,,в полной безопасности,,,,15-19,41.6
2016,процент,,достаточно безопасно,,,,15-19,45.0
2016,процент,,не безопасно,,,,15-19,13.4
2016,процент,,,,,,20-24,100.0
2016,процент,,в полной безопасности,,,,20-24,47.8
2016,процент,,достаточно безопасно,,,,20-24,45.6
2016,процент,,не безопасно,,,,20-24,6.5
2016,процент,,,,,,25-29,100.0
2016,процент,,в полной безопасности,,,,25-29,44.5
2016,процент,,достаточно безопасно,,,,25-29,48.7
2016,процент,,не безопасно,,,,25-29,6.8
2016,процент,,,,,,30-34,100.0
2016,процент,,в полной безопасности,,,,30-34,44.5
2016,процент,,достаточно безопасно,,,,30-34,48.3
2016,процент,,не безопасно,,,,30-34,7.2
2016,процент,,,,,,35-39,100.0
2016,процент,,в полной безопасности,,,,35-39,41.9
2016,процент,,достаточно безопасно,,,,35-39,50.9
2016,процент,,не безопасно,,,,35-39,7.1
2016,процент,,,,,,40-44,100.0
2016,процент,,в полной безопасности,,,,40-44,41.1
2016,процент,,достаточно безопасно,,,,40-44,51.1
2016,процент,,не безопасно,,,,40-44,7.8
2016,процент,,,,,,45-49,100.0
2016,процент,,в полной безопасности,,,,45-49,45.0
2016,процент,,достаточно безопасно,,,,45-49,46.5
2016,процент,,не безопасно,,,,45-49,8.5
2016,процент,,,,,,50-54,100.0
2016,процент,,в полной безопасности,,,,50-54,42.7
2016,процент,,достаточно безопасно,,,,50-54,49.7
2016,процент,,не безопасно,,,,50-54,7.6
2016,процент,,,,,,55-59,100.0
2016,процент,,в полной безопасности,,,,55-59,41.5
2016,процент,,достаточно безопасно,,,,55-59,49.3
2016,процент,,не безопасно,,,,55-59,9.2
2016,процент,,,,,,60+,100.0
2016,процент,,в полной безопасности,,,,60+,35.0
2016,процент,,достаточно безопасно,,,,60+,51.1
2016,процент,,не безопасно,,,,60+,14.0
