Year,Units,преступления,Value
2010,человек,задержано,15581.0
2011,человек,задержано,14283.0
2012,человек,задержано,14204.0
2013,человек,задержано,14716.0
2014,человек,задержано,13120.0
2015,человек,задержано,14534.0
2016,человек,задержано,16029.0
2017,человек,задержано,16993.0
2018,человек,задержано,10455.0
2010,человек,избраны меры пресечения виде ареста,14081.0
2011,человек,избраны меры пресечения виде ареста,10887.0
2012,человек,избраны меры пресечения виде ареста,12552.0
2013,человек,избраны меры пресечения виде ареста,13733.0
2014,человек,избраны меры пресечения виде ареста,12238.0
2015,человек,избраны меры пресечения виде ареста,10132.0
2016,человек,избраны меры пресечения виде ареста,11072.0
2017,человек,избраны меры пресечения виде ареста,15689.0
2018,человек,избраны меры пресечения виде ареста,9957.0
