Year,Services,Value
2015,water supply,83.0
2016,water supply,85.8
2017,water supply,85.8
2018,water supply,87.3
2019,water supply,89.6
2020,water supply,94.0
2015,sewerage,72.3
2016,sewerage,70.8
2017,sewerage,74.2
2018,sewerage,76.5
2019,sewerage,94.6
2020,sewerage,97.5
2015,garbage disposal,78.2
2016,garbage disposal,79.8
2017,garbage disposal,76.4
2018,garbage disposal,78.7
2019,garbage disposal,82.3
2020,garbage disposal,96.4
2015,landline telephone,61.1
2016,landline telephone,57.1
2017,landline telephone,53.1
2018,landline telephone,49.2
2019,landline telephone,96.7
2020,landline telephone,98.8
2015,electricity supply,97.9
2016,electricity supply,98.0
2017,electricity supply,98.4
2018,electricity supply,98.9
2019,electricity supply,97.7
2020,electricity supply,98.7
2015,postal service,80.6
2016,postal service,76.5
2017,postal service,75.8
2018,postal service,73.5
2019,postal service,96.3
2020,postal service,97.3
2015,bank services,74.4
2016,bank services,70.8
2017,bank services,71.9
2018,bank services,73.7
2019,bank services,86.1
2020,bank services,88.9
2015,irrigation,17.6
2016,irrigation,23.7
2017,irrigation,22.8
2018,irrigation,21.5
2019,irrigation,
2020,irrigation,
2015,healthcare,61.5
2016,healthcare,61.4
2017,healthcare,63.6
2018,healthcare,62.3
2019,healthcare,78.1
2020,healthcare,87.1
2015,education,52.3
2016,education,53.8
2017,education,56.3
2018,education,54.9
2019,education,85.1
2020,education,90.5
2015,public transportation,81.2
2016,public transportation,82.2
2017,public transportation,76.6
2018,public transportation,72.1
2019,public transportation,75.9
2020,public transportation,82.8
