Year,Units,Category,Value
2015,%,,23.2
2016,%,,23.1
2017,%,,22.2
2018,%,,22.3
2019,%,,23.8
2015,%,tax incomes and duties,21.2
2016,%,tax incomes and duties,21.3
2017,%,tax incomes and duties,20.8
2018,%,tax incomes and duties,20.9
2019,%,tax incomes and duties,22.3
2015,%,other incomes,1.4
2016,%,other incomes,1.2
2017,%,other incomes,1.2
2018,%,other incomes,1.2
2019,%,other incomes,1.3
2015,%,official grants,0.6
2016,%,official grants,0.6
2017,%,official grants,0.3
2018,%,official grants,0.2
2019,%,official grants,0.2
