Year,Units,Доходы бюджета,,Value
2010,процент,,,13.449512659178328
2011,процент,,,14.100239082000861
2012,процент,,,13.204390372567032
2013,процент,,,13.275371720225834
2014,процент,,,12.0
2015,процент,,,11.0
2016,процент,,,12.0
2017,процент,,,12.0
2018,процент,,,13.4
2010,процент,Налоговые поступления,,2934080720.5802
2011,процент,Налоговые поступления,,3982337954.7555
2012,процент,Налоговые поступления,,4095366313.4441
2013,процент,Налоговые поступления,,4779004397.6824
2014,процент,Налоговые поступления,,5115244101.33998
2015,процент,Налоговые поступления,,4883589901.38814
2016,процент,Налоговые поступления,,6023262753.336421
2017,процент,Налоговые поступления,,6810851289.54264
2018,процент,Налоговые поступления,,7890048341.5
2010,процент,Корпоративный подоходный налог,,837233485.8156
2011,процент,Корпоративный подоходный налог,,1050380051.5758
2012,процент,Корпоративный подоходный налог,,1041216834.8762
2013,процент,Корпоративный подоходный налог,,1032736596.9465
2014,процент,Корпоративный подоходный налог,,1169666806.4632
2015,процент,Корпоративный подоходный налог,,1224645230.27333
2016,процент,Корпоративный подоходный налог,,1437364514.30398
2017,процент,Корпоративный подоходный налог,,1538785451.60939
2018,процент,Корпоративный подоходный налог,,1687576978.1008
2010,процент,"Доля к ВВП, в процентах",,3.8377888812609853
2011,процент,"Доля к ВВП, в процентах",,3.7190740772005846
2012,процент,"Доля к ВВП, в процентах",,3.3571193631838407
2013,процент,"Доля к ВВП, в процентах",,2.868790457735201
2014,процент,"Доля к ВВП, в процентах",,2.948058606384543
2015,процент,"Доля к ВВП, в процентах",,2.9954046287367824
2016,процент,"Доля к ВВП, в процентах",,3.060100751852957
2017,процент,"Доля к ВВП, в процентах",,2.89783108702546
2018,процент,"Доля к ВВП, в процентах",,2.8974801987727234
2010,процент,Индивидуальный подоходный налог,,312331729.7058
2011,процент,Индивидуальный подоходный налог,,376245074.8671
2012,процент,Индивидуальный подоходный налог,,438497838.4627
2013,процент,Индивидуальный подоходный налог,,492991056.3221
2014,процент,Индивидуальный подоходный налог,,552280283.57987
2015,процент,Индивидуальный подоходный налог,,598806790.41336
2016,процент,Индивидуальный подоходный налог,,691778129.83524
2017,процент,Индивидуальный подоходный налог,,750211816.07174
2018,процент,Индивидуальный подоходный налог,,838394478.84444
2010,процент,"Доля к ВВП, в процентах",,1.4316952915019159
2011,процент,"Доля к ВВП, в процентах",,1.332168582708129
2012,процент,"Доля к ВВП, в процентах",,1.413816541289808
