Year,Units,Страны,Value
2010,процентах,развивающихся стран,10.9
2011,процентах,развивающихся стран,11.1
2012,процентах,развивающихся стран,11.3
2013,процентах,развивающихся стран,10.2
2014,процентах,развивающихся стран,8.7
2015,процентах,развивающихся стран,8.7
2016,процентах,развивающихся стран,8.4
2017,процентах,развивающихся стран,6.7
2010,процентах,,9.2
2011,процентах,,9.2
2012,процентах,,9.4
2013,процентах,,8.4
2014,процентах,,7.3
2015,процентах,,7.2
2016,процентах,,6.9
2017,процентах,,5.4
