Year,Units,Скорость интернета,Регионы,GeoCode,Value
2012,тыс.единиц,,,,1607.2
2013,тыс.единиц,,,,1976.0
2014,тыс.единиц,,,,2100.9
2015,тыс.единиц,,,,2305.6
2016,тыс.единиц,,,,2352.7
2017,тыс.единиц,,,,2576.0
2018,тыс.единиц,,,,2462.9
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,,470.195
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,,294.003
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,,264.203
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,,271.616
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,,197.44400000000002
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,,71.335
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,,84.9
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,KZ03,19.468
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,KZ03,20.878
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,KZ03,16.415
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,KZ03,14.047
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,KZ03,4.012
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,KZ03,3.766
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,KZ03,3.8
2012,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,KZ04,14.825999999999999
2013,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,KZ04,15.75
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,KZ04,9.793
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,KZ04,11.46
2016,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,KZ04,11.09
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,KZ04,3.155
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,KZ04,1.9
