Year,Units,Местность,Пол,Регионы,GeoCode,Value
2011,процент,,,,,50.6
2012,процент,,,,,61.90662401932264
2013,процент,,,,,63.3
2014,процент,,,,,63.9
2015,процент,,,,,72.8660129673921
2016,процент,,,,,76.8
2017,процент,,,,,78.8
2018,процент,,,,,81.3
2011,процент,городское население,,,,60.4
2012,процент,городское население,,,,73.9
2013,процент,городское население,,,,73.2
2014,процент,городское население,,,,72.6
2015,процент,городское население,,,,76.4
2016,процент,городское население,,,,81.3
2017,процент,городское население,,,,82.5
2018,процент,городское население,,,,84.1
2011,процент,сельское население,,,,38.6
2012,процент,сельское население,,,,47.2
2013,процент,сельское население,,,,51.2
2014,процент,сельское население,,,,52.7
2015,процент,сельское население,,,,68.3
2016,процент,сельское население,,,,70.9
2017,процент,сельское население,,,,73.9
2018,процент,сельское население,,,,77.5
2015,процент,,мужчины,,,73.0
2016,процент,,мужчины,,,77.5
2017,процент,,мужчины,,,79.0
2018,процент,,мужчины,,,81.6
2015,процент,,женщины,,,72.7
2016,процент,,женщины,,,76.2
2017,процент,,женщины,,,78.7
2018,процент,,женщины,,,81.1
2011,процент,,,Акмолинская,KZ03,53.036663061968966
2012,процент,,,Акмолинская,KZ03,70.25494713852554
2013,процент,,,Акмолинская,KZ03,71.3
2014,процент,,,Акмолинская,KZ03,72.0
2015,процент,,,Акмолинская,KZ03,60.87720508246625
2016,процент,,,Акмолинская,KZ03,70.0
2017,процент,,,Акмолинская,KZ03,70.8
2018,процент,,,Акмолинская,KZ03,73.8
2011,процент,,,Актюбинская,KZ04,58.92850532674924
2012,процент,,,Актюбинская,KZ04,72.90223910400472
2013,процент,,,Актюбинская,KZ04,73.3
2014,процент,,,Актюбинская,KZ04,73.0
2015,процент,,,Актюбинская,KZ04,66.44451330706717
2016,процент,,,Актюбинская,KZ04,77.7
2017,процент,,,Актюбинская,KZ04,80.8
2018,процент,,,Актюбинская,KZ04,81.1
2011,процент,,,Алматинская,KZ01,47.62188460809092
2012,процент,,,Алматинская,KZ01,51.84361247256735
2013,процент,,,Алматинская,KZ01,52.4
2014,процент,,,Алматинская,KZ01,54.5
2015,процент,,,Алматинская,KZ01,81.16569074759364
2016,процент,,,Алматинская,KZ01,81.4
2017,процент,,,Алматинская,KZ01,84.5
2018,процент,,,Алматинская,KZ01,85.3
2011,процент,,,Атырауская,KZ06,62.420373125888396
2012,процент,,,Атырауская,KZ06,73.68455305533746
2013,процент,,,Атырауская,KZ06,74.0
2014,процент,,,Атырауская,KZ06,74.3
2015,процент,,,Атырауская,KZ06,67.18603978001076
2016,процент,,,Атырауская,KZ06,72.9
2017,процент,,,Атырауская,KZ06,75.1
2018,процент,,,Атырауская,KZ06,78.1
2011,процент,,,Западно-Казахстанская,KZ07,59.9
2012,процент,,,Западно-Казахстанская,KZ07,66.55557347937993
2013,процент,,,Западно-Казахстанская,KZ07,67.2
2014,процент,,,Западно-Казахстанская,KZ07,66.3
2015,процент,,,Западно-Казахстанская,KZ07,88.96409263894445
2016,процент,,,Западно-Казахстанская,KZ07,67.4
2017,процент,,,Западно-Казахстанская,KZ07,72.7
2018,процент,,,Западно-Казахстанская,KZ07,76.9
2011,процент,,,Жамбылская,KZ17,33.94220855041687
2012,процент,,,Жамбылская,KZ17,52.8268353917201
2013,процент,,,Жамбылская,KZ17,53.9
2014,процент,,,Жамбылская,KZ17,54.4
2015,процент,,,Жамбылская,KZ17,61.635410331848576
2016,процент,,,Жамбылская,KZ17,68.7
2017,процент,,,Жамбылская,KZ17,70.1
2018,процент,,,Жамбылская,KZ17,80.9
2011,процент,,,Карагандинская,KZ12,56.25476449021433
2012,процент,,,Карагандинская,KZ12,64.93976060118634
2013,процент,,,Карагандинская,KZ12,65.1
2014,процент,,,Карагандинская,KZ12,66.0
2015,процент,,,Карагандинская,KZ12,68.57217287058481
2016,процент,,,Карагандинская,KZ12,72.5
2017,процент,,,Карагандинская,KZ12,72.8
2018,процент,,,Карагандинская,KZ12,73.9
2011,процент,,,Костанайская,KZ13,48.972944266347376
2012,процент,,,Костанайская,KZ13,75.62765366457826
2013,процент,,,Костанайская,KZ13,76.5
2014,процент,,,Костанайская,KZ13,77.0
2015,процент,,,Костанайская,KZ13,76.95433833512575
2016,процент,,,Костанайская,KZ13,83.7
2017,процент,,,Костанайская,KZ13,85.5
2018,процент,,,Костанайская,KZ13,85.7
2011,процент,,,Кызылординская,KZ14,36.28273873157986
2012,процент,,,Кызылординская,KZ14,62.55566923996232
2013,процент,,,Кызылординская,KZ14,67.0
2014,процент,,,Кызылординская,KZ14,67.2
2015,процент,,,Кызылординская,KZ14,70.15136835083149
2016,процент,,,Кызылординская,KZ14,76.7
2017,процент,,,Кызылординская,KZ14,76.2
2018,процент,,,Кызылординская,KZ14,77.7
2011,процент,,,Мангистауская,KZ09,50.73488145241394
2012,процент,,,Мангистауская,KZ09,55.18785900474189
2013,процент,,,Мангистауская,KZ09,70.0
2014,процент,,,Мангистауская,KZ09,70.3
2015,процент,,,Мангистауская,KZ09,66.28088901165027
2016,процент,,,Мангистауская,KZ09,72.5
2017,процент,,,Мангистауская,KZ09,72.6
2018,процент,,,Мангистауская,KZ09,78.9
2011,процент,,,Южно-Казахстанская,KZ10,44.016889139928246
2012,процент,,,Южно-Казахстанская,KZ10,48.49678736871316
2013,процент,,,Южно-Казахстанская,KZ10,48.7
2014,процент,,,Южно-Казахстанская,KZ10,48.6
2015,процент,,,Южно-Казахстанская,KZ10,68.3891287407668
2016,процент,,,Южно-Казахстанская,KZ10,75.4
2017,процент,,,Южно-Казахстанская,KZ10,79.0
2011,процент,,,Павлодарская,KZ11,60.81099609136435
2012,процент,,,Павлодарская,KZ11,65.24373555488418
2013,процент,,,Павлодарская,KZ11,68.6
2014,процент,,,Павлодарская,KZ11,69.3
2015,процент,,,Павлодарская,KZ11,81.15185175517124
2016,процент,,,Павлодарская,KZ11,80.3
2017,процент,,,Павлодарская,KZ11,82.1
2018,процент,,,Павлодарская,KZ11,83.3
2011,процент,,,Северо-Казахстанская,KZ16,50.7838705654966
2012,процент,,,Северо-Казахстанская,KZ16,70.4463904313552
2013,процент,,,Северо-Казахстанская,KZ16,70.6
