Year,Units,Местность,Value
2011,процент,,3.0
2012,процент,,1.8
2013,процент,,1.2
2014,процент,,1.3
2015,процент,,3.1
2016,процент,,4.5
2017,процент,,3.6
2018,процент,,4,6
2011,процент,городская местность,3.0
2012,процент,городская местность,2.8
2013,процент,городская местность,1.8
2014,процент,городская местность,1.8
2015,процент,городская местность,3.2
2016,процент,городская местность,4.6
2017,процент,городская местность,3.5
2018,процент,городская местность,4,5
2011,процент,сельская местность,3.0
2012,процент,сельская местность,0.9
2013,процент,сельская местность,0.8
2014,процент,сельская местность,0.8
2015,процент,сельская местность,2.5
2016,процент,сельская местность,3.7
2017,процент,сельская местность,3.0
2018,процент,сельская местность,3,7
