Year,AGE,Observation status,Unit measure,Unit multiplier,Value
2014,under 5 years old,Normal value,Percent,Units,2.8
2018,under 5 years old,Normal value,Percent,Units,1.8
2014,under 5 years old,Normal value,Percent,Units,2.3
2018,under 5 years old,Normal value,Percent,Units,1.3
2014,under 5 years old,Normal value,Percent,Units,6.9
2018,under 5 years old,Normal value,Percent,Units,2.3
2014,under 5 years old,Normal value,Percent,Units,1.7
2018,under 5 years old,Normal value,Percent,Units,0.5
2014,under 5 years old,Normal value,Percent,Units,2.9
2018,under 5 years old,Normal value,Percent,Units,0.3
2014,under 5 years old,Normal value,Percent,Units,1.0
2018,under 5 years old,Normal value,Percent,Units,2.2
2014,under 5 years old,Normal value,Percent,Units,2.0
2018,under 5 years old,Normal value,Percent,Units,1.7
2014,under 5 years old,Normal value,Percent,Units,1.6
2018,under 5 years old,Normal value,Percent,Units,2.3
2014,under 5 years old,Normal value,Percent,Units,1.1
2018,under 5 years old,Normal value,Percent,Units,1.6
2014,under 5 years old,Normal value,Percent,Units,3.9
2018,under 5 years old,Normal value,Percent,Units,2.1
2014,under 5 years old,Normal value,Percent,Units,12.9
2018,under 5 years old,Normal value,Percent,Units,11.8
2014,under 5 years old,Normal value,Percent,Units,13.6
2018,under 5 years old,Normal value,Percent,Units,11.9
2014,under 5 years old,Normal value,Percent,Units,21.3
2018,under 5 years old,Normal value,Percent,Units,15.5
2014,under 5 years old,Normal value,Percent,Units,14.1
2018,under 5 years old,Normal value,Percent,Units,14.2
2014,under 5 years old,Normal value,Percent,Units,16.4
2018,under 5 years old,Normal value,Percent,Units,6.5
2014,under 5 years old,Normal value,Percent,Units,10.6
2018,under 5 years old,Normal value,Percent,Units,13.7
2014,under 5 years old,Normal value,Percent,Units,11.0
2018,under 5 years old,Normal value,Percent,Units,10.0
2014,under 5 years old,Normal value,Percent,Units,7.6
2018,under 5 years old,Normal value,Percent,Units,10.1
2014,under 5 years old,Normal value,Percent,Units,7.6
2018,under 5 years old,Normal value,Percent,Units,5.9
2014,under 5 years old,Normal value,Percent,Units,12.1
2018,under 5 years old,Normal value,Percent,Units,10.9
