Year,Age,Observation status,Area,Unit measure,Unit multiplier,Value
2014,under 5 years old,Normal value,,Percent,Units,2.8
2018,under 5 years old,Normal value,,Percent,Units,2.0
2014,under 5 years old,Normal value,Batken,Percent,Units,2.2
2018,under 5 years old,Normal value,Batken,Percent,Units,2.3
2014,under 5 years old,Normal value,Jalal-Abad,Percent,Units,7.9
2018,under 5 years old,Normal value,Jalal-Abad,Percent,Units,3.8
2014,under 5 years old,Normal value,Issyk-Kul,Percent,Units,1.7
2018,under 5 years old,Normal value,Issyk-Kul,Percent,Units,2.1
2014,under 5 years old,Normal value,Naryn,Percent,Units,0.5
2018,under 5 years old,Normal value,Naryn,Percent,Units,1.1
2014,under 5 years old,Normal value,Osh,Percent,Units,1.1
2018,under 5 years old,Normal value,Osh,Percent,Units,1.6
2014,under 5 years old,Normal value,Talas,Percent,Units,1.0
2018,under 5 years old,Normal value,Talas,Percent,Units,2.9
2014,under 5 years old,Normal value,Chui,Percent,Units,1.5
2018,under 5 years old,Normal value,Chui,Percent,Units,1.5
2014,under 5 years old,Normal value,Bishkek (city),Percent,Units,2.1
2018,under 5 years old,Normal value,Bishkek (city),Percent,Units,0.6
2014,under 5 years old,Normal value,Osh (city),Percent,Units,2.4
2018,under 5 years old,Normal value,Osh (city),Percent,Units,1.8
2014,under 5 years old,Normal value,,Percent,Units,7.0
2018,under 5 years old,Normal value,,Percent,Units,6.9
2014,under 5 years old,Normal value,Batken,Percent,Units,3.4
2018,under 5 years old,Normal value,Batken,Percent,Units,6.9
2014,under 5 years old,Normal value,Jalal-Abad,Percent,Units,8.7
2018,under 5 years old,Normal value,Jalal-Abad,Percent,Units,8.9
2014,under 5 years old,Normal value,Issyk-Kul,Percent,Units,7.8
2018,under 5 years old,Normal value,Issyk-Kul,Percent,Units,4.6
2014,under 5 years old,Normal value,Naryn,Percent,Units,6.2
2018,under 5 years old,Normal value,Naryn,Percent,Units,4.4
2014,under 5 years old,Normal value,Osh,Percent,Units,4.7
2018,under 5 years old,Normal value,Osh,Percent,Units,5.3
2014,under 5 years old,Normal value,Talas,Percent,Units,7.3
2018,under 5 years old,Normal value,Talas,Percent,Units,2.9
2014,under 5 years old,Normal value,Chui,Percent,Units,9.0
2018,under 5 years old,Normal value,Chui,Percent,Units,11.7
2014,under 5 years old,Normal value,Bishkek (city),Percent,Units,9.5
2018,under 5 years old,Normal value,Bishkek (city),Percent,Units,7.4
2014,under 5 years old,Normal value,Osh (city),Percent,Units,4.3
2018,under 5 years old,Normal value,Osh (city),Percent,Units,3.3
