Year,Group,Value
2015,բազմամյա տնկարկներ,57.6
2015,վարելահողեր,446.7
2015,ցանքատարածություններ,337.5
2016,բազմամյա տնկարկներ,57.6
2016,վարելահողեր,446.4
2016,ցանքատարածություններ,353.4
2017,բազմամյա տնկարկներ,58.1
2017,վարելահողեր,446.0
2017,ցանքատարածություններ,294.5
2018,բազմամյա տնկարկներ,59.1
2018,վարելահողեր,445.6
2018,ցանքատարածություններ,242.3
2019,բազմամյա տնկարկներ,59.9
2019,վարելահողեր,444.8
2019,ցանքատարածություններ,227.9
2020,բազմամյա տնկարկներ,60.4
2020,վարելահողեր,444.0
2020,ցանքատարածություններ,222.7
