Year,Units,Охраняемые виды,Value
2010,процент,сайгак,4.7
2011,процент,сайгак,19.3
2012,процент,сайгак,34.8
2013,процент,сайгак,36.0
2014,процент,сайгак,37.3
2015,процент,сайгак,15.1
2016,процент,сайгак,-63.3
2017,процент,сайгак,40.9
2018,процент,сайгак,41.0
2010,процент,тугайный благородный олень,0.7
2011,процент,тугайный благородный олень,7.1
2012,процент,тугайный благородный олень,3.1
2013,процент,тугайный благородный олень,3.4
2014,процент,тугайный благородный олень,4.5
2015,процент,тугайный благородный олень,4.5
2016,процент,тугайный благородный олень,42.3
2017,процент,тугайный благородный олень,15.2
2018,процент,тугайный благородный олень,3.7
2010,процент,кулан,0.9
2011,процент,кулан,16.8
2012,процент,кулан,10.3
2013,процент,кулан,6.1
2014,процент,кулан,5.1
2015,процент,кулан,5.1
2016,процент,кулан,5.9
2017,процент,кулан,4.6
2018,процент,кулан,2.9
2010,процент,джейран,-25.1
2011,процент,джейран,4.3
2012,процент,джейран,2.0
2013,процент,джейран,0.8
2014,процент,джейран,1.5
2015,процент,джейран,1.5
2016,процент,джейран,0.2
2017,процент,джейран,3.8
2018,процент,джейран,2.3
2010,процент,архар,2.6
2011,процент,архар,2.0
2012,процент,архар,4.7
2013,процент,архар,1.4
2014,процент,архар,6.6
2015,процент,архар,6.6
2016,процент,архар,1.7
2017,процент,архар,5.1
2018,процент,архар,1.5
