Year,Units,Пол,Регионы,Местность,GeoCode,Value
2010,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,19.55
2011,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,17.99
2012,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,16.36
2013,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,14.19
2014,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,12.35
2015,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,12.04
2016,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,10.79
2017,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,10.24
2018,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,10.11
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,16.99
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,18.3
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,13.84
2013,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,14.78
2014,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,11.95
2015,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,10.02
2016,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,9.6
2017,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,10.08
2018,на 1000 родившихся,мальчики и девочки,Акмолинская,,KZ03,7.48
2010,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,19.45
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,14.22
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,16.3
2013,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,13.54
2014,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,11.77
2015,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,12.26
2016,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,10.27
2017,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,9.3
2018,на 1000 родившихся,мальчики и девочки,Актюбинская,,KZ04,10.92
2010,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,16.06
2011,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,15.08
2012,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,14.55
2013,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,12.25
2014,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,11.27
2015,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,10.77
2016,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,9.61
2017,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,10.43
2018,на 1000 родившихся,мальчики и девочки,Алматинская,,KZ01,9.4
2010,на 1000 родившихся,мальчики и девочки,Атырауская,,KZ06,19.78
