Year,Units,Пол,Регионы,Местность,Образование,Брачное состояние,гражданство,GeoCode,Value
2010,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,16.59
2011,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,14.91
2012,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,13.56
2013,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,11.39
2014,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,9.83
2015,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,9.41
2016,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,8.59
2017,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,7.93
2018,на 1000 родившихся,мальчики и девочки,Республика Казахстан,,,,,,8.03
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,13.84
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,15.89
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,11.17
2013,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,12.06
2014,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,9.29
2015,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,8.11
2016,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,7.03
2017,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,7.69
2018,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,KZ03,5.64
2010,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,17.06
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,12.02
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,13.54
2013,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,11.4
2014,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,9.91
2015,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,9.68
2016,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,8.54
2017,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,7.22
2018,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,KZ04,8.66
2010,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,12.62
2011,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,12.14
2012,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,11.7
2013,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,9.41
2014,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,8.57
2015,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,8.15
2016,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,7.54
2017,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,7.66
2018,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,KZ01,6.98
2010,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,16.69
2011,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,16.9
2012,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,15.94
2013,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,9.7
2014,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,9.13
2015,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,7.86
2016,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,8.87
2017,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,7.1
2018,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,KZ06,10.69
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,13.92
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,11.85
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,10.04
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,KZ07,8.2
