Year,Units,Пол,Регионы,Местность,Образование,Брачное состояние,гражданство,GeoCode,Value
2010,на 1000 родившихся,мальчики и девочки,,,,,,,11.520041772389428
2011,на 1000 родившихся,мальчики и девочки,,,,,,,9.796345488207358
2012,на 1000 родившихся,мальчики и девочки,,,,,,,9.025247079256886
2013,на 1000 родившихся,мальчики и девочки,,,,,,,7.134815212675853
2014,на 1000 родившихся,мальчики и девочки,,,,,,,5.885166625345284
2015,на 1000 родившихся,мальчики и девочки,,,,,,,5.606613495023315
2016,на 1000 родившихся,мальчики и девочки,,,,,,,5.156054245883391
2017,на 1000 родившихся,мальчики и девочки,,,,,,,4.614848486401444
2018,на 1000 родившихся,мальчики и девочки,,,,,,,4.58
2010,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,9.649892335911957
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,10.019723865877713
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,6.921187765126144
2013,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,8.088978766430737
2014,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,5.6236819495430765
2015,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,4.181789490295093
2016,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,3.9212548015364916
2017,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,3.818964816770944
2018,на 1000 родившихся,мальчики и девочки,Акмолинская,,,,,,3.38
2010,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,12.109920819748487
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,7.195862379132
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,8.72523733743072
2013,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,7.463880151410142
2014,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,5.757961783439491
2015,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,6.0560560560560575
2016,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,5.5136830391016245
2017,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,4.389173372348208
2018,на 1000 родившихся,мальчики и девочки,Актюбинская,,,,,,5.15
2010,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,8.588310233487821
2011,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,7.858075750979537
2012,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,7.509333333333332
2013,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,5.611139762764312
2014,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,5.197609099814086
2015,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,5.065980308044287
2016,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,4.5799426032944135
2017,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,4.682809685811487
2018,на 1000 родившихся,мальчики и девочки,Алматинская,,,,,,4.15
2010,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,11.838299589695295
2011,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,11.752415774353617
2012,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,11.548825869369947
2013,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,5.726735138499844
2014,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,4.637256696564768
2015,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,4.749147588894301
2016,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,4.84160191273162
2017,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,4.378762999452655
2018,на 1000 родившихся,мальчики и девочки,Атырауская,,,,,,6.05
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,9.964830011723327
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,8.826496301277743
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,7.082494969818914
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,5.34465141869056
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,5.5981595092024525
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,4.855865577308463
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,5.157766990291263
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,4.976671850699844
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,,,,,3.98
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,11.089344434338491
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,9.554250773025744
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,,,,,,8.721339147559434
