Year,Units,Регионы,Местность,Пол,Образование,Брачное состояние,гражданство,GeoCode,Value
2010,на 100 000 населения,,,,,,,,20.71
2011,на 100 000 населения,,,,,,,,19.33
2012,на 100 000 населения,,,,,,,,19.11
2013,на 100 000 населения,,,,,,,,19.08
2014,на 100 000 населения,,,,,,,,16.28
2015,на 100 000 населения,,,,,,,,15.16
2016,на 100 000 населения,,,,,,,,15.27
2017,на 100 000 населения,,,,,,,,13.04
2018,на 100 000 населения,,,,,,,,12.71
2010,на 100 000 населения,Акмолинская,,,,,,KZ03,19.75
2011,на 100 000 населения,Акмолинская,,,,,,KZ03,15.43
2012,на 100 000 населения,Акмолинская,,,,,,KZ03,14.89
2013,на 100 000 населения,Акмолинская,,,,,,KZ03,16.21
2014,на 100 000 населения,Акмолинская,,,,,,KZ03,13.59
2015,на 100 000 населения,Акмолинская,,,,,,KZ03,10.803657037907332
2016,на 100 000 населения,Акмолинская,,,,,,KZ03,12.98
2017,на 100 000 населения,Акмолинская,,,,,,KZ03,15.2
2018,на 100 000 населения,Акмолинская,,,,,,KZ03,10.29
2010,на 100 000 населения,Актюбинская,,,,,,KZ04,14.66
2011,на 100 000 населения,Актюбинская,,,,,,KZ04,14.07
2012,на 100 000 населения,Актюбинская,,,,,,KZ04,17.19
2013,на 100 000 населения,Актюбинская,,,,,,KZ04,19.19
2014,на 100 000 населения,Актюбинская,,,,,,KZ04,15.2
2015,на 100 000 населения,Актюбинская,,,,,,KZ04,15.2
2016,на 100 000 населения,Актюбинская,,,,,,KZ04,11.19
2017,на 100 000 населения,Актюбинская,,,,,,KZ04,10.68
2018,на 100 000 населения,Актюбинская,,,,,,KZ04,8.8
2010,на 100 000 населения,Алматинская,,,,,,KZ01,24.64
2011,на 100 000 населения,Алматинская,,,,,,KZ01,26.71
2012,на 100 000 населения,Алматинская,,,,,,KZ01,26.61
2013,на 100 000 населения,Алматинская,,,,,,KZ01,28.54
2014,на 100 000 населения,Алматинская,,,,,,KZ01,23.51
2015,на 100 000 населения,Алматинская,,,,,,KZ01,24.29
2016,на 100 000 населения,Алматинская,,,,,,KZ01,23.51
2017,на 100 000 населения,Алматинская,,,,,,KZ01,19.8
2018,на 100 000 населения,Алматинская,,,,,,KZ01,16.47
2010,на 100 000 населения,Атырауская,,,,,,KZ06,3.8
2011,на 100 000 населения,Атырауская,,,,,,KZ06,20.65
2012,на 100 000 населения,Атырауская,,,,,,KZ06,20.4
2013,на 100 000 населения,Атырауская,,,,,,KZ06,20.3
2014,на 100 000 населения,Атырауская,,,,,,KZ06,14.79
2015,на 100 000 населения,Атырауская,,,,,,KZ06,12.08
2016,на 100 000 населения,Атырауская,,,,,,KZ06,11.979634621144054
2017,на 100 000 населения,Атырауская,,,,,,KZ06,8.957078494135963
2018,на 100 000 населения,Атырауская,,,,,,KZ06,15.78
2010,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,14.35
2011,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,17.200200505194463
2012,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,18.86
2013,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,18.36
2014,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,13.24
2015,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,15.153476302172944
2016,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,14.24
2017,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,15.21
2018,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,17.7
2010,на 100 000 населения,Жамбылская,,,,,,KZ17,31.43
2011,на 100 000 населения,Жамбылская,,,,,,KZ17,30.35
2012,на 100 000 населения,Жамбылская,,,,,,KZ17,27.76
2013,на 100 000 населения,Жамбылская,,,,,,KZ17,26.55
2014,на 100 000 населения,Жамбылская,,,,,,KZ17,18.05
2015,на 100 000 населения,Жамбылская,,,,,,KZ17,21.91
2016,на 100 000 населения,Жамбылская,,,,,,KZ17,22.46
2017,на 100 000 населения,Жамбылская,,,,,,KZ17,17.2
2018,на 100 000 населения,Жамбылская,,,,,,KZ17,16.32
2010,на 100 000 населения,Карагандинская,,,,,,KZ12,20.3
2011,на 100 000 населения,Карагандинская,,,,,,KZ12,16.38
2012,на 100 000 населения,Карагандинская,,,,,,KZ12,21.32
2013,на 100 000 населения,Карагандинская,,,,,,KZ12,19.32
2014,на 100 000 населения,Карагандинская,,,,,,KZ12,14.7
2015,на 100 000 населения,Карагандинская,,,,,,KZ12,13.83
2016,на 100 000 населения,Карагандинская,,,,,,KZ12,11.92
2017,на 100 000 населения,Карагандинская,,,,,,KZ12,11.8
2018,на 100 000 населения,Карагандинская,,,,,,KZ12,14.57
2010,на 100 000 населения,Костанайская,,,,,,KZ13,11.67
2011,на 100 000 населения,Костанайская,,,,,,KZ13,11.36
2012,на 100 000 населения,Костанайская,,,,,,KZ13,11.93
2013,на 100 000 населения,Костанайская,,,,,,KZ13,13.4
2014,на 100 000 населения,Костанайская,,,,,,KZ13,16.34
2015,на 100 000 населения,Костанайская,,,,,,KZ13,14.5
2016,на 100 000 населения,Костанайская,,,,,,KZ13,9.3
2017,на 100 000 населения,Костанайская,,,,,,KZ13,10.37
2018,на 100 000 населения,Костанайская,,,,,,KZ13,9.38
2010,на 100 000 населения,Кызылординская,,,,,,KZ14,20.72655200853243
2011,на 100 000 населения,Кызылординская,,,,,,KZ14,18.54
2012,на 100 000 населения,Кызылординская,,,,,,KZ14,19.17
2013,на 100 000 населения,Кызылординская,,,,,,KZ14,17.46
2014,на 100 000 населения,Кызылординская,,,,,,KZ14,14.47
2015,на 100 000 населения,Кызылординская,,,,,,KZ14,13.042962728745898
2016,на 100 000 населения,Кызылординская,,,,,,KZ14,17.94
2017,на 100 000 населения,Кызылординская,,,,,,KZ14,11.437809800789335
2018,на 100 000 населения,Кызылординская,,,,,,KZ14,12.04
2010,на 100 000 населения,Мангистауская,,,,,,KZ09,21.8
2011,на 100 000 населения,Мангистауская,,,,,,KZ09,16.45
2012,на 100 000 населения,Мангистауская,,,,,,KZ09,16.34
2013,на 100 000 населения,Мангистауская,,,,,,KZ09,20.6
2014,на 100 000 населения,Мангистауская,,,,,,KZ09,17.25
2015,на 100 000 населения,Мангистауская,,,,,,KZ09,14.1
2016,на 100 000 населения,Мангистауская,,,,,,KZ09,16.23
2017,на 100 000 населения,Мангистауская,,,,,,KZ09,11.05
2018,на 100 000 населения,Мангистауская,,,,,,KZ09,7.77
2010,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,32.41
2011,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,27.13
2012,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,22.64
2013,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,23.02
2014,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,20.65
2015,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,17.552661537783706
2016,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,19.931784342289586
2017,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,17.63
2018,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,16.21
2010,на 100 000 населения,Павлодарская,,,,,,KZ11,16.23
2011,на 100 000 населения,Павлодарская,,,,,,KZ11,16.47
2012,на 100 000 населения,Павлодарская,,,,,,KZ11,14.97
2013,на 100 000 населения,Павлодарская,,,,,,KZ11,12.92
2014,на 100 000 населения,Павлодарская,,,,,,KZ11,14.58
2015,на 100 000 населения,Павлодарская,,,,,,KZ11,12.55
2016,на 100 000 населения,Павлодарская,,,,,,KZ11,12.66818332972642
2017,на 100 000 населения,Павлодарская,,,,,,KZ11,8.202398143082897
2018,на 100 000 населения,Павлодарская,,,,,,KZ11,11.0
2010,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,17.59
2011,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,11.762780516744066
2012,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,12.548647496458877
