Year,Units,Местность,Регионы,Возраст,Вид экономической деятельности,Образование,Квинтиль индекса благосостояния,GeoCode,Value
2010,процент,,,,,,,,51.0
2015,процент,,,,,,,,55.7
2010,процент,городское население,,,,,,,53.9
2015,процент,городское население,,,,,,,55.8
2010,процент,сельское население,,,,,,,47.7
2015,процент,сельское население,,,,,,,55.6
2010,процент,,Акмолинская,,,,,KZ03,45.5
2015,процент,,Акмолинская,,,,,KZ03,53.9
2010,процент,,Актюбинская,,,,,KZ04,35.7
2015,процент,,Актюбинская,,,,,KZ04,52.0
2010,процент,,Алматинская,,,,,KZ01,43.1
2015,процент,,Алматинская,,,,,KZ01,62.4
2010,процент,,Атырауская,,,,,KZ06,48.2
2015,процент,,Атырауская,,,,,KZ06,48.4
2010,процент,,Западно-Казахстанская,,,,,KZ07,61.9
2015,процент,,Западно-Казахстанская,,,,,KZ07,57.6
2010,процент,,Жамбылская,,,,,KZ17,44.4
2015,процент,,Жамбылская,,,,,KZ17,50.6
2010,процент,,Карагандинская,,,,,KZ12,54.6
2015,процент,,Карагандинская,,,,,KZ12,55.4
2010,процент,,Костанайская,,,,,KZ13,63.1
2015,процент,,Костанайская,,,,,KZ13,60.0
2010,процент,,Кызылординская,,,,,KZ14,44.1
2015,процент,,Кызылординская,,,,,KZ14,54.9
2010,процент,,Мангистауская,,,,,KZ09,57.1
2015,процент,,Мангистауская,,,,,KZ09,37.1
2010,процент,,Южно-Казахстанская,,,,,KZ10,43.1
2015,процент,,Южно-Казахстанская,,,,,KZ10,60.4
2010,процент,,Павлодарская,,,,,KZ11,58.3
2015,процент,,Павлодарская,,,,,KZ11,45.4
2010,процент,,Северо-Казахстанская,,,,,KZ16,60.5
2015,процент,,Северо-Казахстанская,,,,,KZ16,62.0
2010,процент,,Восточно-Казахстанская,,,,,KZ15,50.2
2015,процент,,Восточно-Казахстанская,,,,,KZ15,57.8
2010,процент,,г.Нур-Султан,,,,,KZ05,72.7
2015,процент,,г.Нур-Султан,,,,,KZ05,48.8
2010,процент,,г.Алматы,,,,,KZ02,62.6
2015,процент,,г.Алматы,,,,,KZ02,63.0
2010,процент,,,15-19,,,,,19.2
2015,процент,,,15-19,,,,,28.6
2010,процент,,,20-24,,,,,35.3
2015,процент,,,20-24,,,,,44.3
2010,процент,,,25-29,,,,,52.9
2015,процент,,,25-29,,,,,56.3
2010,процент,,,30-34,,,,,56.8
2015,процент,,,30-34,,,,,60.8
2010,процент,,,35-39,,,,,61.0
2015,процент,,,35-39,,,,,65.6
2010,процент,,,40-44,,,,,57.0
2015,процент,,,40-44,,,,,61.9
2010,процент,,,45-49,,,,,39.1
2015,процент,,,45-49,,,,,39.8
2010,процент,,,,образование,начальное/не законченное среднее,,,46.0
2015,процент,,,,образование,основное среднее,,,55.6
2010,процент,,,,образование,общее среднее,,,49.1
2015,процент,,,,образование,общее среднее,,,55.5
2010,процент,,,,образование,техническое и профессиональное,,,51.5
2015,процент,,,,образование,техническое и профессиональное,,,53.6
2010,процент,,,,образование,высшее,,,52.9
2015,процент,,,,образование,высшее,,,57.7
2010,процент,,,,,,беднейший,,45.6
2015,процент,,,,,,беднейший,,54.8
2010,процент,,,,,,второй,,46.1
2015,процент,,,,,,второй,,56.1
2010,процент,,,,,,средний,,50.3
2015,процент,,,,,,средний,,55.4
2010,процент,,,,,,четвертый,,55.7
2015,процент,,,,,,четвертый,,56.2
2010,процент,,,,,,богатейший,,56.8
2015,процент,,,,,,богатейший,,56.2
