Year,Units,Age,Location,Value
2015,"per 1,000 women",aged 10-14 years,,0.03
2016,"per 1,000 women",aged 10-14 years,,0.05
2017,"per 1,000 women",aged 10-14 years,,0.02
2015,"per 1,000 women",,urban,0.04
2016,"per 1,000 women",,urban,0.04
2017,"per 1,000 women",,urban,0.04
2015,"per 1,000 women",,rural,0.0
2016,"per 1,000 women",,rural,0.06
2017,"per 1,000 women",,rural,0.0
2015,"per 1,000 women",aged 15-19 years,,24.3
2016,"per 1,000 women",aged 15-19 years,,24.1
2017,"per 1,000 women",aged 15-19 years,,21.1
2015,"per 1,000 women",,urban,18.5
2016,"per 1,000 women",,urban,18.2
2017,"per 1,000 women",,urban,14.4
2015,"per 1,000 women",,rural,32.6
2016,"per 1,000 women",,rural,32.7
2017,"per 1,000 women",,rural,31.1
2018,"per 1,000 women",aged 10-14 years,,0.05
2018,"per 1,000 women",aged 10-14 years,urban,0.05
2018,"per 1,000 women",aged 10-14 years,rural,0.03
2018,"per 1,000 women",aged 15-19 years,,19.0
2018,"per 1,000 women",aged 15-19 years,urban,13.5
2018,"per 1,000 women",aged 15-19 years,rural,27.4
2019,"per 1,000 women",aged 15-19 years,,16.8
2019,"per 1,000 women",aged 15-19 years,urban,11.9
2019,"per 1,000 women",aged 15-19 years,rural,24.4
2020,"per 1,000 women",aged 15-19 years,,13.9
2020,"per 1,000 women",aged 15-19 years,urban,11.1
2020,"per 1,000 women",aged 15-19 years,rural,18.5
