Year,Units,Пол,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",Value
2016,процент,,,98.0
2016,процент,мужчины,,98.0
2016,процент,женщины,,98.0
2015,процент,,i) грамотности в разбивке по полу,58.7
2015,процент,мужчины,i) грамотности в разбивке по полу,54.7
2015,процент,женщины,i) грамотности в разбивке по полу,63.0
2015,процент,,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",99.977
2015,процент,мужчины,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",99.977
2015,процент,женщины,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",99.977
2015,процент,,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",99.973
2015,процент,мужчины,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",99.978
2015,процент,женщины,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",99.968
2015,процент,,навыков счета,96.5
2015,процент,мужчины,навыков счета,96.5
2015,процент,женщины,навыков счета,96.5
2015,процент,,"навыков счета, в разбивке по полу (PISA)",67.8
2015,процент,мужчины,"навыков счета, в разбивке по полу (PISA)",68.5
2015,процент,женщины,"навыков счета, в разбивке по полу (PISA)",67.2
2015,процент,,"навыков счета, в разбивке по полу (TIMSS)",90.8
2015,процент,мужчины,"навыков счета, в разбивке по полу (TIMSS)",91.9
2015,процент,женщины,"навыков счета, в разбивке по полу (TIMSS)",89.7
