Year,Units,Местность,Пол,Регионы,Возраст,Образование,Квинтиль индекса благосостояния,национальность,GeoCode,Value
2010,процент,,,,,,,,,81.6
2015,процент,,,,,,,,,90.8
2010,процент,городская местность,,,,,,,,85.0
2015,процент,городская местность,,,,,,,,90.6
2010,процент,сельская местность,,,,,,,,78.0
2015,процент,сельская местность,,,,,,,,90.9
2010,процент,,мужчины,,,,,,,80.0
2015,процент,,мужчины,,,,,,,91.1
2010,процент,,женщины,,,,,,,82.0
2015,процент,,женщины,,,,,,,90.4
2010,процент,,,Акмолинская,,,,,KZ03,90.0
2015,процент,,,Акмолинская,,,,,KZ03,98.8
2010,процент,,,Актюбинская,,,,,KZ04,96.0
2015,процент,,,Актюбинская,,,,,KZ04,100.0
2010,процент,,,Алматинская,,,,,KZ01,81.0
2015,процент,,,Алматинская,,,,,KZ01,82.4
2010,процент,,,Атырауская,,,,,KZ06,83.0
2015,процент,,,Атырауская,,,,,KZ06,98.5
2010,процент,,,Западно-Казахстанская,,,,,KZ07,98.0
2015,процент,,,Западно-Казахстанская,,,,,KZ07,100.0
2010,процент,,,Жамбылская,,,,,KZ17,83.0
2015,процент,,,Жамбылская,,,,,KZ17,92.0
2010,процент,,,Карагандинская,,,,,KZ12,75.0
2015,процент,,,Карагандинская,,,,,KZ12,94.0
2010,процент,,,Костанайская,,,,,KZ13,83.0
2015,процент,,,Костанайская,,,,,KZ13,100.0
2010,процент,,,Кызылординская,,,,,KZ14,67.0
2015,процент,,,Кызылординская,,,,,KZ14,69.6
2010,процент,,,Мангистауская,,,,,KZ09,66.0
2015,процент,,,Мангистауская,,,,,KZ09,100.0
2010,процент,,,Южно-Казахстанская,,,,,KZ10,70.0
2015,процент,,,Южно-Казахстанская,,,,,KZ10,87.4
2010,процент,,,Павлодарская,,,,,KZ11,95.0
2015,процент,,,Павлодарская,,,,,KZ11,95.0
2010,процент,,,Северо-Казахстанская,,,,,KZ16,84.0
2015,процент,,,Северо-Казахстанская,,,,,KZ16,94.9
2010,процент,,,Восточно-Казахстанская,,,,,KZ15,80.0
2015,процент,,,Восточно-Казахстанская,,,,,KZ15,96.6
2010,процент,,,г_Нур-Султан,,,,,KZ05,93.0
2015,процент,,,г_Нур-Султан,,,,,KZ05,100.0
2010,процент,,,г_Алматы,,,,,KZ02,97.0
2015,процент,,,г_Алматы,,,,,KZ02,58.4
2015,процент,,,,6 лет,,,,,89.8
2015,процент,,,,7 лет и старше,,,,,92.1
2010,процент,,,,,основное среднее,,,,77.1
2015,процент,,,,,основное среднее,,,,95.5
2015,процент,,,,,общее среднее,,,,83.2
2010,процент,,,,,техническое и профессиональное,,,,83.0
2015,процент,,,,,техническое и профессиональное,,,,92.0
2010,процент,,,,,высшее,,,,85.0
2015,процент,,,,,высшее,,,,94.6
2010,процент,,,,,пропуск/НЗ,беднейший,,,71.0
2015,процент,,,,,пропуск/НЗ,беднейший,,,88.3
2010,процент,,,,,пропуск/НЗ,второй,,,78.0
2015,процент,,,,,пропуск/НЗ,второй,,,87.2
2010,процент,,,,,пропуск/НЗ,средний,,,83.0
2015,процент,,,,,пропуск/НЗ,средний,,,89.4
2010,процент,,,,,пропуск/НЗ,четвертый,,,86.0
2015,процент,,,,,пропуск/НЗ,четвертый,,,93.5
2010,процент,,,,,пропуск/НЗ,богатейший,,,91.0
2015,процент,,,,,пропуск/НЗ,богатейший,,,96.7
2010,процент,,,,,,,казахи,,79.0
2015,процент,,,,,,,казахи,,92.3
2010,процент,,,,,,,русские,,86.0
2015,процент,,,,,,,русские,,95.6
2010,процент,,,,,,,другие,,87.0
2015,процент,,,,,,,другие,,79.9
