Year,Units,Пол,Местность,Регионы,Возраст,Образование,Квинтиль индекса благосостояния,национальность,Value
2015,процент,,,,,,,,99.81213409838931
2016,процент,,,,,,,,95.85777639042873
2017,процент,,,,,,,,99.19755003760682
2018,процент,,,,,,,,93.83096929119436
2015,процент,мужчины,,,,,,,100.0
2016,процент,мужчины,,,,,,,98.77800407331976
2017,процент,мужчины,,,,,,,99.77661051741833
2018,процент,мужчины,,,,,,,91.65236639043032
2015,процент,женщины,,,,,,,95.54547647768395
2016,процент,женщины,,,,,,,92.88182559087204
2017,процент,женщины,,,,,,,98.59434698979565
2018,процент,женщины,,,,,,,96.26536706438978
2010,процент,,,,,,,,81.6
2015,процент,,,,,,,,90.8
2010,процент,,городская местность,,,,,,85.0
2015,процент,,городская местность,,,,,,90.6
2010,процент,,сельская местность,,,,,,78.0
2015,процент,,сельская местность,,,,,,90.9
2010,процент,мужчины,,,,,,,80.0
2015,процент,мужчины,,,,,,,91.1
2010,процент,женщины,,,,,,,82.0
2015,процент,женщины,,,,,,,90.4
2010,процент,,,Акмолинская,,,,,90.0
2015,процент,,,Акмолинская,,,,,98.8
2010,процент,,,Актюбинская,,,,,96.0
2015,процент,,,Актюбинская,,,,,100.0
2010,процент,,,Алматинская,,,,,81.0
2015,процент,,,Алматинская,,,,,82.4
2010,процент,,,Атырауская,,,,,83.0
2015,процент,,,Атырауская,,,,,98.5
2010,процент,,,Западно-Казахстанская,,,,,98.0
2015,процент,,,Западно-Казахстанская,,,,,100.0
2010,процент,,,Жамбылская,,,,,83.0
2015,процент,,,Жамбылская,,,,,92.0
2010,процент,,,Карагандинская,,,,,75.0
2015,процент,,,Карагандинская,,,,,94.0
2010,процент,,,Костанайская,,,,,83.0
2015,процент,,,Костанайская,,,,,100.0
2010,процент,,,Кызылординская,,,,,67.0
2015,процент,,,Кызылординская,,,,,69.6
2010,процент,,,Мангистауская,,,,,66.0
2015,процент,,,Мангистауская,,,,,100.0
2010,процент,,,Южно-Казахстанская,,,,,70.0
2015,процент,,,Южно-Казахстанская,,,,,87.4
2010,процент,,,Павлодарская,,,,,95.0
2015,процент,,,Павлодарская,,,,,95.0
2010,процент,,,Северо-Казахстанская,,,,,84.0
2015,процент,,,Северо-Казахстанская,,,,,94.9
2010,процент,,,Восточно-Казахстанская,,,,,80.0
2015,процент,,,Восточно-Казахстанская,,,,,96.6
2010,процент,,,г.Нур-Султан,,,,,93.0
2015,процент,,,г.Нур-Султан,,,,,100.0
2010,процент,,,г.Алматы,,,,,97.0
2015,процент,,,г.Алматы,,,,,58.4
2015,процент,,,,6 лет,,,,89.8
2015,процент,,,,7 лет и старше,,,,92.1
2010,процент,,,,,основное среднее,,,77.1
2015,процент,,,,,основное среднее,,,95.5
2015,процент,,,,,общее среднее,,,83.2
2010,процент,,,,,техническое и профессиональное,,,83.0
2015,процент,,,,,техническое и профессиональное,,,92.0
2010,процент,,,,,высшее,,,85.0
2015,процент,,,,,высшее,,,94.6
2010,процент,,,,,пропуск/НЗ,беднейший,,71.0
2015,процент,,,,,пропуск/НЗ,беднейший,,88.3
2010,процент,,,,,пропуск/НЗ,второй,,78.0
2015,процент,,,,,пропуск/НЗ,второй,,87.2
2010,процент,,,,,пропуск/НЗ,средний,,83.0
2015,процент,,,,,пропуск/НЗ,средний,,89.4
2010,процент,,,,,пропуск/НЗ,четвертый,,86.0
2015,процент,,,,,пропуск/НЗ,четвертый,,93.5
2010,процент,,,,,пропуск/НЗ,богатейший,,91.0
2015,процент,,,,,пропуск/НЗ,богатейший,,96.7
2010,процент,,,,,,,казахи,79.0
2015,процент,,,,,,,казахи,92.3
2010,процент,,,,,,,русские,86.0
2015,процент,,,,,,,русские,95.6
2010,процент,,,,,,,другие,87.0
2015,процент,,,,,,,другие,79.9
