Year,Units,Образование,Местность,Регионы,Квинтиль индекса благосостояния,национальность,GeoCode,Value
2010,процент,начальное образование,,,,,,1.0
2015,процент,начальное образование,,,,,,1.0
2010,процент,среднее образование,,,,,,1.0
2015,процент,среднее образование,,,,,,1.0
2015,процент,основное среднее образование,,,,,,1.0
2015,процент,общее среднее образование,,,,,,1.01
2010,процент,,,,,,,1.0
2015,процент,,,,,,,1.0
2010,процент,,городская местность,,,,,96.6
2015,процент,,городская местность,,,,,0.99
2010,процент,,сельская местность,,,,,97.6
2015,процент,,сельская местность,,,,,1.0
2010,процент,,,Акмолинская,,,KZ03,0.99
2015,процент,,,Акмолинская,,,KZ03,0.99
2010,процент,,,Актюбинская,,,KZ04,1.01
2015,процент,,,Актюбинская,,,KZ04,1.01
2010,процент,,,Алматинская,,,KZ01,1.01
2015,процент,,,Алматинская,,,KZ01,1.0
2010,процент,,,Атырауская,,,KZ06,1.0
2015,процент,,,Атырауская,,,KZ06,0.94
2010,процент,,,Западно-Казахстанская,,,KZ07,0.99
2015,процент,,,Западно-Казахстанская,,,KZ07,0.99
2010,процент,,,Жамбылская,,,KZ17,0.99
2015,процент,,,Жамбылская,,,KZ17,1.0
2010,процент,,,Карагандинская,,,KZ12,1.0
2015,процент,,,Карагандинская,,,KZ12,1.01
2010,процент,,,Костанайская,,,KZ13,0.99
2015,процент,,,Костанайская,,,KZ13,1.01
2010,процент,,,Кызылординская,,,KZ14,1.01
2015,процент,,,Кызылординская,,,KZ14,0.99
2010,процент,,,Мангистауская,,,KZ09,1.0
2015,процент,,,Мангистауская,,,KZ09,1.01
2010,процент,,,Южно-Казахстанская,,,KZ10,1.0
2015,процент,,,Южно-Казахстанская,,,KZ10,1.0
2010,процент,,,Павлодарская,,,KZ11,1.0
2015,процент,,,Павлодарская,,,KZ11,1.01
2010,процент,,,Северо-Казахстанская,,,KZ16,1.01
2015,процент,,,Северо-Казахстанская,,,KZ16,1.01
2010,процент,,,Восточно-Казахстанская,,,KZ15,1.0
2015,процент,,,Восточно-Казахстанская,,,KZ15,1.0
2010,процент,,,г.Нур-Султан,,,KZ05,1.0
2015,процент,,,г.Нур-Султан,,,KZ05,1.02
2010,процент,,,г.Алматы,,,KZ02,1.0
2015,процент,,,г.Алматы,,,KZ02,0.98
2010,процент,начальное/незаконченное среднее,,,,,,1.05
2010,процент,основное среднее,,,,,,1.0
2015,процент,основное среднее,,,,,,0.99
2015,процент,общее среднее,,,,,,0.99
2010,процент,техническое и профессиональное,,,,,,1.0
2015,процент,техническое и профессиональное,,,,,,1.0
2010,процент,высшее,,,,,,0.99
2015,процент,высшее,,,,,,1.0
2010,процент,пропуск/НЗ,,,беднейший,,,1.0
2015,процент,пропуск/НЗ,,,беднейший,,,1.01
2010,процент,пропуск/НЗ,,,второй,,,1.01
2015,процент,пропуск/НЗ,,,второй,,,1.0
2010,процент,пропуск/НЗ,,,средний,,,0.99
2015,процент,пропуск/НЗ,,,средний,,,1.0
2010,процент,пропуск/НЗ,,,четвертый,,,1.0
2015,процент,пропуск/НЗ,,,четвертый,,,1.0
2010,процент,пропуск/НЗ,,,богатейший,,,1.0
2015,процент,пропуск/НЗ,,,богатейший,,,0.99
2010,процент,,,,,казахи,,1.0
2015,процент,,,,,казахи,,1.0
2010,процент,,,,,русские,,1.0
2015,процент,,,,,русские,,0.99
2010,процент,,,,,другие,,1.0
2015,процент,,,,,другие,,1.0
2015,процент,,,,,,,1.0
2015,процент,,городская местность,,,,,1.0
2015,процент,,сельская местность,,,,,1.0
2015,процент,,,Акмолинская,,,KZ03,1.0
2015,процент,,,Актюбинская,,,KZ04,1.0
2015,процент,,,Алматинская,,,KZ01,1.02
2015,процент,,,Атырауская,,,KZ06,1.0
2015,процент,,,Западно-Казахстанская,,,KZ07,1.01
2015,процент,,,Жамбылская,,,KZ17,0.99
2015,процент,,,Карагандинская,,,KZ12,1.01
2015,процент,,,Костанайская,,,KZ13,1.0
2015,процент,,,Кызылординская,,,KZ14,1.0
2015,процент,,,Мангистауская,,,KZ09,1.0
2015,процент,,,Южно-Казахстанская,,,KZ10,0.99
2015,процент,,,Павлодарская,,,KZ11,0.99
2015,процент,,,Северо-Казахстанская,,,KZ16,1.01
2015,процент,,,Восточно-Казахстанская,,,KZ15,1.0
2015,процент,,,г.Нур-Султан,,,KZ05,1.01
2015,процент,,,г.Алматы,,,KZ02,1.02
2015,процент,основное среднее,,,,,,1.0
2015,процент,общее среднее,,,,,,1.01
2015,процент,техническое и профессиональное,,,,,,1.0
2015,процент,высшее,,,,,,0.99
2015,процент,пропуск/НЗ,,,беднейший,,,0.99
2015,процент,пропуск/НЗ,,,второй,,,1.01
2015,процент,пропуск/НЗ,,,средний,,,1.0
2015,процент,пропуск/НЗ,,,четвертый,,,1.0
2015,процент,пропуск/НЗ,,,богатейший,,,1.0
2015,процент,,,,,казахи,,1.0
2015,процент,,,,,русские,,1.01
2015,процент,,,,,другие,,1.0
2010,процент,,,,,,,1.0
2015,процент,,,,,,,1.01
2010,процент,,городская местность,,,,,0.99
2015,процент,,городская местность,,,,,1.0
2010,процент,,сельская местность,,,,,1.01
2015,процент,,сельская местность,,,,,0.0
2010,процент,,,Акмолинская,,,KZ03,1.02
2015,процент,,,Акмолинская,,,KZ03,1.0
2010,процент,,,Актюбинская,,,KZ04,1.0
2015,процент,,,Актюбинская,,,KZ04,1.0
2010,процент,,,Алматинская,,,KZ01,1.03
2015,процент,,,Алматинская,,,KZ01,1.0
2010,процент,,,Атырауская,,,KZ06,1.01
2015,процент,,,Атырауская,,,KZ06,0.0
2010,процент,,,Западно-Казахстанская,,,KZ07,1.01
2010,процент,,,Жамбылская,,,KZ17,1.0
2015,процент,,,Жамбылская,,,KZ17,0.0
2010,процент,,,Карагандинская,,,KZ12,1.0
2010,процент,,,Костанайская,,,KZ13,1.0
2015,процент,,,Костанайская,,,KZ13,1.0
2010,процент,,,Кызылординская,,,KZ14,1.01
2015,процент,,,Кызылординская,,,KZ14,0.0
2010,процент,,,Мангистауская,,,KZ09,0.99
2015,процент,,,Мангистауская,,,KZ09,1.0
2010,процент,,,Южно-Казахстанская,,,KZ10,0.99
2015,процент,,,Южно-Казахстанская,,,KZ10,0.0
2010,процент,,,Павлодарская,,,KZ11,1.0
2010,процент,,,Северо-Казахстанская,,,KZ16,0.98
2015,процент,,,Северо-Казахстанская,,,KZ16,1.0
2010,процент,,,Восточно-Казахстанская,,,KZ15,0.97
2010,процент,,,г.Нур-Султан,,,KZ05,1.01
2015,процент,,,г.Нур-Султан,,,KZ05,1.0
2010,процент,,,г.Алматы,,,KZ02,0.99
2015,процент,,,г.Алматы,,,KZ02,1.0
2010,процент,начальное/незаконченное среднее,,,,,,1.02
2015,процент,основное среднее,,,,,,0.0
2010,процент,общее среднее,,,,,,1.01
2015,процент,общее среднее,,,,,,1.0
2010,процент,техническое и профессиональное,,,,,,1.0
2015,процент,техническое и профессиональное,,,,,,1.0
2010,процент,высшее,,,,,,1.02
2015,процент,высшее,,,,,,1.0
2015,процент,невозможно определить,,,,,,1.0
2010,процент,пропуск/НЗ,,,беднейший,,,1.01
2015,процент,пропуск/НЗ,,,беднейший,,,1.0
2010,процент,пропуск/НЗ,,,второй,,,1.0
2015,процент,пропуск/НЗ,,,второй,,,1.0
2010,процент,пропуск/НЗ,,,средний,,,0.99
2015,процент,пропуск/НЗ,,,средний,,,0.0
2010,процент,пропуск/НЗ,,,четвертый,,,1.0
2015,процент,пропуск/НЗ,,,четвертый,,,1.0
2010,процент,пропуск/НЗ,,,богатейший,,,1.0
2015,процент,пропуск/НЗ,,,богатейший,,,1.0
2010,процент,,,,,казахи,,1.0
2015,процент,,,,,казахи,,1.0
2010,процент,,,,,русские,,0.99
2015,процент,,,,,русские,,1.0
2010,процент,,,,,другие,,1.01
2015,процент,,,,,другие,,1.0
