Year,Units,Обеспеченность школ,Value
2015,процент,,100.0
2016,процент,,100.0
2017,процент,,100.0
2016,процент,доступом к Интернету для учебных целей,79.1
2017,процент,доступом к Интернету для учебных целей,85.8
2018,процент,доступом к Интернету для учебных целей,89.9
2016,процент,компьютерами для учебных целей,98.1
2017,процент,компьютерами для учебных целей,98.5
2018,процент,компьютерами для учебных целей,99.1
2015,процент,базовыми источниками питьевой воды,100.0
2016,процент,базовыми источниками питьевой воды,100.0
2017,процент,базовыми источниками питьевой воды,100.0
2018,процент,базовыми источниками питьевой воды,100.0
2015,процент,раздельными минимально оборудованными туалетами,100.0
2016,процент,раздельными минимально оборудованными туалетами,100.0
2017,процент,раздельными минимально оборудованными туалетами,100.0
2018,процент,раздельными минимально оборудованными туалетами,100.0
