Year,Units,Регионы,Возраст,Value
2010,процент,,,0.3
2015,процент,,,0.2
2010,процент,,,6.1
2015,процент,,,7.0
2010,процент,,,0.3
2015,процент,,,0.1
2010,процент,,,0.3
2015,процент,,,0.1
2010,процент,,,0.2
2015,процент,,,0.1
2010,процент,Акмолинская,,0.5
2015,процент,Акмолинская,,0.1
2010,процент,Актюбинская,,0.2
2015,процент,Актюбинская,,0.1
2010,процент,Алматинская,,0.3
2015,процент,Алматинская,,0.0
2010,процент,Атырауская,,0.0
2015,процент,Атырауская,,0.1
2010,процент,Западно-Казахстанская,,0.5
2015,процент,Западно-Казахстанская,,0.1
2010,процент,Жамбылская,,0.3
2015,процент,Жамбылская,,0.1
2010,процент,Карагандинская,,0.7
2015,процент,Карагандинская,,0.0
2010,процент,Костанайская,,0.3
2015,процент,Костанайская,,0.3
2010,процент,Кызылординская,,0.0
2015,процент,Кызылординская,,0.0
2010,процент,Мангистауская,,0.2
2015,процент,Мангистауская,,0.0
2010,процент,Южно-Казахстанская,,0.1
2015,процент,Южно-Казахстанская,,0.1
2010,процент,Павлодарская,,0.3
2015,процент,Павлодарская,,0.0
2010,процент,Северо-Казахстанская,,0.3
2015,процент,Северо-Казахстанская,,0.0
2010,процент,Восточно-Казахстанская,,0.1
2015,процент,Восточно-Казахстанская,,0.3
2010,процент,,,0.1
2015,процент,,,0.0
2010,процент,,,0.3
2015,процент,,,0.0
2010,процент,,20-24,0.3
2015,процент,,20-24,0.2
2010,процент,,25-29,0.2
2015,процент,,25-29,0.0
2010,процент,,30-34,0.3
2015,процент,,30-34,0.0
2010,процент,,35-39,0.2
2015,процент,,35-39,0.2
2010,процент,,40-44,0.3
2015,процент,,40-44,0.0
2010,процент,,45-49,0.3
2015,процент,,45-49,0.0
2010,процент,,,2.0
2010,процент,,,0.4
2015,процент,,,0.5
2015,процент,,,0.2
2010,процент,,,0.2
2015,процент,,,0.0
2010,процент,,,0.1
2015,процент,,,0.0
2010,процент,,,0.3
2015,процент,,,0.1
2010,процент,,,0.3
2015,процент,,,0.1
2010,процент,,,0.3
2015,процент,,,0.1
2010,процент,,,0.2
2015,процент,,,0.0
2010,процент,,,0.2
2015,процент,,,0.0
2010,процент,,,0.1
2015,процент,,,0.0
2010,процент,,,0.5
2015,процент,,,0.2
2010,процент,,,0.4
2015,процент,,,0.1
2010,процент,,,8.6
2015,процент,,,7.8
2010,процент,,,7.7
2015,процент,,,6.5
2010,процент,,,9.9
2015,процент,,,9.5
2010,процент,Акмолинская,,10.8
2015,процент,Акмолинская,,8.0
2010,процент,Актюбинская,,5.2
2015,процент,Актюбинская,,6.0
2010,процент,Алматинская,,7.9
2015,процент,Алматинская,,7.3
2010,процент,Атырауская,,5.5
2015,процент,Атырауская,,6.9
2010,процент,Западно-Казахстанская,,9.0
2015,процент,Западно-Казахстанская,,8.3
2010,процент,Жамбылская,,12.8
2015,процент,Жамбылская,,10.9
2010,процент,Карагандинская,,12.7
2015,процент,Карагандинская,,6.9
2010,процент,Костанайская,,8.3
2015,процент,Костанайская,,9.9
2010,процент,Кызылординская,,6.0
2015,процент,Кызылординская,,6.8
2010,процент,Мангистауская,,6.2
2015,процент,Мангистауская,,10.2
2010,процент,Южно-Казахстанская,,9.0
2015,процент,Южно-Казахстанская,,9.9
2010,процент,Павлодарская,,11.2
2015,процент,Павлодарская,,10.7
2010,процент,Северо-Казахстанская,,11.1
2015,процент,Северо-Казахстанская,,10.6
2010,процент,Восточно-Казахстанская,,7.6
2015,процент,Восточно-Казахстанская,,7.4
2010,процент,,,5.3
2015,процент,,,3.2
2010,процент,,,5.7
2015,процент,,,5.0
2010,процент,,20-24,6.1
2015,процент,,20-24,7.0
2010,процент,,25-29,8.4
2015,процент,,25-29,5.2
2010,процент,,30-34,12.9
2015,процент,,30-34,6.6
2010,процент,,35-39,10.9
2015,процент,,35-39,12.9
2010,процент,,40-44,6.9
2015,процент,,40-44,9.1
2010,процент,,45-49,6.7
2015,процент,,45-49,6.2
2010,процент,,,26.7
2015,процент,,,27.2
2010,процент,,,14.6
2015,процент,,,13.7
2010,процент,,,8.4
2015,процент,,,7.0
2010,процент,,,2.6
2015,процент,,,2.5
2010,процент,,,9.7
2015,процент,,,10.6
2010,процент,,,10.6
2015,процент,,,8.3
2010,процент,,,8.8
2015,процент,,,9.5
2010,процент,,,8.3
2015,процент,,,6.0
2010,процент,,,6.6
2015,процент,,,5.5
2010,процент,,,6.5
2015,процент,,,5.1
2010,процент,,,11.8
2015,процент,,,12.5
2010,процент,,,13.0
2015,процент,,,12.7
