Year,Units,"Доля мест, занимаемых женщинами",Value
2010,процент,национальный парламент (Мажилис),17.8
2011,процент,национальный парламент (Мажилис),17.8
2012,процент,национальный парламент (Мажилис),23.8
2013,процент,национальный парламент (Мажилис),26.2
2014,процент,национальный парламент (Мажилис),26.2
2015,процент,национальный парламент (Мажилис),26.7
2016,процент,национальный парламент (Мажилис),27.6
2017,процент,национальный парламент (Мажилис),27.4
2018,процент,национальный парламент (Мажилис),27.6
2011,процент,местные органы власти (Маслихат),16.94
2012,процент,местные органы власти (Маслихат),17.0
2013,процент,местные органы власти (Маслихат),18.17
2014,процент,местные органы власти (Маслихат),18.41
2015,процент,местные органы власти (Маслихат),18.8
2016,процент,местные органы власти (Маслихат),22.158920539730133
2017,процент,местные органы власти (Маслихат),22.09895052473763
2018,процент,местные органы власти (Маслихат),22.19
