Year,Units,Регионы,Местность,Возраст,GeoCode,Value
2010,процент,Республика Казахстан,,,,37.2
2011,процент,Республика Казахстан,,,,38.5
2012,процент,Республика Казахстан,,,,39.7
2013,процент,Республика Казахстан,,,,38.3
2014,процент,Республика Казахстан,,,,34.8
2015,процент,Республика Казахстан,,,,37.0
2016,процент,Республика Казахстан,,,,37.3
2017,процент,Республика Казахстан,,,,37.0
2018,процент,Республика Казахстан,,,,41.2
2010,процент,Акмолинская,,,KZ03,39.9
2011,процент,Акмолинская,,,KZ03,43.1
2012,процент,Акмолинская,,,KZ03,36.3
2013,процент,Акмолинская,,,KZ03,44.8
2014,процент,Акмолинская,,,KZ03,34.8
2015,процент,Акмолинская,,,KZ03,30.0
2016,процент,Акмолинская,,,KZ03,34.6
2017,процент,Акмолинская,,,KZ03,35.8
2018,процент,Акмолинская,,,KZ03,45.7
2010,процент,Актюбинская,,,KZ04,41.7
2011,процент,Актюбинская,,,KZ04,41.6
2012,процент,Актюбинская,,,KZ04,36.1
2013,процент,Актюбинская,,,KZ04,27.2
2014,процент,Актюбинская,,,KZ04,37.6
2015,процент,Актюбинская,,,KZ04,34.3
2016,процент,Актюбинская,,,KZ04,34.1
2017,процент,Актюбинская,,,KZ04,39.8
2018,процент,Актюбинская,,,KZ04,33.7
2010,процент,Алматинская,,,KZ01,31.5
2011,процент,Алматинская,,,KZ01,24.4
2012,процент,Алматинская,,,KZ01,33.4
2013,процент,Алматинская,,,KZ01,45.6
2014,процент,Алматинская,,,KZ01,26.5
2015,процент,Алматинская,,,KZ01,31.3
2016,процент,Алматинская,,,KZ01,35.7
2017,процент,Алматинская,,,KZ01,33.8
2018,процент,Алматинская,,,KZ01,39.3
2010,процент,Атырауская,,,KZ06,18.9
2011,процент,Атырауская,,,KZ06,26.7
2012,процент,Атырауская,,,KZ06,31.8
2013,процент,Атырауская,,,KZ06,28.9
2014,процент,Атырауская,,,KZ06,25.4
2015,процент,Атырауская,,,KZ06,33.8
2016,процент,Атырауская,,,KZ06,30.0
2017,процент,Атырауская,,,KZ06,31.0
2018,процент,Атырауская,,,KZ06,35.6
2010,процент,Западно-Казахстанская,,,KZ07,21.2
2011,процент,Западно-Казахстанская,,,KZ07,24.7
2012,процент,Западно-Казахстанская,,,KZ07,20.404275584718
2013,процент,Западно-Казахстанская,,,KZ07,23.5
2014,процент,Западно-Казахстанская,,,KZ07,30.6
2015,процент,Западно-Казахстанская,,,KZ07,35.9
2016,процент,Западно-Казахстанская,,,KZ07,34.5
2017,процент,Западно-Казахстанская,,,KZ07,35.8
2018,процент,Западно-Казахстанская,,,KZ07,36.4
2010,процент,Жамбылская,,,KZ17,22.3
2011,процент,Жамбылская,,,KZ17,30.1
2012,процент,Жамбылская,,,KZ17,39.4
2013,процент,Жамбылская,,,KZ17,27.0
