Year,Units,Регионы,GeoCode,Value
2012,человек,,,3.5065578554111165
2013,человек,,,3.685402162446737
2014,человек,,,3.433270472821785
2015,человек,,,3.401218387391052
2016,человек,,,3.041477748548792
2017,человек,,,2.6269248163889456
2012,человек,Акмолинская,KZ03,4.946407458376137
2013,человек,Акмолинская,KZ03,4.932856776352089
2014,человек,Акмолинская,KZ03,4.9237913684583425
2015,человек,Акмолинская,KZ03,4.904479848802701
2016,человек,Акмолинская,KZ03,4.921908821472576
2017,человек,Акмолинская,KZ03,3.2923003508275817
2012,человек,Актюбинская,KZ04,1.8657933972667384
2013,человек,Актюбинская,KZ04,5.940240052837447
2014,человек,Актюбинская,KZ04,5.874888869605368
2015,человек,Актюбинская,KZ04,5.827469106228452
2016,человек,Актюбинская,KZ04,5.79742458759472
2017,человек,Актюбинская,KZ04,5.770211096262917
2012,человек,Алматинская,KZ01,6.187236471032997
2013,человек,Алматинская,KZ01,6.181900564672289
2014,человек,Алматинская,KZ01,6.3766849427446815
2015,человек,Алматинская,KZ01,6.517071583834858
2016,человек,Алматинская,KZ01,5.4811254306419634
2017,человек,Алматинская,KZ01,1.8686058505893537
2012,человек,Атырауская,KZ06,1.539979523524076
2013,человек,Атырауская,KZ06,1.6330128330503857
2014,человек,Атырауская,KZ06,1.6079952956764905
2015,человек,Атырауская,KZ06,1.8187710130838093
2016,человек,Атырауская,KZ06,1.7817728239649444
2017,человек,Атырауская,KZ06,1.7788225301059046
2012,человек,Западно-Казахстанская,KZ07,6.377347835797937
2013,человек,Западно-Казахстанская,KZ07,6.180782882442213
2014,человек,Западно-Казахстанская,KZ07,6.1609827977146745
2015,человек,Западно-Казахстанская,KZ07,6.146280737090473
2016,человек,Западно-Казахстанская,KZ07,6.167319184009893
2017,человек,Западно-Казахстанская,KZ07,5.312727190346637
2012,человек,Жамбылская,KZ17,1.925666819695505
2013,человек,Жамбылская,KZ17,1.6275990645223826
2014,человек,Жамбылская,KZ17,1.4958423778292935
2015,человек,Жамбылская,KZ17,1.6089690422589304
2016,человек,Жамбылская,KZ17,1.6016048801457492
2017,человек,Жамбылская,KZ17,1.5284358238126348
2012,человек,Карагандинская,KZ12,4.316336769132537
2013,человек,Карагандинская,KZ12,4.306760447256608
2014,человек,Карагандинская,KZ12,4.144392914881816
2015,человек,Карагандинская,KZ12,4.146979485435793
2016,человек,Карагандинская,KZ12,4.163638298704571
2017,человек,Карагандинская,KZ12,4.077720913926477
2012,человек,Костанайская,KZ13,12.094940365224588
2013,человек,Костанайская,KZ13,12.088929175005255
2014,человек,Костанайская,KZ13,12.0955669438465
2015,человек,Костанайская,KZ13,12.101909086683964
2016,человек,Костанайская,KZ13,12.156982835924401
2017,человек,Костанайская,KZ13,12.250728814544726
2012,человек,Кызылординская,KZ14,0.2020558103942668
2013,человек,Кызылординская,KZ14,0.198342782749242
2014,человек,Кызылординская,KZ14,0.19522001711290365
2015,человек,Кызылординская,KZ14,0.19276713115342411
2016,человек,Кызылординская,KZ14,0.19122014728019854
2017,человек,Кызылординская,KZ14,0.19005602609024425
2012,человек,Мангистауская,KZ09,0.032716892549545636
2013,человек,Мангистауская,KZ09,0.02694221686899743
2014,человек,Мангистауская,KZ09,0.01391211152360808
2015,человек,Мангистауская,KZ09,0.021662141126330584
2016,человек,Мангистауская,KZ09,0.010380545868419166
2017,человек,Мангистауская,KZ09,0.016043716697133524
2012,человек,Южно-Казахстанская,KZ10,0.8531819147217448
2013,человек,Южно-Казахстанская,KZ10,0.8652873366676641
2014,человек,Южно-Казахстанская,KZ10,1.1634771874030996
2015,человек,Южно-Казахстанская,KZ10,0.8777980027416062
2016,человек,Южно-Казахстанская,KZ10,0.9666257050454776
2017,человек,Южно-Казахстанская,KZ10,1.0315058376864912
2012,человек,Павлодарская,KZ11,5.652412751552785
2013,человек,Павлодарская,KZ11,5.941565220769258
2014,человек,Павлодарская,KZ11,0.226485909340926
2015,человек,Павлодарская,KZ11,0.2449368380468555
2016,человек,Павлодарская,KZ11,0.045897765169455526
2017,человек,Павлодарская,KZ11,0.16437708957403038
2012,человек,Северо-Казахстанская,KZ16,5.535838041035764
2013,человек,Северо-Казахстанская,KZ16,5.606523955147809
2014,человек,Северо-Казахстанская,KZ16,5.65215073823357
2015,человек,Северо-Казахстанская,KZ16,5.927788523533204
2016,человек,Северо-Казахстанская,KZ16,0.2042319466563537
2017,человек,Северо-Казахстанская,KZ16,2.6601191328187794
2012,человек,Восточно-Казахстанская,KZ15,4.6222234756215785
2013,человек,Восточно-Казахстанская,KZ15,4.753230599617664
2014,человек,Восточно-Казахстанская,KZ15,5.069475579435725
2015,человек,Восточно-Казахстанская,KZ15,5.177975097812227
2016,человек,Восточно-Казахстанская,KZ15,4.87781706393486
2017,человек,Восточно-Казахстанская,KZ15,4.877011310126623
