Year,Units,Местность,Пол,Регионы,GeoCode,Value
2015,процент,,,,,82.0
2016,процент,,,,,89.5
2017,процент,,,,,91.2
2018,процент,,,,,93.0
2015,процент,городская местность,,,,84.0
2016,процент,городская местность,,,,91.5
2017,процент,городская местность,,,,92.7
2018,процент,городская местность,,,,94.1
2015,процент,сельская местность,,,,80.0
2016,процент,сельская местность,,,,86.9
2017,процент,сельская местность,,,,89.1
2018,процент,сельская местность,,,,91.3
2015,процент,,мужчины,,,82.1
2016,процент,,мужчины,,,90.3
2017,процент,,мужчины,,,91.7
2018,процент,,мужчины,,,93.7
2015,процент,,женщины,,,82.4
2016,процент,,женщины,,,88.8
2017,процент,,женщины,,,90.7
2018,процент,,женщины,,,92.3
2015,процент,,,Акмолинская,KZ03,70.61922571705347
2016,процент,,,Акмолинская,KZ03,85.96121150113596
2017,процент,,,Акмолинская,KZ03,87.4
2018,процент,,,Акмолинская,KZ03,90.61846497111604
2015,процент,,,Актюбинская,KZ04,79.83112155792004
2016,процент,,,Актюбинская,KZ04,89.04235651668257
2017,процент,,,Актюбинская,KZ04,92.7
2018,процент,,,Актюбинская,KZ04,94.21293561823302
2015,процент,,,Алматинская,KZ01,88.16041731686657
2016,процент,,,Алматинская,KZ01,91.69875673238899
2017,процент,,,Алматинская,KZ01,93.3
2018,процент,,,Алматинская,KZ01,95.6854128712988
2015,процент,,,Атырауская,KZ06,80.82992184592483
2016,процент,,,Атырауская,KZ06,89.639202845457
2017,процент,,,Атырауская,KZ06,92.9
2018,процент,,,Атырауская,KZ06,88.88008429767191
2015,процент,,,Западно-Казахстанская,KZ07,88.91440481618298
2016,процент,,,Западно-Казахстанская,KZ07,93.10282561089386
2017,процент,,,Западно-Казахстанская,KZ07,92.1
2018,процент,,,Западно-Казахстанская,KZ07,92.6120242029672
2015,процент,,,Жамбылская,KZ17,75.18646965040024
2016,процент,,,Жамбылская,KZ17,80.91728395192426
2017,процент,,,Жамбылская,KZ17,88.8
2018,процент,,,Жамбылская,KZ17,94.38926841438023
2015,процент,,,Карагандинская,KZ12,80.01827748219253
2016,процент,,,Карагандинская,KZ12,85.45628572165812
2017,процент,,,Карагандинская,KZ12,89.2
2018,процент,,,Карагандинская,KZ12,89.34549681327961
2015,процент,,,Костанайская,KZ13,83.41515748263006
2016,процент,,,Костанайская,KZ13,92.64220231306412
2017,процент,,,Костанайская,KZ13,94.9
2018,процент,,,Костанайская,KZ13,95.2051656269078
2015,процент,,,Кызылординская,KZ14,77.00297018694705
2016,процент,,,Кызылординская,KZ14,90.53047501012355
2017,процент,,,Кызылординская,KZ14,89.3
2018,процент,,,Кызылординская,KZ14,93.07805049447802
2015,процент,,,Мангистауская,KZ09,83.71190971776939
2016,процент,,,Мангистауская,KZ09,88.11498473729387
2017,процент,,,Мангистауская,KZ09,90.1
2018,процент,,,Мангистауская,KZ09,91.6319172847831
2015,процент,,,Южно-Казахстанская,KZ10,81.06824165782146
2016,процент,,,Южно-Казахстанская,KZ10,90.45371090085504
2017,процент,,,Южно-Казахстанская,KZ10,92.6
2015,процент,,,Павлодарская,KZ11,86.62826853712956
2016,процент,,,Павлодарская,KZ11,90.27616711651152
2017,процент,,,Павлодарская,KZ11,88.1
2018,процент,,,Павлодарская,KZ11,90.96098995322671
2015,процент,,,Северо-Казахстанская,KZ16,81.12262841089046
2016,процент,,,Северо-Казахстанская,KZ16,84.37379121474216
2017,процент,,,Северо-Казахстанская,KZ16,88.1
2018,процент,,,Северо-Казахстанская,KZ16,89.32148728230038
2018,процент,,,Туркестанская,KZ10,92.93793159326981
2015,процент,,,Восточно-Казахстанская,KZ15,72.50374158977478
2016,процент,,,Восточно-Казахстанская,KZ15,91.99779214333887
2017,процент,,,Восточно-Казахстанская,KZ15,89.3
2018,процент,,,Восточно-Казахстанская,KZ15,92.39444565311895
2015,процент,,,г_Нур-Султан,KZ05,88.23240381377221
2016,процент,,,г_Нур-Султан,KZ05,99.9
2017,процент,,,г_Нур-Султан,KZ05,96.3
2018,процент,,,г_Нур-Султан,KZ05,98.78987100368799
2015,процент,,,г_Алматы,KZ02,92.74372518556879
2016,процент,,,г_Алматы,KZ02,87.3749654760824
2017,процент,,,г_Алматы,KZ02,89.8
2018,процент,,,г_Алматы,KZ02,91.87599780634943
2018,процент,,,г_Шымкент,KZ18,93.95426202427437
