Year,Units,Regions,Value
2010,процент,,14.9
2011,процент,,17.8
2012,процент,,21.5
2013,процент,,23.0
2014,процент,,16.22
2015,процент,,9.3
2016,процент,,7.41
2017,процент,,4.38
2018,процент,,3.6
2010,процент,Акмолинская,25.0
2011,процент,Акмолинская,0.0
2012,процент,Акмолинская,0.0
2013,процент,Акмолинская,0.0
2014,процент,Акмолинская,0.0
2015,процент,Акмолинская,0.0
2016,процент,Акмолинская,0.0
2017,процент,Акмолинская,0.0
2018,процент,Акмолинская,0.0
2010,процент,Актюбинская,0.0
2011,процент,Актюбинская,0.0
2012,процент,Актюбинская,0.0
2013,процент,Актюбинская,0.0
2014,процент,Актюбинская,0.0
2015,процент,Актюбинская,0.0
2016,процент,Актюбинская,0.0
2017,процент,Актюбинская,0.0
2018,процент,Актюбинская,0.0
2010,процент,Алматинская,0.0
2011,процент,Алматинская,5.9
2012,процент,Алматинская,26.3
2013,процент,Алматинская,63.2
2014,процент,Алматинская,36.8
2015,процент,Алматинская,10.5
2016,процент,Алматинская,6.1
2017,процент,Алматинская,0.0
2018,процент,Алматинская,0.0
2010,процент,Атырауская,100.0
2011,процент,Атырауская,100.0
2012,процент,Атырауская,100.0
2013,процент,Атырауская,100.0
2014,процент,Атырауская,80.0
2015,процент,Атырауская,100.0
2016,процент,Атырауская,100.0
2017,процент,Атырауская,80.0
2018,процент,Атырауская,80.0
2010,процент,Западно-Казахстанская,11.1
2011,процент,Западно-Казахстанская,11.1
2012,процент,Западно-Казахстанская,55.6
2013,процент,Западно-Казахстанская,22.2
2014,процент,Западно-Казахстанская,0.0
2015,процент,Западно-Казахстанская,0.0
2016,процент,Западно-Казахстанская,11.1
2017,процент,Западно-Казахстанская,0.0
2018,процент,Западно-Казахстанская,0.0
2010,процент,Жымбылская,0.0
2011,процент,Жымбылская,11.1
2012,процент,Жымбылская,10.0
2013,процент,Жымбылская,10.0
2014,процент,Жымбылская,10.0
2015,процент,Жымбылская,0.0
2016,процент,Жымбылская,0.0
2017,процент,Жымбылская,0.0
2018,процент,Жымбылская,0.0
2010,процент,Карагандинская,0.0
2011,процент,Карагандинская,14.3
2012,процент,Карагандинская,0.0
2013,процент,Карагандинская,0.0
2014,процент,Карагандинская,0.0
2015,процент,Карагандинская,0.0
2016,процент,Карагандинская,0.0
2017,процент,Карагандинская,0.0
2018,процент,Карагандинская,0.0
2010,процент,Костанайская,0.0
2011,процент,Костанайская,0.0
2012,процент,Костанайская,0.0
2013,процент,Костанайская,0.0
2014,процент,Костанайская,0.0
2015,процент,Костанайская,0.0
2016,процент,Костанайская,0.0
2017,процент,Костанайская,0.0
2018,процент,Костанайская,0.0
2010,процент,Кызылординская,0.0
2011,процент,Кызылординская,0.0
2012,процент,Кызылординская,0.0
2013,процент,Кызылординская,0.0
2014,процент,Кызылординская,0.0
2015,процент,Кызылординская,0.0
2016,процент,Кызылординская,0.0
2017,процент,Кызылординская,0.0
2018,процент,Кызылординская,0.0
2010,процент,Мангистауская,100.0
2011,процент,Мангистауская,0.0
2012,процент,Мангистауская,0.0
2013,процент,Мангистауская,0.0
2014,процент,Мангистауская,0.0
2015,процент,Мангистауская,100.0
2016,процент,Мангистауская,100.0
2017,процент,Мангистауская,100.0
2018,процент,Мангистауская,100.0
2010,процент,Павлодарская,100.0
2011,процент,Павлодарская,100.0
2012,процент,Павлодарская,100.0
2013,процент,Павлодарская,100.0
2014,процент,Павлодарская,100.0
2015,процент,Павлодарская,0.0
2016,процент,Павлодарская,0.0
2017,процент,Павлодарская,0.0
2018,процент,Павлодарская,0.0
2010,процент,Северо-Казахстанская,0.0
2011,процент,Северо-Казахстанская,100.0
2012,процент,Северо-Казахстанская,100.0
2013,процент,Северо-Казахстанская,0.0
2014,процент,Северо-Казахстанская,0.0
2015,процент,Северо-Казахстанская,0.0
2016,процент,Северо-Казахстанская,0.0
2017,процент,Северо-Казахстанская,0.0
2018,процент,Северо-Казахстанская,0.0
2010,процент,Туркестанская,16.6
2011,процент,Туркестанская,16.6
2012,процент,Туркестанская,28.6
2013,процент,Туркестанская,28.6
2014,процент,Туркестанская,28.6
2015,процент,Туркестанская,28.6
2016,процент,Туркестанская,14.3
2017,процент,Туркестанская,14.3
2018,процент,Туркестанская,12.5
2010,процент,Восточно-Казахстанская,35.7
2011,процент,Восточно-Казахстанская,30.8
2012,процент,Восточно-Казахстанская,28.6
2013,процент,Восточно-Казахстанская,23.1
2014,процент,Восточно-Казахстанская,28.6
2015,процент,Восточно-Казахстанская,7.7
2016,процент,Восточно-Казахстанская,7.7
2017,процент,Восточно-Казахстанская,7.7
2018,процент,Восточно-Казахстанская,0.0
