Year,Units,Вид экономической деятельности,Value
2010,,"сельским хозяйством, лесным хозяйством и рыболовством",11.893354325312052
2011,,"сельским хозяйством, лесным хозяйством и рыболовством",6.652223352888064
2012,,"сельским хозяйством, лесным хозяйством и рыболовством",6.872758703238775
2013,,"сельским хозяйством, лесным хозяйством и рыболовством",6.028746647997742
2014,,"сельским хозяйством, лесным хозяйством и рыболовством",7.071311560345701
2015,,"сельским хозяйством, лесным хозяйством и рыболовством",6.7927865197302095
2016,,"сельским хозяйством, лесным хозяйством и рыболовством",5.656054679431979
2017,,"сельским хозяйством, лесным хозяйством и рыболовством",5.710997605285666
2010,,обрабатывающей промышленностью,1.9649331702056854
2011,,обрабатывающей промышленностью,1.6520891278610954
2012,,обрабатывающей промышленностью,1.5247049484968345
2013,,обрабатывающей промышленностью,1.4305912865994135
2014,,обрабатывающей промышленностью,1.3659516663669895
2015,,обрабатывающей промышленностью,1.2527933447275719
2016,,обрабатывающей промышленностью,0.2833576125835884
2017,,обрабатывающей промышленностью,0.2590459649982811
2010,,предприятиями электроэнергетики,1.9195555423779587
2011,,предприятиями электроэнергетики,1.555591841098277
2012,,предприятиями электроэнергетики,1.4364932134854513
2013,,предприятиями электроэнергетики,1.2837797785212788
2014,,предприятиями электроэнергетики,1.1685739257119518
2015,,предприятиями электроэнергетики,0.8996677284860466
2016,,предприятиями электроэнергетики,3.0791654997299926
2017,,предприятиями электроэнергетики,2.5887579416074638
2010,,прочими видами деятельности,0.2064853589458804
2011,,прочими видами деятельности,0.19117834985569143
2012,,прочими видами деятельности,0.1417698817669037
2013,,прочими видами деятельности,0.15209324773818045
2014,,прочими видами деятельности,0.05626999212210134
2015,,прочими видами деятельности,0.03688262371725558
2016,,прочими видами деятельности,0.08670208797904258
2017,,прочими видами деятельности,0.059509410723627344
