Year,Units,Вид экономической деятельности,Регионы,GeoCode,Value
2011,процент,с учетом больших ГЭС,,,9.104880831682053
2012,процент,с учетом больших ГЭС,,,8.37653615703613
2013,процент,с учетом больших ГЭС,,,8.11190474163471
2014,процент,с учетом больших ГЭС,,,8.693493734842917
2015,процент,с учетом больших ГЭС,,,10.3083328825092
2016,процент,с учетом больших ГЭС,,,12.7
2017,процент,с учетом больших ГЭС,,,11.3
2014,процент,,Акмолинская,KZ03,0.20939645103464646
2015,процент,,Акмолинская,KZ03,9.661538830685435
2016,процент,,Акмолинская,KZ03,17.317364266420984
2017,процент,,Акмолинская,KZ03,19.3
2011,процент,,Алматинская,KZ01,34.51437542944687
2012,процент,,Алматинская,KZ01,33.875629058552015
2013,процент,,Алматинская,KZ01,26.91302125905837
2014,процент,,Алматинская,KZ01,55.577006219088545
2015,процент,,Алматинская,KZ01,58.70559496355752
2016,процент,,Алматинская,KZ01,72.17020323633584
2017,процент,,Алматинская,KZ01,71.1
2011,процент,,Восточно-Казахстанская,KZ15,74.77996517456992
2012,процент,,Восточно-Казахстанская,KZ15,74.196245532065
2013,процент,,Восточно-Казахстанская,KZ15,73.49094972414917
2014,процент,,Восточно-Казахстанская,KZ15,75.2671077517107
2015,процент,,Восточно-Казахстанская,KZ15,75.88120353747678
2016,процент,,Восточно-Казахстанская,KZ15,79.34596121007488
2017,процент,,Восточно-Казахстанская,KZ15,75.7
2011,процент,,Жамбылская,KZ17,1.5471146227196866
2012,процент,,Жамбылская,KZ17,1.1654489035584796
2013,процент,,Жамбылская,KZ17,1.5038326784100975
2014,процент,,Жамбылская,KZ17,1.5870957110640762
2015,процент,,Жамбылская,KZ17,4.44367003522054
2016,процент,,Жамбылская,KZ17,9.186065264509818
2017,процент,,Жамбылская,KZ17,10.1
2015,процент,,Кызылординская,KZ14,0.05633559216662898
2016,процент,,Кызылординская,KZ14,0.08962670328078033
2017,процент,,Кызылординская,KZ14,0.1
2011,процент,,Северо-Казахстанская,KZ16,0.5594642216101879
2012,процент,,Северо-Казахстанская,KZ16,0.6565455952920362
2013,процент,,Северо-Казахстанская,KZ16,0.7042039690296581
2014,процент,,Северо-Казахстанская,KZ16,0.6866570833653451
2015,процент,,Северо-Казахстанская,KZ16,0.745414869996707
2016,процент,,Северо-Казахстанская,KZ16,0.6617198833222652
2017,процент,,Северо-Казахстанская,KZ16,0.6
2011,процент,,Южно-Казахстанская,KZ10,37.002353872525326
2012,процент,,Южно-Казахстанская,KZ10,29.09221043661668
2013,процент,,Южно-Казахстанская,KZ10,27.470372101640912
2014,процент,,Южно-Казахстанская,KZ10,29.59463560308556
2015,процент,,Южно-Казахстанская,KZ10,51.67138798558237
2016,процент,,Южно-Казахстанская,KZ10,35.373144711564045
2017,процент,,Южно-Казахстанская,KZ10,62.5
2012,процент,,г.Алматы,KZ02,0.06038994916008932
2013,процент,,г.Алматы,KZ02,0.06690569022228471
2014,процент,,г.Алматы,KZ02,5.0089762071326325
2015,процент,,г.Алматы,KZ02,5.841369233662536
2016,процент,,г.Алматы,KZ02,6.5780426904686085
2017,процент,,г.Алматы,KZ02,6.2
2010,процент,,,,0.0
2011,процент,,,,0.0
2012,процент,,,,0.0
2013,процент,,,,0.0
2014,процент,,,,0.62
2015,процент,,,,0.77
2016,процент,,,,0.98
2017,процент,,,,1.08
