Year,Units,Вид собственности,Регионы,GeoCode,Value
2010,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1036774219.0
2011,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1068226069.0
2012,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1178397242.0
2013,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1079560956.0
2014,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1266723255.0
2015,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1062565765.0
2016,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1098257401.0
2017,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1319919996.0
2018,тыс.тенге,по государственным предприятиям и организациям,Республика Казахстан,,1345594203.0
2010,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,47296971.0
2011,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,57739832.0
2012,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,59799493.0
2013,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,47226460.0
2014,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,42151668.0
2015,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,36150293.0
2016,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,32312951.0
2017,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,66853652.0
2018,тыс.тенге,по государственным предприятиям и организациям,Акмолинская,KZ03,48295476.0
2010,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,59033367.0
2011,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,62509079.0
2012,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,68020720.0
2013,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,39996559.0
2014,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,75205032.0
2015,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,32144233.0
2016,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,37371230.0
2017,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,79182241.0
2018,тыс.тенге,по государственным предприятиям и организациям,Актюбинская,KZ04,84032299.0
2010,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,89980220.0
2011,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,59069553.0
2012,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,91783204.0
2013,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,97770402.0
2014,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,127617723.0
2015,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,119605523.0
2016,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,163436880.0
2017,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,135083761.0
2018,тыс.тенге,по государственным предприятиям и организациям,Алматинская,KZ01,130000339.0
2010,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,68303177.0
2011,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,50539151.0
2012,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,49197890.0
2013,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,36658573.0
2014,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,44405799.0
2015,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,26749620.0
2016,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,37945235.0
2017,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,56224173.0
2018,тыс.тенге,по государственным предприятиям и организациям,Атырауская,KZ06,50221774.0
2010,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,28465470.0
2011,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,35705246.0
2012,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,22875006.0
2013,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,23878221.0
2014,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,41625941.0
2015,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,29307583.0
2016,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,21236444.0
2017,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,44564693.0
2018,тыс.тенге,по государственным предприятиям и организациям,Западно-Казахстанская,KZ07,43775971.0
2010,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,43667962.0
2011,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,57005525.0
2012,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,95464710.0
2013,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,78401842.0
2014,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,60182873.0
2015,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,44412511.0
2016,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,38833944.0
2017,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,55898656.0
2018,тыс.тенге,по государственным предприятиям и организациям,Жамбылская,KZ17,51894383.0
2010,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,31935235.0
2011,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,40235371.0
2012,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,43689805.0
2013,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,37544047.0
2014,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,43097480.0
2015,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,27945946.0
2016,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,29440970.0
2017,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,60137730.0
2018,тыс.тенге,по государственным предприятиям и организациям,Карагандинская,KZ12,56101291.0
2010,тыс.тенге,по государственным предприятиям и организациям,Костанайская,KZ13,27434840.0
