Year,Units,Регион,Город,Value
2010,"в процентах к 
2005 году",,,125.5
2011,"в процентах к 
2005 году",,,132.9
2012,"в процентах к 
2005 году",,,137.3
2013,"в процентах к 
2005 году",,,143.5
2014,"в процентах к 
2005 году",,,147.4
2015,"в процентах к 
2005 году",,,147.0
2016,"в процентах к 
2005 году",,,146.6
2017,"в процентах к 
2005 году",,,150.6
2010,"в процентах к 
2005 году",Акмолинская,,143.4
2011,"в процентах к 
2005 году",Акмолинская,,167.1
2012,"в процентах к 
2005 году",Акмолинская,,157.6
2013,"в процентах к 
2005 году",Акмолинская,,165.0
2014,"в процентах к 
2005 году",Акмолинская,,172.3
2015,"в процентах к 
2005 году",Акмолинская,,174.5
2016,"в процентах к 
2005 году",Акмолинская,,179.9
2017,"в процентах к 
2005 году",Акмолинская,,184.9
2010,"в процентах к 
2005 году",,,117.1
2011,"в процентах к 
2005 году",,,123.0
2012,"в процентах к 
2005 году",,,130.9
2013,"в процентах к 
2005 году",,,135.1
2014,"в процентах к 
2005 году",,,138.9
2015,"в процентах к 
2005 году",,,132.5
2016,"в процентах к 
2005 году",,,132.0
2017,"в процентах к 
2005 году",,,136.8
2010,"в процентах к 
2005 году",,,110.4
2011,"в процентах к 
2005 году",,,118.0
2012,"в процентах к 
2005 году",,,124.3
2013,"в процентах к 
2005 году",,,135.0
2014,"в процентах к 
2005 году",,,146.5
2015,"в процентах к 
2005 году",,,150.5
2016,"в процентах к 
2005 году",,,150.8
2017,"в процентах к 
2005 году",,,154.1
2010,"в процентах к 
2005 году",,,154.5
2011,"в процентах к 
2005 году",,,156.2
2012,"в процентах к 
2005 году",,,149.3
2013,"в процентах к 
2005 году",,,151.8
2014,"в процентах к 
2005 году",,,152.1
2015,"в процентах к 
2005 году",,,152.9
2016,"в процентах к 
2005 году",,,155.2
2017,"в процентах к 
2005 году",,,176.2
2010,"в процентах к 
2005 году",Западно-Казахстанская,,119.1
2011,"в процентах к 
2005 году",Западно-Казахстанская,,123.4
2012,"в процентах к 
2005 году",Западно-Казахстанская,,127.8
2013,"в процентах к 
2005 году",Западно-Казахстанская,,130.7
2014,"в процентах к 
2005 году",Западно-Казахстанская,,136.1
2015,"в процентах к 
2005 году",Западно-Казахстанская,,133.9
2016,"в процентах к 
2005 году",Западно-Казахстанская,,136.2
2017,"в процентах к 
2005 году",Западно-Казахстанская,,139.3
2010,"в процентах к 
2005 году",,,126.7
2011,"в процентах к 
2005 году",,,142.0
2012,"в процентах к 
2005 году",,,154.2
2013,"в процентах к 
2005 году",,,157.1
2014,"в процентах к 
2005 году",,,155.7
2015,"в процентах к 
2005 году",,,154.1
2016,"в процентах к 
2005 году",,,156.9
2017,"в процентах к 
2005 году",,,162.2
2010,"в процентах к 
2005 году",,,117.4
2011,"в процентах к 
2005 году",,,124.0
2012,"в процентах к 
2005 году",,,125.0
2013,"в процентах к 
2005 году",,,133.8
2014,"в процентах к 
2005 году",,,137.3
2015,"в процентах к 
2005 году",,,140.2
2016,"в процентах к 
2005 году",,,143.3
2017,"в процентах к 
2005 году",,,148.9
2010,"в процентах к 
2005 году",,,126.5
2011,"в процентах к 
2005 году",,,146.6
2012,"в процентах к 
2005 году",,,137.2
2013,"в процентах к 
2005 году",,,151.1
2014,"в процентах к 
2005 году",,,154.3
2015,"в процентах к 
2005 году",,,148.4
2016,"в процентах к 
2005 году",,,145.6
2017,"в процентах к 
2005 году",,,153.0
2010,"в процентах к 
2005 году",,,120.0
2011,"в процентах к 
2005 году",,,124.9
2012,"в процентах к 
2005 году",,,126.5
2013,"в процентах к 
2005 году",,,129.7
2014,"в процентах к 
2005 году",,,125.8
2015,"в процентах к 
2005 году",,,118.6
2016,"в процентах к 
2005 году",,,111.5
2017,"в процентах к 
2005 году",,,110.6
2010,"в процентах к 
2005 году",,,96.9
2011,"в процентах к 
2005 году",,,92.9
2012,"в процентах к 
2005 году",,,90.1
2013,"в процентах к 
2005 году",,,91.6
2014,"в процентах к 
2005 году",,,92.1
2015,"в процентах к 
2005 году",,,89.2
2016,"в процентах к 
2005 году",,,86.6
2017,"в процентах к 
2005 году",,,84.0
2010,"в процентах к 
2005 году",,,114.4
2011,"в процентах к 
2005 году",,,118.4
2012,"в процентах к 
2005 году",,,120.5
2013,"в процентах к 
2005 году",,,121.6
2014,"в процентах к 
2005 году",,,122.0
2015,"в процентах к 
2005 году",,,121.4
2016,"в процентах к 
2005 году",,,121.8
2017,"в процентах к 
2005 году",,,124.0
2010,"в процентах к 
2005 году",,,139.3
2011,"в процентах к 
2005 году",,,154.1
2012,"в процентах к 
2005 году",,,166.3
2013,"в процентах к 
2005 году",,,165.8
2014,"в процентах к 
2005 году",,,166.5
2015,"в процентах к 
2005 году",,,166.3
2016,"в процентах к 
2005 году",,,165.1
2017,"в процентах к 
2005 году",,,172.2
2010,"в процентах к 
2005 году",Северо-Казахстанская,,131.5
