Year,Units,Регионы,Пол,Местность,Возраст,Value
2012,процент,Республика Казахстан,,,,13.4
2013,процент,Республика Казахстан,,,,13.0
2014,процент,Республика Казахстан,,,,16.5
2015,процент,Республика Казахстан,,,,14.4
2016,процент,Республика Казахстан,,,,12.3
2017,процент,Республика Казахстан,,,,9.8
2018,процент,Республика Казахстан,,,,8.8
2012,процент,Акмолинская,,,,10.9
2013,процент,Акмолинская,,,,11.5
2014,процент,Акмолинская,,,,15.7
2015,процент,Акмолинская,,,,13.2
2016,процент,Акмолинская,,,,11.4
2017,процент,Акмолинская,,,,10.6
2018,процент,Акмолинская,,,,9.7
2012,процент,Актюбинская,,,,12.9
2013,процент,Актюбинская,,,,12.1
2014,процент,Актюбинская,,,,12.8
2015,процент,Актюбинская,,,,11.1
2016,процент,Актюбинская,,,,7.9
2017,процент,Актюбинская,,,,2.3
2018,процент,Актюбинская,,,,3.6
2012,процент,Алматинская,,,,19.6
2013,процент,Алматинская,,,,16.8
2014,процент,Алматинская,,,,18.5
2015,процент,Алматинская,,,,19.5
2016,процент,Алматинская,,,,14.8
2017,процент,Алматинская,,,,13.7
2018,процент,Алматинская,,,,12.2
2012,процент,Атырауская,,,,6.1
2013,процент,Атырауская,,,,5.1
2014,процент,Атырауская,,,,4.9
2015,процент,Атырауская,,,,4.9
2016,процент,Атырауская,,,,3.3
2017,процент,Атырауская,,,,5.1
2018,процент,Атырауская,,,,4.4
2012,процент,Западно-Казахстанская,,,,3.9
2013,процент,Западно-Казахстанская,,,,9.3
2014,процент,Западно-Казахстанская,,,,12.5
2015,процент,Западно-Казахстанская,,,,12.5
2016,процент,Западно-Казахстанская,,,,11.2
2017,процент,Западно-Казахстанская,,,,11.7
2018,процент,Западно-Казахстанская,,,,11.8
2012,процент,Жамбылская,,,,10.1
2013,процент,Жамбылская,,,,25.1
2014,процент,Жамбылская,,,,27.9
2015,процент,Жамбылская,,,,19.8
2016,процент,Жамбылская,,,,20.5
2017,процент,Жамбылская,,,,10.5
2018,процент,Жамбылская,,,,13.3
2012,процент,Карагандинская,,,,18.4
2013,процент,Карагандинская,,,,15.6
2014,процент,Карагандинская,,,,17.8
2015,процент,Карагандинская,,,,17.4
