Year,Units,Регион,Город,Пол,Тип местности,Value
2010,процентах,,,,,5.7246551141938316
2011,процентах,,,,,5.116022756643718
2012,процентах,,,,,5.895514825699013
2013,процентах,,,,,5.755110647925178
2014,процентах,,,,,6.96335857005814
2015,процентах,,,,,7.873647499522125
2016,процентах,,,,,7.199852173571244
2017,процентах,,,,,6.360494998547763
2018,процентах,,,,,6.0
2010,процентах,Акмолинская,,,,6.2427880099827355
2011,процентах,Акмолинская,,,,5.151219512195122
2012,процентах,Акмолинская,,,,5.402926116951072
2013,процентах,Акмолинская,,,,5.0674241065952
2014,процентах,Акмолинская,,,,4.489955427871311
2015,процентах,Акмолинская,,,,7.680746061990367
2016,процентах,Акмолинская,,,,5.843239003197972
2017,процентах,Акмолинская,,,,6.12983227653917
2018,процентах,Акмолинская,,,,4.4
2010,процентах,,,,,1.4475262368815591
2011,процентах,,,,,1.2322378488668657
2012,процентах,,,,,1.2341576506955176
2013,процентах,,,,,1.9291094090858427
2014,процентах,,,,,6.7551439346923186
2015,процентах,,,,,7.972185769612393
2016,процентах,,,,,5.109647339459489
2017,процентах,,,,,4.848524261201587
2018,процентах,,,,,6.5
2010,процентах,,,,,6.372072221405584
2011,процентах,,,,,6.018605998765478
2012,процентах,,,,,8.997518594892624
2013,процентах,,,,,7.894076541397718
2014,процентах,,,,,7.579949068489479
2015,процентах,,,,,8.210591038352163
2016,процентах,,,,,7.563929575862013
2017,процентах,,,,,6.692277618181509
2018,процентах,,,,,6.1
2010,процентах,,,,,3.4931758700495315
2011,процентах,,,,,2.3304521276595747
2012,процентах,,,,,3.9537788881948783
2013,процентах,,,,,4.300362189460797
2014,процентах,,,,,4.677618622402172
2015,процентах,,,,,7.024922960480078
2016,процентах,,,,,7.081686429512517
2017,процентах,,,,,7.238249833985096
2018,процентах,,,,,5.7
2010,процентах,Западно-Казахстанская,,,,8.26283480438567
2011,процентах,Западно-Казахстанская,,,,5.582988091052237
2012,процентах,Западно-Казахстанская,,,,3.921007668772599
2013,процентах,Западно-Казахстанская,,,,3.1828286699885013
2014,процентах,Западно-Казахстанская,,,,3.1123118838555937
2015,процентах,Западно-Казахстанская,,,,3.9470371579094596
2016,процентах,Западно-Казахстанская,,,,2.3361732770955888
2017,процентах,Западно-Казахстанская,,,,2.1729994077979637
2018,процентах,Западно-Казахстанская,,,,2.1
2010,процентах,,,,,8.076607195904032
2011,процентах,,,,,7.283346469197379
2012,процентах,,,,,7.385138139513277
2013,процентах,,,,,4.84462208778942
2014,процентах,,,,,9.588728538018367
2015,процентах,,,,,12.85251159061596
2016,процентах,,,,,11.677178328929799
2017,процентах,,,,,9.267012395648875
2018,процентах,,,,,5.9
2010,процентах,,,,,6.857281645099918
2011,процентах,,,,,6.204501871125095
2012,процентах,,,,,7.975770986546668
2013,процентах,,,,,5.324789128167973
2014,процентах,,,,,10.517239582790634
2015,процентах,,,,,12.522614048145511
2016,процентах,,,,,9.458373513339762
2017,процентах,,,,,8.718547785348193
2018,процентах,,,,,9.7
2010,процентах,,,,,4.169000186681601
2011,процентах,,,,,4.294918183670458
2012,процентах,,,,,4.465829415616424
2013,процентах,,,,,5.174908717672595
2014,процентах,,,,,4.507227909837867
2015,процентах,,,,,6.522213398724181
2016,процентах,,,,,3.3090179553257397
2017,процентах,,,,,4.0780300990336
2018,процентах,,,,,4.1
2010,процентах,,,,,7.575518698366652
2011,процентах,,,,,6.610937450664646
2012,процентах,,,,,10.108279462043619
2013,процентах,,,,,9.83618094381671
2014,процентах,,,,,12.417803004083892
2015,процентах,,,,,7.642664204875714
2016,процентах,,,,,10.132026324117728
2017,процентах,,,,,6.381529969313457
2018,процентах,,,,,4.0
2010,процентах,,,,,8.313265358405493
2011,процентах,,,,,7.679611029364724
2012,процентах,,,,,9.845207191616192
2013,процентах,,,,,8.392706452887829
2014,процентах,,,,,14.462852734955156
2015,процентах,,,,,9.946789483097836
2016,процентах,,,,,14.24988683769467
2017,процентах,,,,,6.56461283326955
2018,процентах,,,,,5.4
2010,процентах,,,,,4.1228792938126695
2011,процентах,,,,,3.7704529842190526
2012,процентах,,,,,3.787272606706306
2013,процентах,,,,,3.330125806336648
2014,процентах,,,,,6.818115814141558
2015,процентах,,,,,8.286553796280268
2016,процентах,,,,,7.8904215528784984
2017,процентах,,,,,9.019211012150754
2010,процентах,,,,,3.3047980891004984
2011,процентах,,,,,3.594579177542307
2012,процентах,,,,,2.7719685159131524
2013,процентах,,,,,1.7740585774058577
2014,процентах,,,,,3.4295278771788062
2015,процентах,,,,,5.608214849921011
2016,процентах,,,,,7.491498054950702
2017,процентах,,,,,4.467248292914153
2018,процентах,,,,,4.2
2010,процентах,Северо-Казахстанская,,,,4.625475895601119
2011,процентах,Северо-Казахстанская,,,,5.3932182724042965
2012,процентах,Северо-Казахстанская,,,,6.428534927691758
2013,процентах,Северо-Казахстанская,,,,6.339733270511864
2014,процентах,Северо-Казахстанская,,,,6.565374333569951
2015,процентах,Северо-Казахстанская,,,,7.209813141937879
2016,процентах,Северо-Казахстанская,,,,8.583555166700794
2017,процентах,Северо-Казахстанская,,,,6.58604032483898
2018,процентах,Северо-Казахстанская,,,,8.1
2018,процентах,Туркестанская,,,,11.4
2010,процентах,,,,,8.92037598353383
2011,процентах,,,,,8.48096682207034
2012,процентах,,,,,5.141752132325012
2013,процентах,,,,,7.256589828547098
2014,процентах,,,,,5.674589189608931
2015,процентах,,,,,7.646913876656157
2016,процентах,,,,,4.643347775546867
2017,процентах,,,,,5.900292079491438
2018,процентах,,,,,4.1
2010,процентах,,г. Астана,,,7.783086938395921
2011,процентах,,г. Астана,,,6.638156839685679
2012,процентах,,г. Астана,,,13.518358903637303
2013,процентах,,г. Астана,,,19.326722773102244
2014,процентах,,г. Астана,,,6.50519506147418
2015,процентах,,г. Астана,,,5.174850378913623
2016,процентах,,г. Астана,,,6.354680760113474
2017,процентах,,г. Астана,,,4.083838344848883
2018,процентах,,г. Астана,,,4.1
2010,процентах,,г. Алматы,,,3.8079053617258474
2011,процентах,,г. Алматы,,,2.7587255662698524
2012,процентах,,г. Алматы,,,3.3442247697107312
2013,процентах,,г. Алматы,,,3.1668396766103184
2014,процентах,,г. Алматы,,,4.83038657283476
2015,процентах,,г. Алматы,,,5.884230008296637
2016,процентах,,г. Алматы,,,5.196647170938976
2017,процентах,,г. Алматы,,,4.014715397802696
2018,процентах,,г. Алматы,,,3.4
2018,процентах,,,,,9.5
2010,процентах,,,,,4.36988437520211
2011,процентах,,,,,5.44419064789421
2012,процентах,,,,,4.896304864877625
2013,процентах,,,,,4.983714445233832
2014,процентах,,,,,4.95553324033096
2015,процентах,,,,,6.016153008683874
2016,процентах,,,,,5.30351230542914
2017,процентах,,,,,5.073766448511123
2018,процентах,,,,,5.2
2010,процентах,Акмолинская,,,,6.489469572300072
2011,процентах,Акмолинская,,,,4.2563619227144205
2012,процентах,Акмолинская,,,,5.417568742435349
2013,процентах,Акмолинская,,,,4.533077594917199
2014,процентах,Акмолинская,,,,3.2861384338833797
2015,процентах,Акмолинская,,,,5.797833272126331
2016,процентах,Акмолинская,,,,4.510913107868605
2017,процентах,Акмолинская,,,,4.569314602809579
2018,процентах,Акмолинская,,,,3.5
2010,процентах,,,,,1.744870438527216
2011,процентах,,,,,3.5499467344095716
2012,процентах,,,,,0.3749153550134606
2013,процентах,,,,,1.4423314398616942
2014,процентах,,,,,3.681354738543784
2015,процентах,,,,,5.427257928912581
2016,процентах,,,,,2.2947013260289877
2017,процентах,,,,,2.0858208955223883
2018,процентах,,,,,4.2
2010,процентах,,,,,4.925805601896567
2011,процентах,,,,,6.4730961271585326
2012,процентах,,,,,6.822890846457944
2013,процентах,,,,,5.70932179296838
2014,процентах,,,,,5.434153101536807
2015,процентах,,,,,6.104794126883491
2016,процентах,,,,,5.157894736842105
2017,процентах,,,,,6.547955378331692
2018,процентах,,,,,3.7
2010,процентах,,,,,2.2890168620789657
2011,процентах,,,,,1.854572980675038
2012,процентах,,,,,1.9520533490904486
2013,процентах,,,,,3.796600600842793
2014,процентах,,,,,2.157265370213794
2015,процентах,,,,,4.2548138766301875
2016,процентах,,,,,5.695068308236554
2017,процентах,,,,,4.997867037876917
2018,процентах,,,,,2.1
2010,процентах,Западно-Казахстанская,,,,7.876007198326876
2011,процентах,Западно-Казахстанская,,,,3.433556338574733
2012,процентах,Западно-Казахстанская,,,,3.486337754874829
2013,процентах,Западно-Казахстанская,,,,3.1206933513000337
2014,процентах,Западно-Казахстанская,,,,2.7881915458753888
2015,процентах,Западно-Казахстанская,,,,3.516061712752478
