Year,Units,Пол,Value
2010,в процентах,,4.1
2011,в процентах,,4.0
2012,в процентах,,4.2
2013,в процентах,,4.1
2014,в процентах,,4.9
2015,в процентах,,5.1
2016,в процентах,,4.8
2017,в процентах,,5.2
2010,в процентах,мужчины,4.0
2011,в процентах,мужчины,3.7
2012,в процентах,мужчины,3.8
2013,в процентах,мужчины,3.7
2014,в процентах,мужчины,4.3
2015,в процентах,мужчины,4.6
2016,в процентах,мужчины,4.1
2017,в процентах,мужчины,4.5
2010,в процентах,женщины,4.2
2011,в процентах,женщины,4.2
2012,в процентах,женщины,4.5
2013,в процентах,женщины,4.5
2014,в процентах,женщины,5.4
2015,в процентах,женщины,5.6
2016,в процентах,женщины,5.6
2017,в процентах,женщины,5.9
