Year,Units,Category,Transportation type,Value
2015,"1,000 people",passenger volume,,208941.4
2016,"1,000 people",passenger volume,,206277.6
2017,"1,000 people",passenger volume,,200498.2
2018,"1,000 people",passenger volume,,186430.7
2019,"1,000 people",passenger volume,,194616.1
2020,"1,000 people",passenger volume,,69899.7
2015,"1,000 people",,railway transport,346.3
2016,"1,000 people",,railway transport,352.0
2017,"1,000 people",,railway transport,366.8
2018,"1,000 people",,railway transport,384.2
2019,"1,000 people",,railway transport,426.7
2020,"1,000 people",,railway transport,304.5
2015,"1,000 people",,road transport,185333.7
2016,"1,000 people",,road transport,182617.6
2017,"1,000 people",,road transport,175732.9
2018,"1,000 people",,road transport,159037.4
2019,"1,000 people",,road transport,164806.8
2020,"1,000 people",,road transport,54822.3
2015,"1,000 people",,of which  passenger taxi,10319.9
2016,"1,000 people",,of which  passenger taxi,8711.9
2017,"1,000 people",,of which  passenger taxi,7692.0
2018,"1,000 people",,of which  passenger taxi,6740.0
2019,"1,000 people",,of which  passenger taxi,4627.9
2020,"1,000 people",,of which  passenger taxi,2213.2
2015,"1,000 people",,air transport,1919.0
2016,"1,000 people",,air transport,2117.8
2017,"1,000 people",,air transport,2553.8
2018,"1,000 people",,air transport,2856.7
2019,"1,000 people",,air transport,3595.6
2020,"1,000 people",,air transport,887.3
2015,"1,000 people",,electricity transport,21342.4
2016,"1,000 people",,electricity transport,21190.2
2017,"1,000 people",,electricity transport,21844.7
2018,"1,000 people",,electricity transport,24152.4
2019,"1,000 people",,electricity transport,25787.0
2020,"1,000 people",,electricity transport,13885.6
2015,"1,000 tons",freight volumes,,11052.6
2016,"1,000 tons",freight volumes,,20483.8
2017,"1,000 tons",freight volumes,,28133.1
2018,"1,000 tons",freight volumes,,29182.9
2019,"1,000 tons",freight volumes,,14732.3
2020,"1,000 tons",freight volumes,,14889.2
2015,"1,000 tons",,railway transport,2531.7
2016,"1,000 tons",,railway transport,2610.9
2017,"1,000 tons",,railway transport,2640.0
2018,"1,000 tons",,railway transport,2880.3
2019,"1,000 tons",,railway transport,3212.6
2020,"1,000 tons",,railway transport,3201.0
2015,"1,000 tons",,road transport,6864.9
2016,"1,000 tons",,road transport,16248.8
2017,"1,000 tons",,road transport,23683.9
2018,"1,000 tons",,road transport,24519.0
2019,"1,000 tons",,road transport,9661.7
2020,"1,000 tons",,road transport,9801.3
2015,"1,000 tons",,air transport,10.2
2016,"1,000 tons",,air transport,18.3
2017,"1,000 tons",,air transport,22.4
2018,"1,000 tons",,air transport,18.1
2019,"1,000 tons",,air transport,20.7
2020,"1,000 tons",,air transport,16.0
2015,"1,000 tons",,pipelines,1645.8
2016,"1,000 tons",,pipelines,1605.8
2017,"1,000 tons",,pipelines,1786.8
2018,"1,000 tons",,pipelines,1765.5
2019,"1,000 tons",,pipelines,1837.3
2020,"1,000 tons",,pipelines,1870.9
