Year,Units,Области,Регионы,Value
2010,человек,,,665.9775300284183
2011,человек,,,693.8370803132727
2012,человек,,,803.5926917728938
2013,человек,,,1009.3598386902684
2014,человек,,,1094.9611254094896
2015,человек,,,1051.9411774832374
2016,человек,,,979.0348518086518
2017,человек,,,953.8315588351911
2018,человек,,,948.8107521013109
2010,человек,регионы,Акмолинская,403.1555090655509
2011,человек,регионы,Акмолинская,678.6465303001339
2012,человек,регионы,Акмолинская,775.8672502062606
2013,человек,регионы,Акмолинская,930.2769037987442
2014,человек,регионы,Акмолинская,811.0465353233182
2015,человек,регионы,Акмолинская,704.9386217234535
2016,человек,регионы,Акмолинская,570.7376581362576
2017,человек,регионы,Акмолинская,579.6464021198498
2018,человек,регионы,Акмолинская,610.62542395141
2010,человек,регионы,,150.54260225865815
2011,человек,регионы,,145.7901184992314
2012,человек,регионы,,133.98556495139863
2013,человек,регионы,,199.3948366707044
2014,человек,регионы,,281.9418684900542
2015,человек,регионы,,304.0973497674621
2016,человек,регионы,,307.0536653638705
2017,человек,регионы,,335.8009616118446
2018,человек,регионы,,333.48551005458813
2010,человек,регионы,,216.23044017723345
2011,человек,регионы,,257.0320205837166
2012,человек,регионы,,129.6809640794104
2013,человек,регионы,,325.074706135518
2014,человек,регионы,,304.92044509282886
2015,человек,регионы,,401.091630830301
2016,человек,регионы,,348.5104105401759
2017,человек,регионы,,343.9361998349306
2018,человек,регионы,,346.18432304783425
2010,человек,регионы,,740.7266718580844
2011,человек,регионы,,785.1221218390461
2012,человек,регионы,,753.9898630251749
2013,человек,регионы,,530.7071048858891
2014,человек,регионы,,489.0273402829745
2015,человек,регионы,,540.8623182243389
2016,человек,регионы,,490.8322518385412
2017,человек,регионы,,553.650347008497
2018,человек,регионы,,657.9352194142957
2010,человек,регионы,Западно-Казахстанская,488.3714791056202
2011,человек,регионы,Западно-Казахстанская,468.5006994748206
2012,человек,регионы,Западно-Казахстанская,469.7980031146469
2013,человек,регионы,Западно-Казахстанская,631.3314328968771
2014,человек,регионы,Западно-Казахстанская,397.0848549603712
2015,человек,регионы,Западно-Казахстанская,569.8338484462952
2016,человек,регионы,Западно-Казахстанская,930.7840799942433
2017,человек,регионы,Западно-Казахстанская,437.73866070597
