Year,Units,Местность,Регионы,Value
2010,процент,,,1.1
2011,процент,,,1.1
2012,процент,,,1.2
2013,процент,,,1.5
2014,процент,,,1.4
2015,процент,,,1.2
2016,процент,,,1.2
2017,процент,,,1.3
2015,процент,,,58.9
2016,процент,,,69.2
2017,процент,,,79.4
2018,процент,,,81.5
2015,процент,городское население,,67.1
2016,процент,городское население,,66.1
2017,процент,городское население,,66.0
2018,процент,городское население,,66.4
2015,процент,сельское население,,32.9
2016,процент,сельское население,,33.9
2017,процент,сельское население,,34.0
2018,процент,сельское население,,33.6
2015,процент,,Акмолинская,60.4
2016,процент,,Акмолинская,60.0
2017,процент,,Акмолинская,72.8
2018,процент,,Акмолинская,75.8
2015,процент,,Актюбинская,58.7
2016,процент,,Актюбинская,70.5
2017,процент,,Актюбинская,86.7
2018,процент,,Актюбинская,88.0
2015,процент,,Алматинская,67.2
2016,процент,,Алматинская,78.5
2017,процент,,Алматинская,85.5
2018,процент,,Алматинская,89.4
2015,процент,,Атырауская,68.2
2016,процент,,Атырауская,73.1
2017,процент,,Атырауская,82.8
2018,процент,,Атырауская,82.8
2015,процент,,Западно-Казахстанская,86.5
2016,процент,,Западно-Казахстанская,92.1
2017,процент,,Западно-Казахстанская,96.7
2018,процент,,Западно-Казахстанская,95.0
2015,процент,,Жамбылская,72.4
2016,процент,,Жамбылская,91.0
2017,процент,,Жамбылская,99.2
2018,процент,,Жамбылская,97.4
2015,процент,,Карагандинская,57.9
2016,процент,,Карагандинская,66.8
2017,процент,,Карагандинская,72.4
2018,процент,,Карагандинская,83.6
2015,процент,,Костанайская,62.9
2016,процент,,Костанайская,79.0
2017,процент,,Костанайская,78.6
2018,процент,,Костанайская,78.8
2015,процент,,Кызылординская,32.1
2016,процент,,Кызылординская,62.1
2017,процент,,Кызылординская,71.6
2018,процент,,Кызылординская,75.1
2015,процент,,Мангистауская,26.6
2016,процент,,Мангистауская,83.8
2017,процент,,Мангистауская,92.2
2018,процент,,Мангистауская,97.1
2015,процент,,Южно-Казахстанская,81.2
2016,процент,,Южно-Казахстанская,86.0
2017,процент,,Южно-Казахстанская,95.6
2015,процент,,Павлодарская,32.1
2016,процент,,Павлодарская,63.7
2017,процент,,Павлодарская,74.5
2018,процент,,Павлодарская,77.0
2015,процент,,Северо-Казахстанская,51.5
2016,процент,,Северо-Казахстанская,64.0
2017,процент,,Северо-Казахстанская,73.7
2018,процент,,Северо-Казахстанская,74.8
2018,процент,,Туркестанская,98.9
2015,процент,,Восточно-Казахстанская,43.0
2016,процент,,Восточно-Казахстанская,56.2
2017,процент,,Восточно-Казахстанская,62.6
2018,процент,,Восточно-Казахстанская,63.0
2015,процент,,г.Нур-Султан,46.8
2016,процент,,г.Нур-Султан,36.0
2017,процент,,г.Нур-Султан,76.2
2018,процент,,г.Нур-Султан,75.6
2015,процент,,г.Алматы,59.9
2016,процент,,г.Алматы,58.6
2017,процент,,г.Алматы,64.6
2018,процент,,г.Алматы,63.6
2018,процент,,г.Шымкент,98.5
